"COMMENDATIONS","Resolutions",,
"CONDOLENCES","Resolutions",,
"APPROPRIATIONS/JUDGMENT","Budget, Spending, and Taxes",,
"FUNDS/FUNDING","Budget, Spending, and Taxes",,
"TAX CREDITS","Budget, Spending, and Taxes",,
"TAX/TAXATION","Budget, Spending, and Taxes",,
"MOTOR VEHICLES","Transportation",,
"SPECIAL DAY/WEEK/MONTH","Resolutions",,
"CONGRESS","Legislative Affairs",,
"TAX/AD VALOREM TAX","Budget, Spending, and Taxes",,
"LEGIS POWERS/FUNCTIONS","Legislative Affairs",,
"SCHOOLS","Education",,
"SPECIAL DISTRICTS","Other",,
"CHILDREN","Family and Children Issues",,
"CRIME","Crime",,
"CRIMINAL/PROCEDURE","Crime",,
"CRIME/PUNISHMENT","Crime",,
"HEALTH CARE","Health",,
"PUBLIC RECORDS","Public Services",,
"COURTS","Judiciary",,
"INSURANCE/HEALTH-ACCID","Insurance","Health",
"STUDENTS","Education",,
"TAX EXEMPTIONS","Budget, Spending, and Taxes",,
"CORRECTIONS","Legal Issues","Crime",
"INSURERS","Insurance",,
"ETHICS","Legal Issues",,
"TAX/INCOME TAX","Budget, Spending, and Taxes",,
"BOARDS/COMMISSIONS","State Agencies","Other",
"BESE","Education",,
"PROPERTY/PUBLIC","Public Services",,
"PUBLIC CONTRACTS","Business and Consumers","Public Services",
"TAX/AD VALOREM","Budget, Spending, and Taxes",,
"TAX/INCOME/PERSONAL","Budget, Spending, and Taxes",,
"COMMERCIAL REGULATIONS","Commerce",,
"COLLEGES/UNIVERSITIES","Education",,
"STATE AGENCIES","State Agencies",,
"TRANSPORTATION","Transportation",,
"HEALTH/ACC INSURANCE","Health","Insurance",
"CONTROLLED SUBSTANCES","Drugs",,
"SCHOOLS/BOARDS","Education",,
"COMMITTEE STUDIES","Other",,
"APPROPRIATIONS","Budget, Spending, and Taxes",,
"WORKERS COMPENSATION","Labor and Employment",,
"HEALTH/HOSPITALS DEPT","Health",,
"TAX/SALES & USE","Budget, Spending, and Taxes",,
"HIGHWAYS","Transportation",,
"HOSPITALS","Health",,
"LEVEES","Environmental",,
"DWI","Crime","Transportation",
"PUBLIC CONTRACT/BIDS","Business and Consumers","Public Services",
"TRAFFIC","Transportation",,
"MTR VEHICLE/LICEN PLATES","Transportation",,
"HEALTH","Health",,
"TRANSPORTATION DEPT","Transportation",,
"CRIMINAL PROCEDURE","Crime","Legal Issues",
"ECONOMIC DEVELOPMENT","Commerce",,
"SENATE","Legislative Affairs",,
"MUNICIPALITIES","Municipal and County Issues",,
"LEGISLATIVE SESSIONS","Legislative Affairs",,
"FISHING/OYSTERS","Agriculture and Food",,
"RETIREMENT/STATE EMPS","Labor and Employment","Senior Issues","State Agencies"
"WORKERS' COMPENSATION","Labor and Employment",,
"INSURANCE/HEALTH","Health","Insurance",
"TRANSPORTATION/DEV DEPT","Transportation",,
"CAMPAIGN FINANCE","Campaign Finance and Election Issues",,
"RETIREMENT BENEFITS","Senior Issues","Labor and Employment",
"CIVIL SERVICE/FIRE & POL","Public Services",,
"CIVIL PROCEDURE","Legal Issues",,
"ASSESSORS","Other",,
"INSURANCE COMMISSIONER","Insurance",,
"WEAPONS/FIREARMS","Guns",,
"CURRICULA","Education",,
"PAROLE","Crime",,
"TAX/SALES-USE, STATE","Budget, Spending, and Taxes",,
"SHERIFFS","Public Services",,
"ROADS/HIGHWAYS","Transportation",,
"GAMING","Gambling and Gaming",,
"CONTRACTS","Business and Consumers",,
"SUNSET LAW","Legislative Affairs",,
"HEALTH SERVICES","Health",,
"TEACHERS","Education",,
"HIGHER EDUCATION","Education",,
"SCHOOLS/EMPLOYEES","Education",,
"CRIME/SEX OFFENSES","Crime",,
"TAX/INCOME-INDIV/EXEMPT","Budget, Spending, and Taxes",,
"JUVENILES","Family and Children Issues",,
"SCHOOLS/CHARTER","Education",,
"HOUSING","Housing and Property",,
"EMPLOYMENT","Labor and Employment",,
"DISTRICTS/SPECIAL","Other",,
"ELECTED OFFICIALS","Campaign Finance and Election Issues","Legislative Affairs","Executive Branch"
"BOATS/SHIPS/VESSELS","Transportation",,
"STUDENT/TUITION","Education",,
"DISTRICTS/NEIGHBORHOOD","Municipal and County Issues",,
"CRIMINAL/RECORDS","Crime",,
"CIVIL/PROCEDURE","Legal Issues",,
"EDUCATION DEPARTMENT","Education",,
"DISTRICT ATTORNEYS","Judiciary",,
"PROBATION/PAROLE","Crime",,
"TAX/SALES","Budget, Spending, and Taxes","Commerce",
"PROPERTY/EXPROPRIATION","Housing and Property",,
"RAILROADS","Transportation",,
"MALPRACTICE/MEDICAL","Health","Legal Issues",
"INSURANCE","Insurance",,
"U.S. CONSTITUTION","Legislative Affairs","Federal, State, and Local Relations",
"RETIREMENT/STATE SYSTEMS","Labor and Employment","Senior Issues","State Agencies"
"INSURANCE DEPARTMENT","Insurance",,
"FEES/LICENSES/PERMITS","Legal Issues",,
"NURSING HOMES","Senior Issues","Health",
"ELECTION CODE","Campaign Finance and Election Issues",,
"SOCIAL SERVICES DEPT","Public Services",,
"GOVERNMENT ORGANIZATION","Government Reform","Legislative Affairs","Executive Branch"
"RETIREMENT/LOCAL","Senior Issues","Labor and Employment",
"INSURANCE/PROPERTY","Insurance","Housing and Property",
"RETIREMENT/TEACHERS","Education","Labor and Employment","Senior Issues"
"ALCOHOLIC BEVERAGES","Legal Issues",,
"FISCAL CONTROLS","Commerce",,
"TRAFFIC/VIOLATIONS","Transportation","Legal Issues",
"DISTRICTS/ECONOMIC DEVEL","Commerce",,
