abbr,chamber,name,num_seats,boundary_id
ak,lower,1,1,sldl/ak-1
ak,lower,2,1,sldl/ak-2
ak,lower,3,1,sldl/ak-3
ak,lower,4,1,sldl/ak-4
ak,lower,5,1,sldl/ak-5
ak,lower,6,1,sldl/ak-6
ak,lower,7,1,sldl/ak-7
ak,lower,8,1,sldl/ak-8
ak,lower,9,1,sldl/ak-9
ak,lower,10,1,sldl/ak-10
ak,lower,11,1,sldl/ak-11
ak,lower,12,1,sldl/ak-12
ak,lower,13,1,sldl/ak-13
ak,lower,14,1,sldl/ak-14
ak,lower,15,1,sldl/ak-15
ak,lower,16,1,sldl/ak-16
ak,lower,17,1,sldl/ak-17
ak,lower,18,1,sldl/ak-18
ak,lower,19,1,sldl/ak-19
ak,lower,20,1,sldl/ak-20
ak,lower,21,1,sldl/ak-21
ak,lower,22,1,sldl/ak-22
ak,lower,23,1,sldl/ak-23
ak,lower,24,1,sldl/ak-24
ak,lower,25,1,sldl/ak-25
ak,lower,26,1,sldl/ak-26
ak,lower,27,1,sldl/ak-27
ak,lower,28,1,sldl/ak-28
ak,lower,29,1,sldl/ak-29
ak,lower,30,1,sldl/ak-30
ak,lower,31,1,sldl/ak-31
ak,lower,32,1,sldl/ak-32
ak,lower,33,1,sldl/ak-33
ak,lower,34,1,sldl/ak-34
ak,lower,35,1,sldl/ak-35
ak,lower,36,1,sldl/ak-36
ak,lower,37,1,sldl/ak-37
ak,lower,38,1,sldl/ak-38
ak,lower,39,1,sldl/ak-39
ak,lower,40,1,sldl/ak-40
ak,upper,A,1,sldu/ak-a
ak,upper,B,1,sldu/ak-b
ak,upper,C,1,sldu/ak-c
ak,upper,D,1,sldu/ak-d
ak,upper,E,1,sldu/ak-e
ak,upper,F,1,sldu/ak-f
ak,upper,G,1,sldu/ak-g
ak,upper,H,1,sldu/ak-h
ak,upper,I,1,sldu/ak-i
ak,upper,J,1,sldu/ak-j
ak,upper,K,1,sldu/ak-k
ak,upper,L,1,sldu/ak-l
ak,upper,M,1,sldu/ak-m
ak,upper,N,1,sldu/ak-n
ak,upper,O,1,sldu/ak-o
ak,upper,P,1,sldu/ak-p
ak,upper,Q,1,sldu/ak-q
ak,upper,R,1,sldu/ak-r
ak,upper,S,1,sldu/ak-s
ak,upper,T,1,sldu/ak-t
