abbr,chamber,name,num_seats,boundary_id,division_id
al,lower,100,1,sldl/al-100,ocd-division/country:us/state:al/sldl:100
al,lower,101,1,sldl/al-101,ocd-division/country:us/state:al/sldl:101
al,lower,10,1,sldl/al-10,ocd-division/country:us/state:al/sldl:10
al,lower,102,1,sldl/al-102,ocd-division/country:us/state:al/sldl:102
al,lower,103,1,sldl/al-103,ocd-division/country:us/state:al/sldl:103
al,lower,104,1,sldl/al-104,ocd-division/country:us/state:al/sldl:104
al,lower,105,1,sldl/al-105,ocd-division/country:us/state:al/sldl:105
al,lower,11,1,sldl/al-11,ocd-division/country:us/state:al/sldl:11
al,lower,1,1,sldl/al-1,ocd-division/country:us/state:al/sldl:1
al,lower,12,1,sldl/al-12,ocd-division/country:us/state:al/sldl:12
al,lower,13,1,sldl/al-13,ocd-division/country:us/state:al/sldl:13
al,lower,14,1,sldl/al-14,ocd-division/country:us/state:al/sldl:14
al,lower,15,1,sldl/al-15,ocd-division/country:us/state:al/sldl:15
al,lower,16,1,sldl/al-16,ocd-division/country:us/state:al/sldl:16
al,lower,17,1,sldl/al-17,ocd-division/country:us/state:al/sldl:17
al,lower,18,1,sldl/al-18,ocd-division/country:us/state:al/sldl:18
al,lower,19,1,sldl/al-19,ocd-division/country:us/state:al/sldl:19
al,lower,20,1,sldl/al-20,ocd-division/country:us/state:al/sldl:20
al,lower,21,1,sldl/al-21,ocd-division/country:us/state:al/sldl:21
al,lower,2,1,sldl/al-2,ocd-division/country:us/state:al/sldl:2
al,lower,22,1,sldl/al-22,ocd-division/country:us/state:al/sldl:22
al,lower,23,1,sldl/al-23,ocd-division/country:us/state:al/sldl:23
al,lower,24,1,sldl/al-24,ocd-division/country:us/state:al/sldl:24
al,lower,25,1,sldl/al-25,ocd-division/country:us/state:al/sldl:25
al,lower,26,1,sldl/al-26,ocd-division/country:us/state:al/sldl:26
al,lower,27,1,sldl/al-27,ocd-division/country:us/state:al/sldl:27
al,lower,28,1,sldl/al-28,ocd-division/country:us/state:al/sldl:28
al,lower,29,1,sldl/al-29,ocd-division/country:us/state:al/sldl:29
al,lower,30,1,sldl/al-30,ocd-division/country:us/state:al/sldl:30
al,lower,31,1,sldl/al-31,ocd-division/country:us/state:al/sldl:31
al,lower,3,1,sldl/al-3,ocd-division/country:us/state:al/sldl:3
al,lower,32,1,sldl/al-32,ocd-division/country:us/state:al/sldl:32
al,lower,33,1,sldl/al-33,ocd-division/country:us/state:al/sldl:33
al,lower,34,1,sldl/al-34,ocd-division/country:us/state:al/sldl:34
al,lower,35,1,sldl/al-35,ocd-division/country:us/state:al/sldl:35
al,lower,36,1,sldl/al-36,ocd-division/country:us/state:al/sldl:36
al,lower,37,1,sldl/al-37,ocd-division/country:us/state:al/sldl:37
al,lower,38,1,sldl/al-38,ocd-division/country:us/state:al/sldl:38
al,lower,39,1,sldl/al-39,ocd-division/country:us/state:al/sldl:39
al,lower,40,1,sldl/al-40,ocd-division/country:us/state:al/sldl:40
al,lower,41,1,sldl/al-41,ocd-division/country:us/state:al/sldl:41
al,lower,4,1,sldl/al-4,ocd-division/country:us/state:al/sldl:4
al,lower,42,1,sldl/al-42,ocd-division/country:us/state:al/sldl:42
al,lower,43,1,sldl/al-43,ocd-division/country:us/state:al/sldl:43
al,lower,44,1,sldl/al-44,ocd-division/country:us/state:al/sldl:44
al,lower,45,1,sldl/al-45,ocd-division/country:us/state:al/sldl:45
al,lower,46,1,sldl/al-46,ocd-division/country:us/state:al/sldl:46
al,lower,47,1,sldl/al-47,ocd-division/country:us/state:al/sldl:47
al,lower,48,1,sldl/al-48,ocd-division/country:us/state:al/sldl:48
al,lower,49,1,sldl/al-49,ocd-division/country:us/state:al/sldl:49
al,lower,50,1,sldl/al-50,ocd-division/country:us/state:al/sldl:50
al,lower,51,1,sldl/al-51,ocd-division/country:us/state:al/sldl:51
al,lower,5,1,sldl/al-5,ocd-division/country:us/state:al/sldl:5
al,lower,52,1,sldl/al-52,ocd-division/country:us/state:al/sldl:52
al,lower,53,1,sldl/al-53,ocd-division/country:us/state:al/sldl:53
al,lower,54,1,sldl/al-54,ocd-division/country:us/state:al/sldl:54
al,lower,55,1,sldl/al-55,ocd-division/country:us/state:al/sldl:55
al,lower,56,1,sldl/al-56,ocd-division/country:us/state:al/sldl:56
al,lower,57,1,sldl/al-57,ocd-division/country:us/state:al/sldl:57
al,lower,58,1,sldl/al-58,ocd-division/country:us/state:al/sldl:58
al,lower,59,1,sldl/al-59,ocd-division/country:us/state:al/sldl:59
al,lower,60,1,sldl/al-60,ocd-division/country:us/state:al/sldl:60
al,lower,61,1,sldl/al-61,ocd-division/country:us/state:al/sldl:61
al,lower,6,1,sldl/al-6,ocd-division/country:us/state:al/sldl:6
al,lower,62,1,sldl/al-62,ocd-division/country:us/state:al/sldl:62
al,lower,63,1,sldl/al-63,ocd-division/country:us/state:al/sldl:63
al,lower,64,1,sldl/al-64,ocd-division/country:us/state:al/sldl:64
al,lower,65,1,sldl/al-65,ocd-division/country:us/state:al/sldl:65
al,lower,66,1,sldl/al-66,ocd-division/country:us/state:al/sldl:66
al,lower,67,1,sldl/al-67,ocd-division/country:us/state:al/sldl:67
al,lower,68,1,sldl/al-68,ocd-division/country:us/state:al/sldl:68
al,lower,69,1,sldl/al-69,ocd-division/country:us/state:al/sldl:69
al,lower,70,1,sldl/al-70,ocd-division/country:us/state:al/sldl:70
al,lower,71,1,sldl/al-71,ocd-division/country:us/state:al/sldl:71
al,lower,7,1,sldl/al-7,ocd-division/country:us/state:al/sldl:7
al,lower,72,1,sldl/al-72,ocd-division/country:us/state:al/sldl:72
al,lower,73,1,sldl/al-73,ocd-division/country:us/state:al/sldl:73
al,lower,74,1,sldl/al-74,ocd-division/country:us/state:al/sldl:74
al,lower,75,1,sldl/al-75,ocd-division/country:us/state:al/sldl:75
al,lower,76,1,sldl/al-76,ocd-division/country:us/state:al/sldl:76
