"state","chamber","name","num_legislators","boundary"
"ar","lower",1,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",2,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",3,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",4,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",5,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",6,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",7,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",8,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",9,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",10,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",11,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",12,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",13,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",14,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",15,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",16,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",17,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",18,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",19,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",20,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",21,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",22,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",23,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",24,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",25,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",26,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",27,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",28,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",29,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",30,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",31,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",32,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",33,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",34,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",35,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",36,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",37,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",38,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",39,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",40,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",41,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",42,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",43,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",44,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",45,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",46,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",47,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",48,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",49,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",50,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",51,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",52,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",53,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",54,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",55,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",56,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",57,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",58,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",59,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",60,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",61,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",62,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",63,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",64,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",65,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",66,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",67,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",68,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",69,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",70,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",71,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",72,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",73,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",74,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",75,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",76,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",77,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",78,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",79,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",80,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",81,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",82,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",83,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",84,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",85,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",86,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",87,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",88,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",89,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",90,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",91,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",92,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",93,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",94,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",95,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",96,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",97,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",98,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",99,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",100,1,"sldl-ar-state-house-district-%(name)s"
"ar","upper",1,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",2,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",3,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",4,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",5,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",6,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",7,1,"sldu-ar-state-senate-district-%(name)s"
