abbr,chamber,name,num_seats,boundary_id,division_id
az,lower,10,2,sldl/az-10,ocd-division/country:us/state:az/sldl:10
az,lower,11,2,sldl/az-11,ocd-division/country:us/state:az/sldl:11
az,lower,1,2,sldl/az-1,ocd-division/country:us/state:az/sldl:1
az,lower,12,2,sldl/az-12,ocd-division/country:us/state:az/sldl:12
az,lower,13,2,sldl/az-13,ocd-division/country:us/state:az/sldl:13
az,lower,14,2,sldl/az-14,ocd-division/country:us/state:az/sldl:14
az,lower,15,2,sldl/az-15,ocd-division/country:us/state:az/sldl:15
az,lower,16,2,sldl/az-16,ocd-division/country:us/state:az/sldl:16
az,lower,17,2,sldl/az-17,ocd-division/country:us/state:az/sldl:17
az,lower,18,2,sldl/az-18,ocd-division/country:us/state:az/sldl:18
az,lower,19,2,sldl/az-19,ocd-division/country:us/state:az/sldl:19
az,lower,20,2,sldl/az-20,ocd-division/country:us/state:az/sldl:20
az,lower,21,2,sldl/az-21,ocd-division/country:us/state:az/sldl:21
az,lower,2,2,sldl/az-2,ocd-division/country:us/state:az/sldl:2
az,lower,22,2,sldl/az-22,ocd-division/country:us/state:az/sldl:22
az,lower,23,2,sldl/az-23,ocd-division/country:us/state:az/sldl:23
az,lower,24,2,sldl/az-24,ocd-division/country:us/state:az/sldl:24
az,lower,25,2,sldl/az-25,ocd-division/country:us/state:az/sldl:25
az,lower,26,2,sldl/az-26,ocd-division/country:us/state:az/sldl:26
az,lower,27,2,sldl/az-27,ocd-division/country:us/state:az/sldl:27
az,lower,28,2,sldl/az-28,ocd-division/country:us/state:az/sldl:28
az,lower,29,2,sldl/az-29,ocd-division/country:us/state:az/sldl:29
az,lower,30,2,sldl/az-30,ocd-division/country:us/state:az/sldl:30
az,lower,3,2,sldl/az-3,ocd-division/country:us/state:az/sldl:3
az,lower,4,2,sldl/az-4,ocd-division/country:us/state:az/sldl:4
az,lower,5,2,sldl/az-5,ocd-division/country:us/state:az/sldl:5
az,lower,6,2,sldl/az-6,ocd-division/country:us/state:az/sldl:6
az,lower,7,2,sldl/az-7,ocd-division/country:us/state:az/sldl:7
az,lower,8,2,sldl/az-8,ocd-division/country:us/state:az/sldl:8
az,lower,9,2,sldl/az-9,ocd-division/country:us/state:az/sldl:9
az,upper,10,1,sldu/az-10,ocd-division/country:us/state:az/sldu:10
az,upper,11,1,sldu/az-11,ocd-division/country:us/state:az/sldu:11
az,upper,1,1,sldu/az-1,ocd-division/country:us/state:az/sldu:1
az,upper,12,1,sldu/az-12,ocd-division/country:us/state:az/sldu:12
az,upper,13,1,sldu/az-13,ocd-division/country:us/state:az/sldu:13
az,upper,14,1,sldu/az-14,ocd-division/country:us/state:az/sldu:14
az,upper,15,1,sldu/az-15,ocd-division/country:us/state:az/sldu:15
az,upper,16,1,sldu/az-16,ocd-division/country:us/state:az/sldu:16
az,upper,17,1,sldu/az-17,ocd-division/country:us/state:az/sldu:17
az,upper,18,1,sldu/az-18,ocd-division/country:us/state:az/sldu:18
az,upper,19,1,sldu/az-19,ocd-division/country:us/state:az/sldu:19
az,upper,20,1,sldu/az-20,ocd-division/country:us/state:az/sldu:20
az,upper,21,1,sldu/az-21,ocd-division/country:us/state:az/sldu:21
az,upper,2,1,sldu/az-2,ocd-division/country:us/state:az/sldu:2
az,upper,22,1,sldu/az-22,ocd-division/country:us/state:az/sldu:22
az,upper,23,1,sldu/az-23,ocd-division/country:us/state:az/sldu:23
az,upper,24,1,sldu/az-24,ocd-division/country:us/state:az/sldu:24
az,upper,25,1,sldu/az-25,ocd-division/country:us/state:az/sldu:25
az,upper,26,1,sldu/az-26,ocd-division/country:us/state:az/sldu:26
az,upper,27,1,sldu/az-27,ocd-division/country:us/state:az/sldu:27
az,upper,28,1,sldu/az-28,ocd-division/country:us/state:az/sldu:28
az,upper,29,1,sldu/az-29,ocd-division/country:us/state:az/sldu:29
az,upper,30,1,sldu/az-30,ocd-division/country:us/state:az/sldu:30
az,upper,3,1,sldu/az-3,ocd-division/country:us/state:az/sldu:3
az,upper,4,1,sldu/az-4,ocd-division/country:us/state:az/sldu:4
az,upper,5,1,sldu/az-5,ocd-division/country:us/state:az/sldu:5
az,upper,6,1,sldu/az-6,ocd-division/country:us/state:az/sldu:6
az,upper,7,1,sldu/az-7,ocd-division/country:us/state:az/sldu:7
az,upper,8,1,sldu/az-8,ocd-division/country:us/state:az/sldu:8
az,upper,9,1,sldu/az-9,ocd-division/country:us/state:az/sldu:9
