abbr,chamber,name,num_seats,boundary_id,division_id
ca,lower,10,1,sldl/ca-10,ocd-division/country:us/state:ca/sldl:10
ca,lower,11,1,sldl/ca-11,ocd-division/country:us/state:ca/sldl:11
ca,lower,1,1,sldl/ca-1,ocd-division/country:us/state:ca/sldl:1
ca,lower,12,1,sldl/ca-12,ocd-division/country:us/state:ca/sldl:12
ca,lower,13,1,sldl/ca-13,ocd-division/country:us/state:ca/sldl:13
ca,lower,14,1,sldl/ca-14,ocd-division/country:us/state:ca/sldl:14
ca,lower,15,1,sldl/ca-15,ocd-division/country:us/state:ca/sldl:15
ca,lower,16,1,sldl/ca-16,ocd-division/country:us/state:ca/sldl:16
ca,lower,17,1,sldl/ca-17,ocd-division/country:us/state:ca/sldl:17
ca,lower,18,1,sldl/ca-18,ocd-division/country:us/state:ca/sldl:18
ca,lower,19,1,sldl/ca-19,ocd-division/country:us/state:ca/sldl:19
ca,lower,20,1,sldl/ca-20,ocd-division/country:us/state:ca/sldl:20
ca,lower,21,1,sldl/ca-21,ocd-division/country:us/state:ca/sldl:21
ca,lower,2,1,sldl/ca-2,ocd-division/country:us/state:ca/sldl:2
ca,lower,22,1,sldl/ca-22,ocd-division/country:us/state:ca/sldl:22
ca,lower,23,1,sldl/ca-23,ocd-division/country:us/state:ca/sldl:23
ca,lower,24,1,sldl/ca-24,ocd-division/country:us/state:ca/sldl:24
ca,lower,25,1,sldl/ca-25,ocd-division/country:us/state:ca/sldl:25
ca,lower,26,1,sldl/ca-26,ocd-division/country:us/state:ca/sldl:26
ca,lower,27,1,sldl/ca-27,ocd-division/country:us/state:ca/sldl:27
ca,lower,28,1,sldl/ca-28,ocd-division/country:us/state:ca/sldl:28
ca,lower,29,1,sldl/ca-29,ocd-division/country:us/state:ca/sldl:29
ca,lower,30,1,sldl/ca-30,ocd-division/country:us/state:ca/sldl:30
ca,lower,31,1,sldl/ca-31,ocd-division/country:us/state:ca/sldl:31
ca,lower,3,1,sldl/ca-3,ocd-division/country:us/state:ca/sldl:3
ca,lower,32,1,sldl/ca-32,ocd-division/country:us/state:ca/sldl:32
ca,lower,33,1,sldl/ca-33,ocd-division/country:us/state:ca/sldl:33
ca,lower,34,1,sldl/ca-34,ocd-division/country:us/state:ca/sldl:34
ca,lower,35,1,sldl/ca-35,ocd-division/country:us/state:ca/sldl:35
ca,lower,36,1,sldl/ca-36,ocd-division/country:us/state:ca/sldl:36
ca,lower,37,1,sldl/ca-37,ocd-division/country:us/state:ca/sldl:37
ca,lower,38,1,sldl/ca-38,ocd-division/country:us/state:ca/sldl:38
ca,lower,39,1,sldl/ca-39,ocd-division/country:us/state:ca/sldl:39
ca,lower,40,1,sldl/ca-40,ocd-division/country:us/state:ca/sldl:40
ca,lower,41,1,sldl/ca-41,ocd-division/country:us/state:ca/sldl:41
ca,lower,4,1,sldl/ca-4,ocd-division/country:us/state:ca/sldl:4
ca,lower,42,1,sldl/ca-42,ocd-division/country:us/state:ca/sldl:42
ca,lower,43,1,sldl/ca-43,ocd-division/country:us/state:ca/sldl:43
ca,lower,44,1,sldl/ca-44,ocd-division/country:us/state:ca/sldl:44
ca,lower,45,1,sldl/ca-45,ocd-division/country:us/state:ca/sldl:45
ca,lower,46,1,sldl/ca-46,ocd-division/country:us/state:ca/sldl:46
ca,lower,47,1,sldl/ca-47,ocd-division/country:us/state:ca/sldl:47
ca,lower,48,1,sldl/ca-48,ocd-division/country:us/state:ca/sldl:48
ca,lower,49,1,sldl/ca-49,ocd-division/country:us/state:ca/sldl:49
ca,lower,50,1,sldl/ca-50,ocd-division/country:us/state:ca/sldl:50
ca,lower,51,1,sldl/ca-51,ocd-division/country:us/state:ca/sldl:51
ca,lower,5,1,sldl/ca-5,ocd-division/country:us/state:ca/sldl:5
ca,lower,52,1,sldl/ca-52,ocd-division/country:us/state:ca/sldl:52
ca,lower,53,1,sldl/ca-53,ocd-division/country:us/state:ca/sldl:53
ca,lower,54,1,sldl/ca-54,ocd-division/country:us/state:ca/sldl:54
ca,lower,55,1,sldl/ca-55,ocd-division/country:us/state:ca/sldl:55
ca,lower,56,1,sldl/ca-56,ocd-division/country:us/state:ca/sldl:56
ca,lower,57,1,sldl/ca-57,ocd-division/country:us/state:ca/sldl:57
ca,lower,58,1,sldl/ca-58,ocd-division/country:us/state:ca/sldl:58
ca,lower,59,1,sldl/ca-59,ocd-division/country:us/state:ca/sldl:59
ca,lower,60,1,sldl/ca-60,ocd-division/country:us/state:ca/sldl:60
ca,lower,61,1,sldl/ca-61,ocd-division/country:us/state:ca/sldl:61
ca,lower,6,1,sldl/ca-6,ocd-division/country:us/state:ca/sldl:6
ca,lower,62,1,sldl/ca-62,ocd-division/country:us/state:ca/sldl:62
ca,lower,63,1,sldl/ca-63,ocd-division/country:us/state:ca/sldl:63
ca,lower,64,1,sldl/ca-64,ocd-division/country:us/state:ca/sldl:64
ca,lower,65,1,sldl/ca-65,ocd-division/country:us/state:ca/sldl:65
ca,lower,66,1,sldl/ca-66,ocd-division/country:us/state:ca/sldl:66
ca,lower,67,1,sldl/ca-67,ocd-division/country:us/state:ca/sldl:67
ca,lower,68,1,sldl/ca-68,ocd-division/country:us/state:ca/sldl:68
ca,lower,69,1,sldl/ca-69,ocd-division/country:us/state:ca/sldl:69
ca,lower,70,1,sldl/ca-70,ocd-division/country:us/state:ca/sldl:70
ca,lower,71,1,sldl/ca-71,ocd-division/country:us/state:ca/sldl:71
ca,lower,7,1,sldl/ca-7,ocd-division/country:us/state:ca/sldl:7
ca,lower,72,1,sldl/ca-72,ocd-division/country:us/state:ca/sldl:72
ca,lower,73,1,sldl/ca-73,ocd-division/country:us/state:ca/sldl:73
ca,lower,74,1,sldl/ca-74,ocd-division/country:us/state:ca/sldl:74
ca,lower,75,1,sldl/ca-75,ocd-division/country:us/state:ca/sldl:75
ca,lower,76,1,sldl/ca-76,ocd-division/country:us/state:ca/sldl:76
ca,lower,77,1,sldl/ca-77,ocd-division/country:us/state:ca/sldl:77
ca,lower,78,1,sldl/ca-78,ocd-division/country:us/state:ca/sldl:78
ca,lower,79,1,sldl/ca-79,ocd-division/country:us/state:ca/sldl:79
ca,lower,80,1,sldl/ca-80,ocd-division/country:us/state:ca/sldl:80
ca,lower,8,1,sldl/ca-8,ocd-division/country:us/state:ca/sldl:8
ca,lower,9,1,sldl/ca-9,ocd-division/country:us/state:ca/sldl:9
ca,upper,10,1,sldu/ca-10,ocd-division/country:us/state:ca/sldu:10
ca,upper,11,1,sldu/ca-11,ocd-division/country:us/state:ca/sldu:11
ca,upper,1,1,sldu/ca-1,ocd-division/country:us/state:ca/sldu:1
ca,upper,12,1,sldu/ca-12,ocd-division/country:us/state:ca/sldu:12
ca,upper,13,1,sldu/ca-13,ocd-division/country:us/state:ca/sldu:13
ca,upper,14,1,sldu/ca-14,ocd-division/country:us/state:ca/sldu:14
ca,upper,15,1,sldu/ca-15,ocd-division/country:us/state:ca/sldu:15
ca,upper,16,1,sldu/ca-16,ocd-division/country:us/state:ca/sldu:16
ca,upper,17,1,sldu/ca-17,ocd-division/country:us/state:ca/sldu:17
ca,upper,18,1,sldu/ca-18,ocd-division/country:us/state:ca/sldu:18
ca,upper,19,1,sldu/ca-19,ocd-division/country:us/state:ca/sldu:19
ca,upper,20,1,sldu/ca-20,ocd-division/country:us/state:ca/sldu:20
ca,upper,21,1,sldu/ca-21,ocd-division/country:us/state:ca/sldu:21
ca,upper,2,1,sldu/ca-2,ocd-division/country:us/state:ca/sldu:2
ca,upper,22,1,sldu/ca-22,ocd-division/country:us/state:ca/sldu:22
ca,upper,23,1,sldu/ca-23,ocd-division/country:us/state:ca/sldu:23
ca,upper,24,1,sldu/ca-24,ocd-division/country:us/state:ca/sldu:24
ca,upper,25,1,sldu/ca-25,ocd-division/country:us/state:ca/sldu:25
ca,upper,26,1,sldu/ca-26,ocd-division/country:us/state:ca/sldu:26
ca,upper,27,1,sldu/ca-27,ocd-division/country:us/state:ca/sldu:27
ca,upper,28,1,sldu/ca-28,ocd-division/country:us/state:ca/sldu:28
ca,upper,29,1,sldu/ca-29,ocd-division/country:us/state:ca/sldu:29
ca,upper,30,1,sldu/ca-30,ocd-division/country:us/state:ca/sldu:30
ca,upper,31,1,sldu/ca-31,ocd-division/country:us/state:ca/sldu:31
ca,upper,3,1,sldu/ca-3,ocd-division/country:us/state:ca/sldu:3
ca,upper,32,1,sldu/ca-32,ocd-division/country:us/state:ca/sldu:32
ca,upper,33,1,sldu/ca-33,ocd-division/country:us/state:ca/sldu:33
ca,upper,34,1,sldu/ca-34,ocd-division/country:us/state:ca/sldu:34
ca,upper,35,1,sldu/ca-35,ocd-division/country:us/state:ca/sldu:35
ca,upper,36,1,sldu/ca-36,ocd-division/country:us/state:ca/sldu:36
ca,upper,37,1,sldu/ca-37,ocd-division/country:us/state:ca/sldu:37
ca,upper,38,1,sldu/ca-38,ocd-division/country:us/state:ca/sldu:38
ca,upper,39,1,sldu/ca-39,ocd-division/country:us/state:ca/sldu:39
ca,upper,40,1,sldu/ca-40,ocd-division/country:us/state:ca/sldu:40
ca,upper,4,1,sldu/ca-4,ocd-division/country:us/state:ca/sldu:4
ca,upper,5,1,sldu/ca-5,ocd-division/country:us/state:ca/sldu:5
ca,upper,6,1,sldu/ca-6,ocd-division/country:us/state:ca/sldu:6
ca,upper,7,1,sldu/ca-7,ocd-division/country:us/state:ca/sldu:7
ca,upper,8,1,sldu/ca-8,ocd-division/country:us/state:ca/sldu:8
ca,upper,9,1,sldu/ca-9,ocd-division/country:us/state:ca/sldu:9
