abbr,chamber,name,num_seats,boundary_id,division_id
co,lower,10,1,sldl/co-10,ocd-division/country:us/state:co/sldl:10
co,lower,11,1,sldl/co-11,ocd-division/country:us/state:co/sldl:11
co,lower,1,1,sldl/co-1,ocd-division/country:us/state:co/sldl:1
co,lower,12,1,sldl/co-12,ocd-division/country:us/state:co/sldl:12
co,lower,13,1,sldl/co-13,ocd-division/country:us/state:co/sldl:13
co,lower,14,1,sldl/co-14,ocd-division/country:us/state:co/sldl:14
co,lower,15,1,sldl/co-15,ocd-division/country:us/state:co/sldl:15
co,lower,16,1,sldl/co-16,ocd-division/country:us/state:co/sldl:16
co,lower,17,1,sldl/co-17,ocd-division/country:us/state:co/sldl:17
co,lower,18,1,sldl/co-18,ocd-division/country:us/state:co/sldl:18
co,lower,19,1,sldl/co-19,ocd-division/country:us/state:co/sldl:19
co,lower,20,1,sldl/co-20,ocd-division/country:us/state:co/sldl:20
co,lower,21,1,sldl/co-21,ocd-division/country:us/state:co/sldl:21
co,lower,2,1,sldl/co-2,ocd-division/country:us/state:co/sldl:2
co,lower,22,1,sldl/co-22,ocd-division/country:us/state:co/sldl:22
co,lower,23,1,sldl/co-23,ocd-division/country:us/state:co/sldl:23
co,lower,24,1,sldl/co-24,ocd-division/country:us/state:co/sldl:24
co,lower,25,1,sldl/co-25,ocd-division/country:us/state:co/sldl:25
co,lower,26,1,sldl/co-26,ocd-division/country:us/state:co/sldl:26
co,lower,27,1,sldl/co-27,ocd-division/country:us/state:co/sldl:27
co,lower,28,1,sldl/co-28,ocd-division/country:us/state:co/sldl:28
co,lower,29,1,sldl/co-29,ocd-division/country:us/state:co/sldl:29
co,lower,30,1,sldl/co-30,ocd-division/country:us/state:co/sldl:30
co,lower,31,1,sldl/co-31,ocd-division/country:us/state:co/sldl:31
co,lower,3,1,sldl/co-3,ocd-division/country:us/state:co/sldl:3
co,lower,32,1,sldl/co-32,ocd-division/country:us/state:co/sldl:32
co,lower,33,1,sldl/co-33,ocd-division/country:us/state:co/sldl:33
co,lower,34,1,sldl/co-34,ocd-division/country:us/state:co/sldl:34
co,lower,35,1,sldl/co-35,ocd-division/country:us/state:co/sldl:35
co,lower,36,1,sldl/co-36,ocd-division/country:us/state:co/sldl:36
co,lower,37,1,sldl/co-37,ocd-division/country:us/state:co/sldl:37
co,lower,38,1,sldl/co-38,ocd-division/country:us/state:co/sldl:38
co,lower,39,1,sldl/co-39,ocd-division/country:us/state:co/sldl:39
co,lower,40,1,sldl/co-40,ocd-division/country:us/state:co/sldl:40
co,lower,41,1,sldl/co-41,ocd-division/country:us/state:co/sldl:41
co,lower,4,1,sldl/co-4,ocd-division/country:us/state:co/sldl:4
co,lower,42,1,sldl/co-42,ocd-division/country:us/state:co/sldl:42
co,lower,43,1,sldl/co-43,ocd-division/country:us/state:co/sldl:43
co,lower,44,1,sldl/co-44,ocd-division/country:us/state:co/sldl:44
co,lower,45,1,sldl/co-45,ocd-division/country:us/state:co/sldl:45
co,lower,46,1,sldl/co-46,ocd-division/country:us/state:co/sldl:46
co,lower,47,1,sldl/co-47,ocd-division/country:us/state:co/sldl:47
co,lower,48,1,sldl/co-48,ocd-division/country:us/state:co/sldl:48
co,lower,49,1,sldl/co-49,ocd-division/country:us/state:co/sldl:49
co,lower,50,1,sldl/co-50,ocd-division/country:us/state:co/sldl:50
co,lower,51,1,sldl/co-51,ocd-division/country:us/state:co/sldl:51
co,lower,5,1,sldl/co-5,ocd-division/country:us/state:co/sldl:5
co,lower,52,1,sldl/co-52,ocd-division/country:us/state:co/sldl:52
co,lower,53,1,sldl/co-53,ocd-division/country:us/state:co/sldl:53
co,lower,54,1,sldl/co-54,ocd-division/country:us/state:co/sldl:54
co,lower,55,1,sldl/co-55,ocd-division/country:us/state:co/sldl:55
co,lower,56,1,sldl/co-56,ocd-division/country:us/state:co/sldl:56
co,lower,57,1,sldl/co-57,ocd-division/country:us/state:co/sldl:57
co,lower,58,1,sldl/co-58,ocd-division/country:us/state:co/sldl:58
