abbr,chamber,name,num_seats,boundary_id,division_id
ct,lower,1,1,sldl/ct-1,ocd-division/country:us/state:ct/sldl:1
ct,lower,2,1,sldl/ct-2,ocd-division/country:us/state:ct/sldl:2
ct,lower,3,1,sldl/ct-3,ocd-division/country:us/state:ct/sldl:3
ct,lower,4,1,sldl/ct-4,ocd-division/country:us/state:ct/sldl:4
ct,lower,5,1,sldl/ct-5,ocd-division/country:us/state:ct/sldl:5
ct,lower,6,1,sldl/ct-6,ocd-division/country:us/state:ct/sldl:6
ct,lower,7,1,sldl/ct-7,ocd-division/country:us/state:ct/sldl:7
ct,lower,8,1,sldl/ct-8,ocd-division/country:us/state:ct/sldl:8
ct,lower,9,1,sldl/ct-9,ocd-division/country:us/state:ct/sldl:9
ct,lower,10,1,sldl/ct-10,ocd-division/country:us/state:ct/sldl:10
ct,lower,11,1,sldl/ct-11,ocd-division/country:us/state:ct/sldl:11
ct,lower,12,1,sldl/ct-12,ocd-division/country:us/state:ct/sldl:12
ct,lower,13,1,sldl/ct-13,ocd-division/country:us/state:ct/sldl:13
ct,lower,14,1,sldl/ct-14,ocd-division/country:us/state:ct/sldl:14
ct,lower,15,1,sldl/ct-15,ocd-division/country:us/state:ct/sldl:15
ct,lower,16,1,sldl/ct-16,ocd-division/country:us/state:ct/sldl:16
ct,lower,17,1,sldl/ct-17,ocd-division/country:us/state:ct/sldl:17
ct,lower,18,1,sldl/ct-18,ocd-division/country:us/state:ct/sldl:18
ct,lower,19,1,sldl/ct-19,ocd-division/country:us/state:ct/sldl:19
ct,lower,20,1,sldl/ct-20,ocd-division/country:us/state:ct/sldl:20
ct,lower,21,1,sldl/ct-21,ocd-division/country:us/state:ct/sldl:21
ct,lower,22,1,sldl/ct-22,ocd-division/country:us/state:ct/sldl:22
ct,lower,23,1,sldl/ct-23,ocd-division/country:us/state:ct/sldl:23
ct,lower,24,1,sldl/ct-24,ocd-division/country:us/state:ct/sldl:24
ct,lower,25,1,sldl/ct-25,ocd-division/country:us/state:ct/sldl:25
ct,lower,26,1,sldl/ct-26,ocd-division/country:us/state:ct/sldl:26
ct,lower,27,1,sldl/ct-27,ocd-division/country:us/state:ct/sldl:27
ct,lower,28,1,sldl/ct-28,ocd-division/country:us/state:ct/sldl:28
ct,lower,29,1,sldl/ct-29,ocd-division/country:us/state:ct/sldl:29
ct,lower,30,1,sldl/ct-30,ocd-division/country:us/state:ct/sldl:30
ct,lower,31,1,sldl/ct-31,ocd-division/country:us/state:ct/sldl:31
ct,lower,32,1,sldl/ct-32,ocd-division/country:us/state:ct/sldl:32
ct,lower,33,1,sldl/ct-33,ocd-division/country:us/state:ct/sldl:33
ct,lower,34,1,sldl/ct-34,ocd-division/country:us/state:ct/sldl:34
ct,lower,35,1,sldl/ct-35,ocd-division/country:us/state:ct/sldl:35
ct,lower,36,1,sldl/ct-36,ocd-division/country:us/state:ct/sldl:36
ct,lower,37,1,sldl/ct-37,ocd-division/country:us/state:ct/sldl:37
ct,lower,38,1,sldl/ct-38,ocd-division/country:us/state:ct/sldl:38
ct,lower,39,1,sldl/ct-39,ocd-division/country:us/state:ct/sldl:39
ct,lower,40,1,sldl/ct-40,ocd-division/country:us/state:ct/sldl:40
ct,lower,41,1,sldl/ct-41,ocd-division/country:us/state:ct/sldl:41
ct,lower,42,1,sldl/ct-42,ocd-division/country:us/state:ct/sldl:42
ct,lower,43,1,sldl/ct-43,ocd-division/country:us/state:ct/sldl:43
ct,lower,44,1,sldl/ct-44,ocd-division/country:us/state:ct/sldl:44
ct,lower,45,1,sldl/ct-45,ocd-division/country:us/state:ct/sldl:45
ct,lower,46,1,sldl/ct-46,ocd-division/country:us/state:ct/sldl:46
ct,lower,47,1,sldl/ct-47,ocd-division/country:us/state:ct/sldl:47
ct,lower,48,1,sldl/ct-48,ocd-division/country:us/state:ct/sldl:48
ct,lower,49,1,sldl/ct-49,ocd-division/country:us/state:ct/sldl:49
ct,lower,50,1,sldl/ct-50,ocd-division/country:us/state:ct/sldl:50
ct,lower,51,1,sldl/ct-51,ocd-division/country:us/state:ct/sldl:51
ct,lower,52,1,sldl/ct-52,ocd-division/country:us/state:ct/sldl:52
ct,lower,53,1,sldl/ct-53,ocd-division/country:us/state:ct/sldl:53
ct,lower,54,1,sldl/ct-54,ocd-division/country:us/state:ct/sldl:54
ct,lower,55,1,sldl/ct-55,ocd-division/country:us/state:ct/sldl:55
ct,lower,56,1,sldl/ct-56,ocd-division/country:us/state:ct/sldl:56
ct,lower,57,1,sldl/ct-57,ocd-division/country:us/state:ct/sldl:57
ct,lower,58,1,sldl/ct-58,ocd-division/country:us/state:ct/sldl:58
ct,lower,59,1,sldl/ct-59,ocd-division/country:us/state:ct/sldl:59
ct,lower,60,1,sldl/ct-60,ocd-division/country:us/state:ct/sldl:60
