abbr,chamber,name,num_seats,boundary_id,division_id
dc,upper,Ward 1,1,sldu/dc-1,ocd-division/country:us/district:dc/ward:1
dc,upper,Ward 2,1,sldu/dc-2,ocd-division/country:us/district:dc/ward:2
dc,upper,Ward 3,1,sldu/dc-3,ocd-division/country:us/district:dc/ward:3
dc,upper,Ward 4,1,sldu/dc-4,ocd-division/country:us/district:dc/ward:4
dc,upper,Ward 5,1,sldu/dc-5,ocd-division/country:us/district:dc/ward:5
dc,upper,Ward 6,1,sldu/dc-6,ocd-division/country:us/district:dc/ward:6
dc,upper,Ward 7,1,sldu/dc-7,ocd-division/country:us/district:dc/ward:7
dc,upper,Ward 8,1,sldu/dc-8,ocd-division/country:us/district:dc/ward:8
dc,upper,At-Large,4,cd/dc-delegate-district-at-large,ocd-division/country:us/district:dc
dc,upper,Chairman,1,cd/dc-delegate-district-at-large,ocd-division/country:us/district:dc
