abbr,chamber,name,num_seats,boundary_id
id,lower,10,1,sldl/id-10
id,lower,11,1,sldl/id-11
id,lower,1,1,sldl/id-1
id,lower,12,1,sldl/id-12
id,lower,13,1,sldl/id-13
id,lower,14,1,sldl/id-14
id,lower,15,1,sldl/id-15
id,lower,16,1,sldl/id-16
id,lower,17,1,sldl/id-17
id,lower,18,1,sldl/id-18
id,lower,19,1,sldl/id-19
id,lower,20,1,sldl/id-20
id,lower,21,1,sldl/id-21
id,lower,2,1,sldl/id-2
id,lower,22,1,sldl/id-22
id,lower,23,1,sldl/id-23
id,lower,24,1,sldl/id-24
id,lower,25,1,sldl/id-25
id,lower,26,1,sldl/id-26
id,lower,27,1,sldl/id-27
id,lower,28,1,sldl/id-28
id,lower,29,1,sldl/id-29
id,lower,30,1,sldl/id-30
id,lower,31,1,sldl/id-31
id,lower,3,1,sldl/id-3
id,lower,32,1,sldl/id-32
id,lower,33,1,sldl/id-33
id,lower,34,1,sldl/id-34
id,lower,35,1,sldl/id-35
id,lower,4,1,sldl/id-4
id,lower,5,1,sldl/id-5
id,lower,6,1,sldl/id-6
id,lower,7,1,sldl/id-7
id,lower,8,1,sldl/id-8
id,lower,9,1,sldl/id-9
id,upper,10,1,sldu/id-10
id,upper,11,1,sldu/id-11
id,upper,1,1,sldu/id-1
id,upper,12,1,sldu/id-12
id,upper,13,1,sldu/id-13
id,upper,14,1,sldu/id-14
id,upper,15,1,sldu/id-15
id,upper,16,1,sldu/id-16
id,upper,17,1,sldu/id-17
id,upper,18,1,sldu/id-18
id,upper,19,1,sldu/id-19
id,upper,20,1,sldu/id-20
id,upper,21,1,sldu/id-21
id,upper,2,1,sldu/id-2
id,upper,22,1,sldu/id-22
id,upper,23,1,sldu/id-23
id,upper,24,1,sldu/id-24
id,upper,25,1,sldu/id-25
id,upper,26,1,sldu/id-26
id,upper,27,1,sldu/id-27
id,upper,28,1,sldu/id-28
id,upper,29,1,sldu/id-29
id,upper,30,1,sldu/id-30
id,upper,31,1,sldu/id-31
id,upper,3,1,sldu/id-3
id,upper,32,1,sldu/id-32
id,upper,33,1,sldu/id-33
id,upper,34,1,sldu/id-34
id,upper,35,1,sldu/id-35
id,upper,4,1,sldu/id-4
id,upper,5,1,sldu/id-5
id,upper,6,1,sldu/id-6
id,upper,7,1,sldu/id-7
id,upper,8,1,sldu/id-8
id,upper,9,1,sldu/id-9
