abbr,chamber,name,num_seats,boundary_id,division_id
il,lower,100,1,sldl/il-100,ocd-division/country:us/state:il/sldl:100
il,lower,101,1,sldl/il-101,ocd-division/country:us/state:il/sldl:101
il,lower,10,1,sldl/il-10,ocd-division/country:us/state:il/sldl:10
il,lower,102,1,sldl/il-102,ocd-division/country:us/state:il/sldl:102
il,lower,103,1,sldl/il-103,ocd-division/country:us/state:il/sldl:103
il,lower,104,1,sldl/il-104,ocd-division/country:us/state:il/sldl:104
il,lower,105,1,sldl/il-105,ocd-division/country:us/state:il/sldl:105
il,lower,106,1,sldl/il-106,ocd-division/country:us/state:il/sldl:106
il,lower,107,1,sldl/il-107,ocd-division/country:us/state:il/sldl:107
il,lower,108,1,sldl/il-108,ocd-division/country:us/state:il/sldl:108
il,lower,109,1,sldl/il-109,ocd-division/country:us/state:il/sldl:109
il,lower,110,1,sldl/il-110,ocd-division/country:us/state:il/sldl:110
il,lower,111,1,sldl/il-111,ocd-division/country:us/state:il/sldl:111
il,lower,11,1,sldl/il-11,ocd-division/country:us/state:il/sldl:11
il,lower,112,1,sldl/il-112,ocd-division/country:us/state:il/sldl:112
il,lower,113,1,sldl/il-113,ocd-division/country:us/state:il/sldl:113
il,lower,114,1,sldl/il-114,ocd-division/country:us/state:il/sldl:114
il,lower,115,1,sldl/il-115,ocd-division/country:us/state:il/sldl:115
il,lower,116,1,sldl/il-116,ocd-division/country:us/state:il/sldl:116
il,lower,117,1,sldl/il-117,ocd-division/country:us/state:il/sldl:117
il,lower,118,1,sldl/il-118,ocd-division/country:us/state:il/sldl:118
il,lower,1,1,sldl/il-1,ocd-division/country:us/state:il/sldl:1
il,lower,12,1,sldl/il-12,ocd-division/country:us/state:il/sldl:12
il,lower,13,1,sldl/il-13,ocd-division/country:us/state:il/sldl:13
il,lower,14,1,sldl/il-14,ocd-division/country:us/state:il/sldl:14
il,lower,15,1,sldl/il-15,ocd-division/country:us/state:il/sldl:15
il,lower,16,1,sldl/il-16,ocd-division/country:us/state:il/sldl:16
il,lower,17,1,sldl/il-17,ocd-division/country:us/state:il/sldl:17
il,lower,18,1,sldl/il-18,ocd-division/country:us/state:il/sldl:18
il,lower,19,1,sldl/il-19,ocd-division/country:us/state:il/sldl:19
il,lower,20,1,sldl/il-20,ocd-division/country:us/state:il/sldl:20
il,lower,21,1,sldl/il-21,ocd-division/country:us/state:il/sldl:21
il,lower,2,1,sldl/il-2,ocd-division/country:us/state:il/sldl:2
il,lower,22,1,sldl/il-22,ocd-division/country:us/state:il/sldl:22
il,lower,23,1,sldl/il-23,ocd-division/country:us/state:il/sldl:23
il,lower,24,1,sldl/il-24,ocd-division/country:us/state:il/sldl:24
il,lower,25,1,sldl/il-25,ocd-division/country:us/state:il/sldl:25
il,lower,26,1,sldl/il-26,ocd-division/country:us/state:il/sldl:26
il,lower,27,1,sldl/il-27,ocd-division/country:us/state:il/sldl:27
il,lower,28,1,sldl/il-28,ocd-division/country:us/state:il/sldl:28
il,lower,29,1,sldl/il-29,ocd-division/country:us/state:il/sldl:29
il,lower,30,1,sldl/il-30,ocd-division/country:us/state:il/sldl:30
il,lower,31,1,sldl/il-31,ocd-division/country:us/state:il/sldl:31
il,lower,3,1,sldl/il-3,ocd-division/country:us/state:il/sldl:3
il,lower,32,1,sldl/il-32,ocd-division/country:us/state:il/sldl:32
il,lower,33,1,sldl/il-33,ocd-division/country:us/state:il/sldl:33
il,lower,34,1,sldl/il-34,ocd-division/country:us/state:il/sldl:34
il,lower,35,1,sldl/il-35,ocd-division/country:us/state:il/sldl:35
il,lower,36,1,sldl/il-36,ocd-division/country:us/state:il/sldl:36
il,lower,37,1,sldl/il-37,ocd-division/country:us/state:il/sldl:37
il,lower,38,1,sldl/il-38,ocd-division/country:us/state:il/sldl:38
il,lower,39,1,sldl/il-39,ocd-division/country:us/state:il/sldl:39
il,lower,40,1,sldl/il-40,ocd-division/country:us/state:il/sldl:40
il,lower,41,1,sldl/il-41,ocd-division/country:us/state:il/sldl:41
il,lower,4,1,sldl/il-4,ocd-division/country:us/state:il/sldl:4
il,lower,42,1,sldl/il-42,ocd-division/country:us/state:il/sldl:42
il,lower,43,1,sldl/il-43,ocd-division/country:us/state:il/sldl:43
il,lower,44,1,sldl/il-44,ocd-division/country:us/state:il/sldl:44
il,lower,45,1,sldl/il-45,ocd-division/country:us/state:il/sldl:45
il,lower,46,1,sldl/il-46,ocd-division/country:us/state:il/sldl:46
il,lower,47,1,sldl/il-47,ocd-division/country:us/state:il/sldl:47
il,lower,48,1,sldl/il-48,ocd-division/country:us/state:il/sldl:48
il,lower,49,1,sldl/il-49,ocd-division/country:us/state:il/sldl:49
il,lower,50,1,sldl/il-50,ocd-division/country:us/state:il/sldl:50
il,lower,51,1,sldl/il-51,ocd-division/country:us/state:il/sldl:51
il,lower,5,1,sldl/il-5,ocd-division/country:us/state:il/sldl:5
il,lower,52,1,sldl/il-52,ocd-division/country:us/state:il/sldl:52
il,lower,53,1,sldl/il-53,ocd-division/country:us/state:il/sldl:53
il,lower,54,1,sldl/il-54,ocd-division/country:us/state:il/sldl:54
il,lower,55,1,sldl/il-55,ocd-division/country:us/state:il/sldl:55
il,lower,56,1,sldl/il-56,ocd-division/country:us/state:il/sldl:56
il,lower,57,1,sldl/il-57,ocd-division/country:us/state:il/sldl:57
il,lower,58,1,sldl/il-58,ocd-division/country:us/state:il/sldl:58
il,lower,59,1,sldl/il-59,ocd-division/country:us/state:il/sldl:59
il,lower,60,1,sldl/il-60,ocd-division/country:us/state:il/sldl:60
il,lower,61,1,sldl/il-61,ocd-division/country:us/state:il/sldl:61
il,lower,6,1,sldl/il-6,ocd-division/country:us/state:il/sldl:6
il,lower,62,1,sldl/il-62,ocd-division/country:us/state:il/sldl:62
il,lower,63,1,sldl/il-63,ocd-division/country:us/state:il/sldl:63
il,lower,64,1,sldl/il-64,ocd-division/country:us/state:il/sldl:64
il,lower,65,1,sldl/il-65,ocd-division/country:us/state:il/sldl:65
il,lower,66,1,sldl/il-66,ocd-division/country:us/state:il/sldl:66
il,lower,67,1,sldl/il-67,ocd-division/country:us/state:il/sldl:67
il,lower,68,1,sldl/il-68,ocd-division/country:us/state:il/sldl:68
il,lower,69,1,sldl/il-69,ocd-division/country:us/state:il/sldl:69
il,lower,70,1,sldl/il-70,ocd-division/country:us/state:il/sldl:70
il,lower,71,1,sldl/il-71,ocd-division/country:us/state:il/sldl:71
il,lower,7,1,sldl/il-7,ocd-division/country:us/state:il/sldl:7
il,lower,72,1,sldl/il-72,ocd-division/country:us/state:il/sldl:72
il,lower,73,1,sldl/il-73,ocd-division/country:us/state:il/sldl:73
il,lower,74,1,sldl/il-74,ocd-division/country:us/state:il/sldl:74
il,lower,75,1,sldl/il-75,ocd-division/country:us/state:il/sldl:75
il,lower,76,1,sldl/il-76,ocd-division/country:us/state:il/sldl:76
il,lower,77,1,sldl/il-77,ocd-division/country:us/state:il/sldl:77
il,lower,78,1,sldl/il-78,ocd-division/country:us/state:il/sldl:78
il,lower,79,1,sldl/il-79,ocd-division/country:us/state:il/sldl:79
il,lower,80,1,sldl/il-80,ocd-division/country:us/state:il/sldl:80
il,lower,81,1,sldl/il-81,ocd-division/country:us/state:il/sldl:81
il,lower,8,1,sldl/il-8,ocd-division/country:us/state:il/sldl:8
il,lower,82,1,sldl/il-82,ocd-division/country:us/state:il/sldl:82
il,lower,83,1,sldl/il-83,ocd-division/country:us/state:il/sldl:83
il,lower,84,1,sldl/il-84,ocd-division/country:us/state:il/sldl:84
il,lower,85,1,sldl/il-85,ocd-division/country:us/state:il/sldl:85
il,lower,86,1,sldl/il-86,ocd-division/country:us/state:il/sldl:86
il,lower,87,1,sldl/il-87,ocd-division/country:us/state:il/sldl:87
il,lower,88,1,sldl/il-88,ocd-division/country:us/state:il/sldl:88
il,lower,89,1,sldl/il-89,ocd-division/country:us/state:il/sldl:89
il,lower,90,1,sldl/il-90,ocd-division/country:us/state:il/sldl:90
il,lower,91,1,sldl/il-91,ocd-division/country:us/state:il/sldl:91
il,lower,9,1,sldl/il-9,ocd-division/country:us/state:il/sldl:9
il,lower,92,1,sldl/il-92,ocd-division/country:us/state:il/sldl:92
il,lower,93,1,sldl/il-93,ocd-division/country:us/state:il/sldl:93
il,lower,94,1,sldl/il-94,ocd-division/country:us/state:il/sldl:94
il,lower,95,1,sldl/il-95,ocd-division/country:us/state:il/sldl:95
il,lower,96,1,sldl/il-96,ocd-division/country:us/state:il/sldl:96
il,lower,97,1,sldl/il-97,ocd-division/country:us/state:il/sldl:97
il,lower,98,1,sldl/il-98,ocd-division/country:us/state:il/sldl:98
il,lower,99,1,sldl/il-99,ocd-division/country:us/state:il/sldl:99
il,upper,10,1,sldu/il-10,ocd-division/country:us/state:il/sldu:10
il,upper,11,1,sldu/il-11,ocd-division/country:us/state:il/sldu:11
il,upper,1,1,sldu/il-1,ocd-division/country:us/state:il/sldu:1
il,upper,12,1,sldu/il-12,ocd-division/country:us/state:il/sldu:12
il,upper,13,1,sldu/il-13,ocd-division/country:us/state:il/sldu:13
il,upper,14,1,sldu/il-14,ocd-division/country:us/state:il/sldu:14
il,upper,15,1,sldu/il-15,ocd-division/country:us/state:il/sldu:15
il,upper,16,1,sldu/il-16,ocd-division/country:us/state:il/sldu:16
il,upper,17,1,sldu/il-17,ocd-division/country:us/state:il/sldu:17
il,upper,18,1,sldu/il-18,ocd-division/country:us/state:il/sldu:18
il,upper,19,1,sldu/il-19,ocd-division/country:us/state:il/sldu:19
il,upper,20,1,sldu/il-20,ocd-division/country:us/state:il/sldu:20
il,upper,21,1,sldu/il-21,ocd-division/country:us/state:il/sldu:21
il,upper,2,1,sldu/il-2,ocd-division/country:us/state:il/sldu:2
il,upper,22,1,sldu/il-22,ocd-division/country:us/state:il/sldu:22
il,upper,23,1,sldu/il-23,ocd-division/country:us/state:il/sldu:23
il,upper,24,1,sldu/il-24,ocd-division/country:us/state:il/sldu:24
il,upper,25,1,sldu/il-25,ocd-division/country:us/state:il/sldu:25
il,upper,26,1,sldu/il-26,ocd-division/country:us/state:il/sldu:26
il,upper,27,1,sldu/il-27,ocd-division/country:us/state:il/sldu:27
il,upper,28,1,sldu/il-28,ocd-division/country:us/state:il/sldu:28
il,upper,29,1,sldu/il-29,ocd-division/country:us/state:il/sldu:29
il,upper,30,1,sldu/il-30,ocd-division/country:us/state:il/sldu:30
il,upper,31,1,sldu/il-31,ocd-division/country:us/state:il/sldu:31
il,upper,3,1,sldu/il-3,ocd-division/country:us/state:il/sldu:3
il,upper,32,1,sldu/il-32,ocd-division/country:us/state:il/sldu:32
il,upper,33,1,sldu/il-33,ocd-division/country:us/state:il/sldu:33
il,upper,34,1,sldu/il-34,ocd-division/country:us/state:il/sldu:34
il,upper,35,1,sldu/il-35,ocd-division/country:us/state:il/sldu:35
