abbr,chamber,name,num_seats,boundary_id
in,lower,100,1,sldl/in-100
in,lower,10,1,sldl/in-10
in,lower,11,1,sldl/in-11
in,lower,1,1,sldl/in-1
in,lower,12,1,sldl/in-12
in,lower,13,1,sldl/in-13
in,lower,14,1,sldl/in-14
in,lower,15,1,sldl/in-15
in,lower,16,1,sldl/in-16
in,lower,17,1,sldl/in-17
in,lower,18,1,sldl/in-18
in,lower,19,1,sldl/in-19
in,lower,20,1,sldl/in-20
in,lower,21,1,sldl/in-21
in,lower,2,1,sldl/in-2
in,lower,22,1,sldl/in-22
in,lower,23,1,sldl/in-23
in,lower,24,1,sldl/in-24
in,lower,25,1,sldl/in-25
in,lower,26,1,sldl/in-26
in,lower,27,1,sldl/in-27
in,lower,28,1,sldl/in-28
in,lower,29,1,sldl/in-29
in,lower,30,1,sldl/in-30
in,lower,31,1,sldl/in-31
in,lower,3,1,sldl/in-3
in,lower,32,1,sldl/in-32
in,lower,33,1,sldl/in-33
in,lower,34,1,sldl/in-34
in,lower,35,1,sldl/in-35
in,lower,36,1,sldl/in-36
in,lower,37,1,sldl/in-37
in,lower,38,1,sldl/in-38
in,lower,39,1,sldl/in-39
in,lower,40,1,sldl/in-40
in,lower,41,1,sldl/in-41
in,lower,4,1,sldl/in-4
in,lower,42,1,sldl/in-42
in,lower,43,1,sldl/in-43
in,lower,44,1,sldl/in-44
in,lower,45,1,sldl/in-45
in,lower,46,1,sldl/in-46
in,lower,47,1,sldl/in-47
in,lower,48,1,sldl/in-48
in,lower,49,1,sldl/in-49
in,lower,50,1,sldl/in-50
in,lower,51,1,sldl/in-51
in,lower,5,1,sldl/in-5
in,lower,52,1,sldl/in-52
in,lower,53,1,sldl/in-53
in,lower,54,1,sldl/in-54
in,lower,55,1,sldl/in-55
in,lower,56,1,sldl/in-56
in,lower,57,1,sldl/in-57
in,lower,58,1,sldl/in-58
in,lower,59,1,sldl/in-59
in,lower,60,1,sldl/in-60
in,lower,61,1,sldl/in-61
in,lower,6,1,sldl/in-6
in,lower,62,1,sldl/in-62
in,lower,63,1,sldl/in-63
in,lower,64,1,sldl/in-64
in,lower,65,1,sldl/in-65
in,lower,66,1,sldl/in-66
in,lower,67,1,sldl/in-67
in,lower,68,1,sldl/in-68
in,lower,69,1,sldl/in-69
in,lower,70,1,sldl/in-70
in,lower,71,1,sldl/in-71
in,lower,7,1,sldl/in-7
in,lower,72,1,sldl/in-72
in,lower,73,1,sldl/in-73
in,lower,74,1,sldl/in-74
in,lower,75,1,sldl/in-75
in,lower,76,1,sldl/in-76
in,lower,77,1,sldl/in-77
in,lower,78,1,sldl/in-78
in,lower,79,1,sldl/in-79
in,lower,80,1,sldl/in-80
in,lower,81,1,sldl/in-81
in,lower,8,1,sldl/in-8
in,lower,82,1,sldl/in-82
in,lower,83,1,sldl/in-83
in,lower,84,1,sldl/in-84
in,lower,85,1,sldl/in-85
in,lower,86,1,sldl/in-86
in,lower,87,1,sldl/in-87
in,lower,88,1,sldl/in-88
in,lower,89,1,sldl/in-89
in,lower,90,1,sldl/in-90
in,lower,91,1,sldl/in-91
in,lower,9,1,sldl/in-9
in,lower,92,1,sldl/in-92
in,lower,93,1,sldl/in-93
in,lower,94,1,sldl/in-94
in,lower,95,1,sldl/in-95
in,lower,96,1,sldl/in-96
in,lower,97,1,sldl/in-97
in,lower,98,1,sldl/in-98
in,lower,99,1,sldl/in-99
in,upper,10,1,sldu/in-10
in,upper,11,1,sldu/in-11
in,upper,1,1,sldu/in-1
in,upper,12,1,sldu/in-12
in,upper,13,1,sldu/in-13
in,upper,14,1,sldu/in-14
in,upper,15,1,sldu/in-15
in,upper,16,1,sldu/in-16
in,upper,17,1,sldu/in-17
in,upper,18,1,sldu/in-18
in,upper,19,1,sldu/in-19
in,upper,20,1,sldu/in-20
in,upper,21,1,sldu/in-21
in,upper,2,1,sldu/in-2
in,upper,22,1,sldu/in-22
in,upper,23,1,sldu/in-23
in,upper,24,1,sldu/in-24
in,upper,25,1,sldu/in-25
in,upper,26,1,sldu/in-26
in,upper,27,1,sldu/in-27
in,upper,28,1,sldu/in-28
in,upper,29,1,sldu/in-29
in,upper,30,1,sldu/in-30
in,upper,31,1,sldu/in-31
in,upper,3,1,sldu/in-3
in,upper,32,1,sldu/in-32
in,upper,33,1,sldu/in-33
in,upper,34,1,sldu/in-34
in,upper,35,1,sldu/in-35
in,upper,36,1,sldu/in-36
in,upper,37,1,sldu/in-37
in,upper,38,1,sldu/in-38
in,upper,39,1,sldu/in-39
in,upper,40,1,sldu/in-40
in,upper,41,1,sldu/in-41
in,upper,4,1,sldu/in-4
in,upper,42,1,sldu/in-42
in,upper,43,1,sldu/in-43
in,upper,44,1,sldu/in-44
in,upper,45,1,sldu/in-45
in,upper,46,1,sldu/in-46
in,upper,47,1,sldu/in-47
in,upper,48,1,sldu/in-48
in,upper,49,1,sldu/in-49
in,upper,50,1,sldu/in-50
in,upper,5,1,sldu/in-5
in,upper,6,1,sldu/in-6
in,upper,7,1,sldu/in-7
in,upper,8,1,sldu/in-8
in,upper,9,1,sldu/in-9
