abbr,chamber,name,num_seats,boundary_id,division_id
ma,lower,Tenth Bristol,1,sldl/ma-10th-bristol,ocd-division/country:us/state:ma/sldl:10th_bristol
ma,lower,Tenth Essex,1,sldl/ma-10th-essex,ocd-division/country:us/state:ma/sldl:10th_essex
ma,lower,Tenth Hampden,1,sldl/ma-10th-hampden,ocd-division/country:us/state:ma/sldl:10th_hampden
ma,lower,Tenth Middlesex,1,sldl/ma-10th-middlesex,ocd-division/country:us/state:ma/sldl:10th_middlesex
ma,lower,Tenth Norfolk,1,sldl/ma-10th-norfolk,ocd-division/country:us/state:ma/sldl:10th_norfolk
ma,lower,Tenth Plymouth,1,sldl/ma-10th-plymouth,ocd-division/country:us/state:ma/sldl:10th_plymouth
ma,lower,Tenth Suffolk,1,sldl/ma-10th-suffolk,ocd-division/country:us/state:ma/sldl:10th_suffolk
ma,lower,Tenth Worcester,1,sldl/ma-10th-worcester,ocd-division/country:us/state:ma/sldl:10th_worcester
ma,lower,Eleventh Bristol,1,sldl/ma-11th-bristol,ocd-division/country:us/state:ma/sldl:11th_bristol
ma,lower,Eleventh Essex,1,sldl/ma-11th-essex,ocd-division/country:us/state:ma/sldl:11th_essex
ma,lower,Eleventh Hampden,1,sldl/ma-11th-hampden,ocd-division/country:us/state:ma/sldl:11th_hampden
ma,lower,Eleventh Middlesex,1,sldl/ma-11th-middlesex,ocd-division/country:us/state:ma/sldl:11th_middlesex
ma,lower,Eleventh Norfolk,1,sldl/ma-11th-norfolk,ocd-division/country:us/state:ma/sldl:11th_norfolk
ma,lower,Eleventh Plymouth,1,sldl/ma-11th-plymouth,ocd-division/country:us/state:ma/sldl:11th_plymouth
ma,lower,Eleventh Suffolk,1,sldl/ma-11th-suffolk,ocd-division/country:us/state:ma/sldl:11th_suffolk
ma,lower,Eleventh Worcester,1,sldl/ma-11th-worcester,ocd-division/country:us/state:ma/sldl:11th_worcester
ma,lower,Twelfth Bristol,1,sldl/ma-12th-bristol,ocd-division/country:us/state:ma/sldl:12th_bristol
ma,lower,Twelfth Essex,1,sldl/ma-12th-essex,ocd-division/country:us/state:ma/sldl:12th_essex
ma,lower,Twelfth Hampden,1,sldl/ma-12th-hampden,ocd-division/country:us/state:ma/sldl:12th_hampden
ma,lower,Twelfth Middlesex,1,sldl/ma-12th-middlesex,ocd-division/country:us/state:ma/sldl:12th_middlesex
ma,lower,Twelfth Norfolk,1,sldl/ma-12th-norfolk,ocd-division/country:us/state:ma/sldl:12th_norfolk
ma,lower,Twelfth Plymouth,1,sldl/ma-12th-plymouth,ocd-division/country:us/state:ma/sldl:12th_plymouth
ma,lower,Twelfth Suffolk,1,sldl/ma-12th-suffolk,ocd-division/country:us/state:ma/sldl:12th_suffolk
ma,lower,Twelfth Worcester,1,sldl/ma-12th-worcester,ocd-division/country:us/state:ma/sldl:12th_worcester
ma,lower,Thirteenth Bristol,1,sldl/ma-13th-bristol,ocd-division/country:us/state:ma/sldl:13th_bristol
ma,lower,Thirteenth Essex,1,sldl/ma-13th-essex,ocd-division/country:us/state:ma/sldl:13th_essex
ma,lower,Thirteenth Middlesex,1,sldl/ma-13th-middlesex,ocd-division/country:us/state:ma/sldl:13th_middlesex
ma,lower,Thirteenth Norfolk,1,sldl/ma-13th-norfolk,ocd-division/country:us/state:ma/sldl:13th_norfolk
ma,lower,Thirteenth Suffolk,1,sldl/ma-13th-suffolk,ocd-division/country:us/state:ma/sldl:13th_suffolk
ma,lower,Thirteenth Worcester,1,sldl/ma-13th-worcester,ocd-division/country:us/state:ma/sldl:13th_worcester
ma,lower,Fourteenth Bristol,1,sldl/ma-14th-bristol,ocd-division/country:us/state:ma/sldl:14th_bristol
ma,lower,Fourteenth Essex,1,sldl/ma-14th-essex,ocd-division/country:us/state:ma/sldl:14th_essex
ma,lower,Fourteenth Middlesex,1,sldl/ma-14th-middlesex,ocd-division/country:us/state:ma/sldl:14th_middlesex
ma,lower,Fourteenth Norfolk,1,sldl/ma-14th-norfolk,ocd-division/country:us/state:ma/sldl:14th_norfolk
ma,lower,Fourteenth Suffolk,1,sldl/ma-14th-suffolk,ocd-division/country:us/state:ma/sldl:14th_suffolk
ma,lower,Fourteenth Worcester,1,sldl/ma-14th-worcester,ocd-division/country:us/state:ma/sldl:14th_worcester
ma,lower,Fifteenth Essex,1,sldl/ma-15th-essex,ocd-division/country:us/state:ma/sldl:15th_essex
ma,lower,Fifteenth Middlesex,1,sldl/ma-15th-middlesex,ocd-division/country:us/state:ma/sldl:15th_middlesex
ma,lower,Fifteenth Norfolk,1,sldl/ma-15th-norfolk,ocd-division/country:us/state:ma/sldl:15th_norfolk
ma,lower,Fifteenth Suffolk,1,sldl/ma-15th-suffolk,ocd-division/country:us/state:ma/sldl:15th_suffolk
ma,lower,Fifteenth Worcester,1,sldl/ma-15th-worcester,ocd-division/country:us/state:ma/sldl:15th_worcester
ma,lower,Sixteenth Essex,1,sldl/ma-16th-essex,ocd-division/country:us/state:ma/sldl:16th_essex
ma,lower,Sixteenth Middlesex,1,sldl/ma-16th-middlesex,ocd-division/country:us/state:ma/sldl:16th_middlesex
ma,lower,Sixteenth Suffolk,1,sldl/ma-16th-suffolk,ocd-division/country:us/state:ma/sldl:16th_suffolk
ma,lower,Sixteenth Worcester,1,sldl/ma-16th-worcester,ocd-division/country:us/state:ma/sldl:16th_worcester
ma,lower,Seventeenth Essex,1,sldl/ma-17th-essex,ocd-division/country:us/state:ma/sldl:17th_essex
ma,lower,Seventeenth Middlesex,1,sldl/ma-17th-middlesex,ocd-division/country:us/state:ma/sldl:17th_middlesex
ma,lower,Seventeenth Suffolk,1,sldl/ma-17th-suffolk,ocd-division/country:us/state:ma/sldl:17th_suffolk
ma,lower,Seventeenth Worcester,1,sldl/ma-17th-worcester,ocd-division/country:us/state:ma/sldl:17th_worcester
ma,lower,Eighteenth Essex,1,sldl/ma-18th-essex,ocd-division/country:us/state:ma/sldl:18th_essex
