abbr,chamber,name,num_seats,boundary_id,division_id
md,lower,1A,1,sldl/md-1a,ocd-division/country:us/state:md/sldl:1a
md,lower,1B,1,sldl/md-1b,ocd-division/country:us/state:md/sldl:1b
md,lower,1C,1,sldl/md-1c,ocd-division/country:us/state:md/sldl:1c
md,lower,2A,2,sldl/md-2a,ocd-division/country:us/state:md/sldl:2a
md,lower,2B,1,sldl/md-2b,ocd-division/country:us/state:md/sldl:2b
md,lower,3A,2,sldl/md-3a,ocd-division/country:us/state:md/sldl:3a
md,lower,3B,1,sldl/md-3b,ocd-division/country:us/state:md/sldl:3b
md,lower,4,3,sldl/md-4,ocd-division/country:us/state:md/sldl:4
md,lower,5,3,sldl/md-5,ocd-division/country:us/state:md/sldl:5
md,lower,6,3,sldl/md-6,ocd-division/country:us/state:md/sldl:6
md,lower,7,3,sldl/md-7,ocd-division/country:us/state:md/sldl:7
md,lower,8,3,sldl/md-8,ocd-division/country:us/state:md/sldl:8
md,lower,9A,2,sldl/md-9a,ocd-division/country:us/state:md/sldl:9a
md,lower,9B,1,sldl/md-9b,ocd-division/country:us/state:md/sldl:9b
md,lower,10,3,sldl/md-10,ocd-division/country:us/state:md/sldl:10
md,lower,11,3,sldl/md-11,ocd-division/country:us/state:md/sldl:11
md,lower,12,3,sldl/md-12,ocd-division/country:us/state:md/sldl:12
md,lower,13,3,sldl/md-13,ocd-division/country:us/state:md/sldl:13
md,lower,14,3,sldl/md-14,ocd-division/country:us/state:md/sldl:14
md,lower,15,3,sldl/md-15,ocd-division/country:us/state:md/sldl:15
md,lower,16,3,sldl/md-16,ocd-division/country:us/state:md/sldl:16
md,lower,17,3,sldl/md-17,ocd-division/country:us/state:md/sldl:17
md,lower,18,3,sldl/md-18,ocd-division/country:us/state:md/sldl:18
md,lower,19,3,sldl/md-19,ocd-division/country:us/state:md/sldl:19
md,lower,20,3,sldl/md-20,ocd-division/country:us/state:md/sldl:20
md,lower,21,3,sldl/md-21,ocd-division/country:us/state:md/sldl:21
md,lower,22,3,sldl/md-22,ocd-division/country:us/state:md/sldl:22
