abbr,chamber,name,num_seats,boundary_id,division_id
mi,lower,100,1,sldl/mi-100,ocd-division/country:us/state:mi/sldl:100
mi,lower,101,1,sldl/mi-101,ocd-division/country:us/state:mi/sldl:101
mi,lower,10,1,sldl/mi-10,ocd-division/country:us/state:mi/sldl:10
mi,lower,102,1,sldl/mi-102,ocd-division/country:us/state:mi/sldl:102
mi,lower,103,1,sldl/mi-103,ocd-division/country:us/state:mi/sldl:103
mi,lower,104,1,sldl/mi-104,ocd-division/country:us/state:mi/sldl:104
mi,lower,105,1,sldl/mi-105,ocd-division/country:us/state:mi/sldl:105
mi,lower,106,1,sldl/mi-106,ocd-division/country:us/state:mi/sldl:106
mi,lower,107,1,sldl/mi-107,ocd-division/country:us/state:mi/sldl:107
mi,lower,108,1,sldl/mi-108,ocd-division/country:us/state:mi/sldl:108
mi,lower,109,1,sldl/mi-109,ocd-division/country:us/state:mi/sldl:109
mi,lower,110,1,sldl/mi-110,ocd-division/country:us/state:mi/sldl:110
mi,lower,11,1,sldl/mi-11,ocd-division/country:us/state:mi/sldl:11
mi,lower,1,1,sldl/mi-1,ocd-division/country:us/state:mi/sldl:1
mi,lower,12,1,sldl/mi-12,ocd-division/country:us/state:mi/sldl:12
mi,lower,13,1,sldl/mi-13,ocd-division/country:us/state:mi/sldl:13
mi,lower,14,1,sldl/mi-14,ocd-division/country:us/state:mi/sldl:14
mi,lower,15,1,sldl/mi-15,ocd-division/country:us/state:mi/sldl:15
mi,lower,16,1,sldl/mi-16,ocd-division/country:us/state:mi/sldl:16
mi,lower,17,1,sldl/mi-17,ocd-division/country:us/state:mi/sldl:17
mi,lower,18,1,sldl/mi-18,ocd-division/country:us/state:mi/sldl:18
mi,lower,19,1,sldl/mi-19,ocd-division/country:us/state:mi/sldl:19
mi,lower,20,1,sldl/mi-20,ocd-division/country:us/state:mi/sldl:20
mi,lower,21,1,sldl/mi-21,ocd-division/country:us/state:mi/sldl:21
mi,lower,2,1,sldl/mi-2,ocd-division/country:us/state:mi/sldl:2
mi,lower,22,1,sldl/mi-22,ocd-division/country:us/state:mi/sldl:22
mi,lower,23,1,sldl/mi-23,ocd-division/country:us/state:mi/sldl:23
mi,lower,24,1,sldl/mi-24,ocd-division/country:us/state:mi/sldl:24
mi,lower,25,1,sldl/mi-25,ocd-division/country:us/state:mi/sldl:25
mi,lower,26,1,sldl/mi-26,ocd-division/country:us/state:mi/sldl:26
mi,lower,27,1,sldl/mi-27,ocd-division/country:us/state:mi/sldl:27
mi,lower,28,1,sldl/mi-28,ocd-division/country:us/state:mi/sldl:28
mi,lower,29,1,sldl/mi-29,ocd-division/country:us/state:mi/sldl:29
mi,lower,30,1,sldl/mi-30,ocd-division/country:us/state:mi/sldl:30
mi,lower,31,1,sldl/mi-31,ocd-division/country:us/state:mi/sldl:31
mi,lower,3,1,sldl/mi-3,ocd-division/country:us/state:mi/sldl:3
mi,lower,32,1,sldl/mi-32,ocd-division/country:us/state:mi/sldl:32
mi,lower,33,1,sldl/mi-33,ocd-division/country:us/state:mi/sldl:33
mi,lower,34,1,sldl/mi-34,ocd-division/country:us/state:mi/sldl:34
mi,lower,35,1,sldl/mi-35,ocd-division/country:us/state:mi/sldl:35
mi,lower,36,1,sldl/mi-36,ocd-division/country:us/state:mi/sldl:36
mi,lower,37,1,sldl/mi-37,ocd-division/country:us/state:mi/sldl:37
mi,lower,38,1,sldl/mi-38,ocd-division/country:us/state:mi/sldl:38
mi,lower,39,1,sldl/mi-39,ocd-division/country:us/state:mi/sldl:39
mi,lower,40,1,sldl/mi-40,ocd-division/country:us/state:mi/sldl:40
mi,lower,41,1,sldl/mi-41,ocd-division/country:us/state:mi/sldl:41
mi,lower,4,1,sldl/mi-4,ocd-division/country:us/state:mi/sldl:4
mi,lower,42,1,sldl/mi-42,ocd-division/country:us/state:mi/sldl:42
