abbr,chamber,name,num_seats,boundary_id,division_id
mn,lower,1A,1,sldl/mn-01a,ocd-division/country:us/state:mn/sldl:1a
mn,lower,1B,1,sldl/mn-01b,ocd-division/country:us/state:mn/sldl:1b
mn,lower,2A,1,sldl/mn-02a,ocd-division/country:us/state:mn/sldl:2a
mn,lower,2B,1,sldl/mn-02b,ocd-division/country:us/state:mn/sldl:2b
mn,lower,3A,1,sldl/mn-03a,ocd-division/country:us/state:mn/sldl:3a
mn,lower,3B,1,sldl/mn-03b,ocd-division/country:us/state:mn/sldl:3b
mn,lower,4A,1,sldl/mn-04a,ocd-division/country:us/state:mn/sldl:4a
mn,lower,4B,1,sldl/mn-04b,ocd-division/country:us/state:mn/sldl:4b
mn,lower,5A,1,sldl/mn-05a,ocd-division/country:us/state:mn/sldl:5a
mn,lower,5B,1,sldl/mn-05b,ocd-division/country:us/state:mn/sldl:5b
mn,lower,6A,1,sldl/mn-06a,ocd-division/country:us/state:mn/sldl:6a
mn,lower,6B,1,sldl/mn-06b,ocd-division/country:us/state:mn/sldl:6b
mn,lower,7A,1,sldl/mn-07a,ocd-division/country:us/state:mn/sldl:7a
mn,lower,7B,1,sldl/mn-07b,ocd-division/country:us/state:mn/sldl:7b
mn,lower,8A,1,sldl/mn-08a,ocd-division/country:us/state:mn/sldl:8a
mn,lower,8B,1,sldl/mn-08b,ocd-division/country:us/state:mn/sldl:8b
mn,lower,9A,1,sldl/mn-09a,ocd-division/country:us/state:mn/sldl:9a
mn,lower,9B,1,sldl/mn-09b,ocd-division/country:us/state:mn/sldl:9b
mn,lower,10A,1,sldl/mn-10a,ocd-division/country:us/state:mn/sldl:10a
mn,lower,10B,1,sldl/mn-10b,ocd-division/country:us/state:mn/sldl:10b
mn,lower,11A,1,sldl/mn-11a,ocd-division/country:us/state:mn/sldl:11a
mn,lower,11B,1,sldl/mn-11b,ocd-division/country:us/state:mn/sldl:11b
mn,lower,12A,1,sldl/mn-12a,ocd-division/country:us/state:mn/sldl:12a
mn,lower,12B,1,sldl/mn-12b,ocd-division/country:us/state:mn/sldl:12b
mn,lower,13A,1,sldl/mn-13a,ocd-division/country:us/state:mn/sldl:13a
mn,lower,13B,1,sldl/mn-13b,ocd-division/country:us/state:mn/sldl:13b
mn,lower,14A,1,sldl/mn-14a,ocd-division/country:us/state:mn/sldl:14a
mn,lower,14B,1,sldl/mn-14b,ocd-division/country:us/state:mn/sldl:14b
mn,lower,15A,1,sldl/mn-15a,ocd-division/country:us/state:mn/sldl:15a
mn,lower,15B,1,sldl/mn-15b,ocd-division/country:us/state:mn/sldl:15b
mn,lower,16A,1,sldl/mn-16a,ocd-division/country:us/state:mn/sldl:16a
mn,lower,16B,1,sldl/mn-16b,ocd-division/country:us/state:mn/sldl:16b
mn,lower,17A,1,sldl/mn-17a,ocd-division/country:us/state:mn/sldl:17a
mn,lower,17B,1,sldl/mn-17b,ocd-division/country:us/state:mn/sldl:17b
mn,lower,18A,1,sldl/mn-18a,ocd-division/country:us/state:mn/sldl:18a
mn,lower,18B,1,sldl/mn-18b,ocd-division/country:us/state:mn/sldl:18b
mn,lower,19A,1,sldl/mn-19a,ocd-division/country:us/state:mn/sldl:19a
mn,lower,19B,1,sldl/mn-19b,ocd-division/country:us/state:mn/sldl:19b
mn,lower,20A,1,sldl/mn-20a,ocd-division/country:us/state:mn/sldl:20a
mn,lower,20B,1,sldl/mn-20b,ocd-division/country:us/state:mn/sldl:20b
mn,lower,21A,1,sldl/mn-21a,ocd-division/country:us/state:mn/sldl:21a
mn,lower,21B,1,sldl/mn-21b,ocd-division/country:us/state:mn/sldl:21b
mn,lower,22A,1,sldl/mn-22a,ocd-division/country:us/state:mn/sldl:22a
mn,lower,22B,1,sldl/mn-22b,ocd-division/country:us/state:mn/sldl:22b
mn,lower,23A,1,sldl/mn-23a,ocd-division/country:us/state:mn/sldl:23a
mn,lower,23B,1,sldl/mn-23b,ocd-division/country:us/state:mn/sldl:23b
mn,lower,24A,1,sldl/mn-24a,ocd-division/country:us/state:mn/sldl:24a
mn,lower,24B,1,sldl/mn-24b,ocd-division/country:us/state:mn/sldl:24b
mn,lower,25A,1,sldl/mn-25a,ocd-division/country:us/state:mn/sldl:25a
mn,lower,25B,1,sldl/mn-25b,ocd-division/country:us/state:mn/sldl:25b
mn,lower,26A,1,sldl/mn-26a,ocd-division/country:us/state:mn/sldl:26a
