abbr,chamber,name,num_seats,boundary_id
mo,lower,100,1,sldl/mo-100
mo,lower,101,1,sldl/mo-101
mo,lower,10,1,sldl/mo-10
mo,lower,102,1,sldl/mo-102
mo,lower,103,1,sldl/mo-103
mo,lower,104,1,sldl/mo-104
mo,lower,105,1,sldl/mo-105
mo,lower,106,1,sldl/mo-106
mo,lower,107,1,sldl/mo-107
mo,lower,108,1,sldl/mo-108
mo,lower,109,1,sldl/mo-109
mo,lower,110,1,sldl/mo-110
mo,lower,111,1,sldl/mo-111
mo,lower,11,1,sldl/mo-11
mo,lower,112,1,sldl/mo-112
mo,lower,113,1,sldl/mo-113
mo,lower,114,1,sldl/mo-114
mo,lower,115,1,sldl/mo-115
mo,lower,116,1,sldl/mo-116
mo,lower,117,1,sldl/mo-117
mo,lower,118,1,sldl/mo-118
mo,lower,119,1,sldl/mo-119
mo,lower,1,1,sldl/mo-1
mo,lower,120,1,sldl/mo-120
mo,lower,121,1,sldl/mo-121
mo,lower,12,1,sldl/mo-12
mo,lower,122,1,sldl/mo-122
mo,lower,123,1,sldl/mo-123
mo,lower,124,1,sldl/mo-124
mo,lower,125,1,sldl/mo-125
mo,lower,126,1,sldl/mo-126
mo,lower,127,1,sldl/mo-127
mo,lower,128,1,sldl/mo-128
mo,lower,129,1,sldl/mo-129
mo,lower,130,1,sldl/mo-130
mo,lower,131,1,sldl/mo-131
mo,lower,13,1,sldl/mo-13
mo,lower,132,1,sldl/mo-132
mo,lower,133,1,sldl/mo-133
mo,lower,134,1,sldl/mo-134
mo,lower,135,1,sldl/mo-135
mo,lower,136,1,sldl/mo-136
mo,lower,137,1,sldl/mo-137
mo,lower,138,1,sldl/mo-138
mo,lower,139,1,sldl/mo-139
mo,lower,140,1,sldl/mo-140
mo,lower,141,1,sldl/mo-141
mo,lower,14,1,sldl/mo-14
mo,lower,142,1,sldl/mo-142
mo,lower,143,1,sldl/mo-143
mo,lower,144,1,sldl/mo-144
mo,lower,145,1,sldl/mo-145
mo,lower,146,1,sldl/mo-146
mo,lower,147,1,sldl/mo-147
mo,lower,148,1,sldl/mo-148
mo,lower,149,1,sldl/mo-149
mo,lower,150,1,sldl/mo-150
mo,lower,151,1,sldl/mo-151
mo,lower,15,1,sldl/mo-15
mo,lower,152,1,sldl/mo-152
mo,lower,153,1,sldl/mo-153
mo,lower,154,1,sldl/mo-154
mo,lower,155,1,sldl/mo-155
mo,lower,156,1,sldl/mo-156
mo,lower,157,1,sldl/mo-157
mo,lower,158,1,sldl/mo-158
mo,lower,159,1,sldl/mo-159
mo,lower,160,1,sldl/mo-160
