abbr,chamber,name,num_seats,boundary_id,division_id
ms,lower,100,1,sldl/ms-100,ocd-division/country:us/state:ms/sldl:100
ms,lower,101,1,sldl/ms-101,ocd-division/country:us/state:ms/sldl:101
ms,lower,10,1,sldl/ms-10,ocd-division/country:us/state:ms/sldl:10
ms,lower,102,1,sldl/ms-102,ocd-division/country:us/state:ms/sldl:102
ms,lower,103,1,sldl/ms-103,ocd-division/country:us/state:ms/sldl:103
ms,lower,104,1,sldl/ms-104,ocd-division/country:us/state:ms/sldl:104
ms,lower,105,1,sldl/ms-105,ocd-division/country:us/state:ms/sldl:105
ms,lower,106,1,sldl/ms-106,ocd-division/country:us/state:ms/sldl:106
ms,lower,107,1,sldl/ms-107,ocd-division/country:us/state:ms/sldl:107
ms,lower,108,1,sldl/ms-108,ocd-division/country:us/state:ms/sldl:108
ms,lower,109,1,sldl/ms-109,ocd-division/country:us/state:ms/sldl:109
ms,lower,110,1,sldl/ms-110,ocd-division/country:us/state:ms/sldl:110
ms,lower,111,1,sldl/ms-111,ocd-division/country:us/state:ms/sldl:111
ms,lower,11,1,sldl/ms-11,ocd-division/country:us/state:ms/sldl:11
ms,lower,112,1,sldl/ms-112,ocd-division/country:us/state:ms/sldl:112
ms,lower,113,1,sldl/ms-113,ocd-division/country:us/state:ms/sldl:113
ms,lower,114,1,sldl/ms-114,ocd-division/country:us/state:ms/sldl:114
ms,lower,115,1,sldl/ms-115,ocd-division/country:us/state:ms/sldl:115
ms,lower,116,1,sldl/ms-116,ocd-division/country:us/state:ms/sldl:116
ms,lower,117,1,sldl/ms-117,ocd-division/country:us/state:ms/sldl:117
ms,lower,118,1,sldl/ms-118,ocd-division/country:us/state:ms/sldl:118
ms,lower,119,1,sldl/ms-119,ocd-division/country:us/state:ms/sldl:119
ms,lower,1,1,sldl/ms-1,ocd-division/country:us/state:ms/sldl:1
ms,lower,120,1,sldl/ms-120,ocd-division/country:us/state:ms/sldl:120
ms,lower,121,1,sldl/ms-121,ocd-division/country:us/state:ms/sldl:121
ms,lower,12,1,sldl/ms-12,ocd-division/country:us/state:ms/sldl:12
ms,lower,122,1,sldl/ms-122,ocd-division/country:us/state:ms/sldl:122
ms,lower,13,1,sldl/ms-13,ocd-division/country:us/state:ms/sldl:13
ms,lower,14,1,sldl/ms-14,ocd-division/country:us/state:ms/sldl:14
ms,lower,15,1,sldl/ms-15,ocd-division/country:us/state:ms/sldl:15
ms,lower,16,1,sldl/ms-16,ocd-division/country:us/state:ms/sldl:16
ms,lower,17,1,sldl/ms-17,ocd-division/country:us/state:ms/sldl:17
ms,lower,18,1,sldl/ms-18,ocd-division/country:us/state:ms/sldl:18
ms,lower,19,1,sldl/ms-19,ocd-division/country:us/state:ms/sldl:19
ms,lower,20,1,sldl/ms-20,ocd-division/country:us/state:ms/sldl:20
