abbr,chamber,name,num_seats,boundary_id,division_id
mt,lower,100,1,sldl/mt-100,ocd-division/country:us/state:mt/sldl:100
mt,lower,10,1,sldl/mt-10,ocd-division/country:us/state:mt/sldl:10
mt,lower,11,1,sldl/mt-11,ocd-division/country:us/state:mt/sldl:11
mt,lower,1,1,sldl/mt-1,ocd-division/country:us/state:mt/sldl:1
mt,lower,12,1,sldl/mt-12,ocd-division/country:us/state:mt/sldl:12
mt,lower,13,1,sldl/mt-13,ocd-division/country:us/state:mt/sldl:13
mt,lower,14,1,sldl/mt-14,ocd-division/country:us/state:mt/sldl:14
mt,lower,15,1,sldl/mt-15,ocd-division/country:us/state:mt/sldl:15
mt,lower,16,1,sldl/mt-16,ocd-division/country:us/state:mt/sldl:16
mt,lower,17,1,sldl/mt-17,ocd-division/country:us/state:mt/sldl:17
mt,lower,18,1,sldl/mt-18,ocd-division/country:us/state:mt/sldl:18
mt,lower,19,1,sldl/mt-19,ocd-division/country:us/state:mt/sldl:19
mt,lower,20,1,sldl/mt-20,ocd-division/country:us/state:mt/sldl:20
mt,lower,21,1,sldl/mt-21,ocd-division/country:us/state:mt/sldl:21
mt,lower,2,1,sldl/mt-2,ocd-division/country:us/state:mt/sldl:2
mt,lower,22,1,sldl/mt-22,ocd-division/country:us/state:mt/sldl:22
mt,lower,23,1,sldl/mt-23,ocd-division/country:us/state:mt/sldl:23
mt,lower,24,1,sldl/mt-24,ocd-division/country:us/state:mt/sldl:24
mt,lower,25,1,sldl/mt-25,ocd-division/country:us/state:mt/sldl:25
mt,lower,26,1,sldl/mt-26,ocd-division/country:us/state:mt/sldl:26
mt,lower,27,1,sldl/mt-27,ocd-division/country:us/state:mt/sldl:27
mt,lower,28,1,sldl/mt-28,ocd-division/country:us/state:mt/sldl:28
mt,lower,29,1,sldl/mt-29,ocd-division/country:us/state:mt/sldl:29
mt,lower,30,1,sldl/mt-30,ocd-division/country:us/state:mt/sldl:30
mt,lower,31,1,sldl/mt-31,ocd-division/country:us/state:mt/sldl:31
mt,lower,3,1,sldl/mt-3,ocd-division/country:us/state:mt/sldl:3
mt,lower,32,1,sldl/mt-32,ocd-division/country:us/state:mt/sldl:32
mt,lower,33,1,sldl/mt-33,ocd-division/country:us/state:mt/sldl:33
mt,lower,34,1,sldl/mt-34,ocd-division/country:us/state:mt/sldl:34
mt,lower,35,1,sldl/mt-35,ocd-division/country:us/state:mt/sldl:35
mt,lower,36,1,sldl/mt-36,ocd-division/country:us/state:mt/sldl:36
mt,lower,37,1,sldl/mt-37,ocd-division/country:us/state:mt/sldl:37
mt,lower,38,1,sldl/mt-38,ocd-division/country:us/state:mt/sldl:38
mt,lower,39,1,sldl/mt-39,ocd-division/country:us/state:mt/sldl:39
mt,lower,40,1,sldl/mt-40,ocd-division/country:us/state:mt/sldl:40
mt,lower,41,1,sldl/mt-41,ocd-division/country:us/state:mt/sldl:41
mt,lower,4,1,sldl/mt-4,ocd-division/country:us/state:mt/sldl:4
mt,lower,42,1,sldl/mt-42,ocd-division/country:us/state:mt/sldl:42
mt,lower,43,1,sldl/mt-43,ocd-division/country:us/state:mt/sldl:43
mt,lower,44,1,sldl/mt-44,ocd-division/country:us/state:mt/sldl:44
mt,lower,45,1,sldl/mt-45,ocd-division/country:us/state:mt/sldl:45
mt,lower,46,1,sldl/mt-46,ocd-division/country:us/state:mt/sldl:46
mt,lower,47,1,sldl/mt-47,ocd-division/country:us/state:mt/sldl:47
mt,lower,48,1,sldl/mt-48,ocd-division/country:us/state:mt/sldl:48
mt,lower,49,1,sldl/mt-49,ocd-division/country:us/state:mt/sldl:49
