abbr,chamber,name,num_seats,boundary_id,division_id
nc,lower,100,1,sldl/nc-100,ocd-division/country:us/state:nc/sldl:100
nc,lower,101,1,sldl/nc-101,ocd-division/country:us/state:nc/sldl:101
nc,lower,10,1,sldl/nc-10,ocd-division/country:us/state:nc/sldl:10
nc,lower,102,1,sldl/nc-102,ocd-division/country:us/state:nc/sldl:102
nc,lower,103,1,sldl/nc-103,ocd-division/country:us/state:nc/sldl:103
nc,lower,104,1,sldl/nc-104,ocd-division/country:us/state:nc/sldl:104
nc,lower,105,1,sldl/nc-105,ocd-division/country:us/state:nc/sldl:105
nc,lower,106,1,sldl/nc-106,ocd-division/country:us/state:nc/sldl:106
nc,lower,107,1,sldl/nc-107,ocd-division/country:us/state:nc/sldl:107
nc,lower,108,1,sldl/nc-108,ocd-division/country:us/state:nc/sldl:108
nc,lower,109,1,sldl/nc-109,ocd-division/country:us/state:nc/sldl:109
nc,lower,110,1,sldl/nc-110,ocd-division/country:us/state:nc/sldl:110
nc,lower,111,1,sldl/nc-111,ocd-division/country:us/state:nc/sldl:111
nc,lower,11,1,sldl/nc-11,ocd-division/country:us/state:nc/sldl:11
nc,lower,112,1,sldl/nc-112,ocd-division/country:us/state:nc/sldl:112
nc,lower,113,1,sldl/nc-113,ocd-division/country:us/state:nc/sldl:113
nc,lower,114,1,sldl/nc-114,ocd-division/country:us/state:nc/sldl:114
nc,lower,115,1,sldl/nc-115,ocd-division/country:us/state:nc/sldl:115
nc,lower,116,1,sldl/nc-116,ocd-division/country:us/state:nc/sldl:116
nc,lower,117,1,sldl/nc-117,ocd-division/country:us/state:nc/sldl:117
nc,lower,118,1,sldl/nc-118,ocd-division/country:us/state:nc/sldl:118
nc,lower,119,1,sldl/nc-119,ocd-division/country:us/state:nc/sldl:119
nc,lower,1,1,sldl/nc-1,ocd-division/country:us/state:nc/sldl:1
nc,lower,120,1,sldl/nc-120,ocd-division/country:us/state:nc/sldl:120
nc,lower,12,1,sldl/nc-12,ocd-division/country:us/state:nc/sldl:12
nc,lower,13,1,sldl/nc-13,ocd-division/country:us/state:nc/sldl:13
nc,lower,14,1,sldl/nc-14,ocd-division/country:us/state:nc/sldl:14
nc,lower,15,1,sldl/nc-15,ocd-division/country:us/state:nc/sldl:15
nc,lower,16,1,sldl/nc-16,ocd-division/country:us/state:nc/sldl:16
nc,lower,17,1,sldl/nc-17,ocd-division/country:us/state:nc/sldl:17
nc,lower,18,1,sldl/nc-18,ocd-division/country:us/state:nc/sldl:18
nc,lower,19,1,sldl/nc-19,ocd-division/country:us/state:nc/sldl:19
nc,lower,20,1,sldl/nc-20,ocd-division/country:us/state:nc/sldl:20
nc,lower,21,1,sldl/nc-21,ocd-division/country:us/state:nc/sldl:21
nc,lower,2,1,sldl/nc-2,ocd-division/country:us/state:nc/sldl:2
nc,lower,22,1,sldl/nc-22,ocd-division/country:us/state:nc/sldl:22
nc,lower,23,1,sldl/nc-23,ocd-division/country:us/state:nc/sldl:23
nc,lower,24,1,sldl/nc-24,ocd-division/country:us/state:nc/sldl:24
nc,lower,25,1,sldl/nc-25,ocd-division/country:us/state:nc/sldl:25
nc,lower,26,1,sldl/nc-26,ocd-division/country:us/state:nc/sldl:26
nc,lower,27,1,sldl/nc-27,ocd-division/country:us/state:nc/sldl:27
nc,lower,28,1,sldl/nc-28,ocd-division/country:us/state:nc/sldl:28
nc,lower,29,1,sldl/nc-29,ocd-division/country:us/state:nc/sldl:29
nc,lower,30,1,sldl/nc-30,ocd-division/country:us/state:nc/sldl:30
nc,lower,31,1,sldl/nc-31,ocd-division/country:us/state:nc/sldl:31
nc,lower,3,1,sldl/nc-3,ocd-division/country:us/state:nc/sldl:3
nc,lower,32,1,sldl/nc-32,ocd-division/country:us/state:nc/sldl:32
nc,lower,33,1,sldl/nc-33,ocd-division/country:us/state:nc/sldl:33
nc,lower,34,1,sldl/nc-34,ocd-division/country:us/state:nc/sldl:34
nc,lower,35,1,sldl/nc-35,ocd-division/country:us/state:nc/sldl:35
nc,lower,36,1,sldl/nc-36,ocd-division/country:us/state:nc/sldl:36
nc,lower,37,1,sldl/nc-37,ocd-division/country:us/state:nc/sldl:37
nc,lower,38,1,sldl/nc-38,ocd-division/country:us/state:nc/sldl:38
nc,lower,39,1,sldl/nc-39,ocd-division/country:us/state:nc/sldl:39
nc,lower,40,1,sldl/nc-40,ocd-division/country:us/state:nc/sldl:40
nc,lower,41,1,sldl/nc-41,ocd-division/country:us/state:nc/sldl:41
nc,lower,4,1,sldl/nc-4,ocd-division/country:us/state:nc/sldl:4
nc,lower,42,1,sldl/nc-42,ocd-division/country:us/state:nc/sldl:42
nc,lower,43,1,sldl/nc-43,ocd-division/country:us/state:nc/sldl:43
nc,lower,44,1,sldl/nc-44,ocd-division/country:us/state:nc/sldl:44
nc,lower,45,1,sldl/nc-45,ocd-division/country:us/state:nc/sldl:45
nc,lower,46,1,sldl/nc-46,ocd-division/country:us/state:nc/sldl:46
nc,lower,47,1,sldl/nc-47,ocd-division/country:us/state:nc/sldl:47
nc,lower,48,1,sldl/nc-48,ocd-division/country:us/state:nc/sldl:48
nc,lower,49,1,sldl/nc-49,ocd-division/country:us/state:nc/sldl:49
nc,lower,50,1,sldl/nc-50,ocd-division/country:us/state:nc/sldl:50
nc,lower,51,1,sldl/nc-51,ocd-division/country:us/state:nc/sldl:51
nc,lower,5,1,sldl/nc-5,ocd-division/country:us/state:nc/sldl:5
nc,lower,52,1,sldl/nc-52,ocd-division/country:us/state:nc/sldl:52
nc,lower,53,1,sldl/nc-53,ocd-division/country:us/state:nc/sldl:53
nc,lower,54,1,sldl/nc-54,ocd-division/country:us/state:nc/sldl:54
nc,lower,55,1,sldl/nc-55,ocd-division/country:us/state:nc/sldl:55
nc,lower,56,1,sldl/nc-56,ocd-division/country:us/state:nc/sldl:56
nc,lower,57,1,sldl/nc-57,ocd-division/country:us/state:nc/sldl:57
nc,lower,58,1,sldl/nc-58,ocd-division/country:us/state:nc/sldl:58
nc,lower,59,1,sldl/nc-59,ocd-division/country:us/state:nc/sldl:59
nc,lower,60,1,sldl/nc-60,ocd-division/country:us/state:nc/sldl:60
nc,lower,61,1,sldl/nc-61,ocd-division/country:us/state:nc/sldl:61
nc,lower,6,1,sldl/nc-6,ocd-division/country:us/state:nc/sldl:6
nc,lower,62,1,sldl/nc-62,ocd-division/country:us/state:nc/sldl:62
nc,lower,63,1,sldl/nc-63,ocd-division/country:us/state:nc/sldl:63
nc,lower,64,1,sldl/nc-64,ocd-division/country:us/state:nc/sldl:64
nc,lower,65,1,sldl/nc-65,ocd-division/country:us/state:nc/sldl:65
nc,lower,66,1,sldl/nc-66,ocd-division/country:us/state:nc/sldl:66
nc,lower,67,1,sldl/nc-67,ocd-division/country:us/state:nc/sldl:67
nc,lower,68,1,sldl/nc-68,ocd-division/country:us/state:nc/sldl:68
nc,lower,69,1,sldl/nc-69,ocd-division/country:us/state:nc/sldl:69
nc,lower,70,1,sldl/nc-70,ocd-division/country:us/state:nc/sldl:70
nc,lower,71,1,sldl/nc-71,ocd-division/country:us/state:nc/sldl:71
nc,lower,7,1,sldl/nc-7,ocd-division/country:us/state:nc/sldl:7
nc,lower,72,1,sldl/nc-72,ocd-division/country:us/state:nc/sldl:72
nc,lower,73,1,sldl/nc-73,ocd-division/country:us/state:nc/sldl:73
nc,lower,74,1,sldl/nc-74,ocd-division/country:us/state:nc/sldl:74
nc,lower,75,1,sldl/nc-75,ocd-division/country:us/state:nc/sldl:75
nc,lower,76,1,sldl/nc-76,ocd-division/country:us/state:nc/sldl:76
nc,lower,77,1,sldl/nc-77,ocd-division/country:us/state:nc/sldl:77
nc,lower,78,1,sldl/nc-78,ocd-division/country:us/state:nc/sldl:78
nc,lower,79,1,sldl/nc-79,ocd-division/country:us/state:nc/sldl:79
nc,lower,80,1,sldl/nc-80,ocd-division/country:us/state:nc/sldl:80
nc,lower,81,1,sldl/nc-81,ocd-division/country:us/state:nc/sldl:81
nc,lower,8,1,sldl/nc-8,ocd-division/country:us/state:nc/sldl:8
nc,lower,82,1,sldl/nc-82,ocd-division/country:us/state:nc/sldl:82
nc,lower,83,1,sldl/nc-83,ocd-division/country:us/state:nc/sldl:83
nc,lower,84,1,sldl/nc-84,ocd-division/country:us/state:nc/sldl:84
nc,lower,85,1,sldl/nc-85,ocd-division/country:us/state:nc/sldl:85
nc,lower,86,1,sldl/nc-86,ocd-division/country:us/state:nc/sldl:86
nc,lower,87,1,sldl/nc-87,ocd-division/country:us/state:nc/sldl:87
nc,lower,88,1,sldl/nc-88,ocd-division/country:us/state:nc/sldl:88
nc,lower,89,1,sldl/nc-89,ocd-division/country:us/state:nc/sldl:89
nc,lower,90,1,sldl/nc-90,ocd-division/country:us/state:nc/sldl:90
nc,lower,91,1,sldl/nc-91,ocd-division/country:us/state:nc/sldl:91
nc,lower,9,1,sldl/nc-9,ocd-division/country:us/state:nc/sldl:9
nc,lower,92,1,sldl/nc-92,ocd-division/country:us/state:nc/sldl:92
nc,lower,93,1,sldl/nc-93,ocd-division/country:us/state:nc/sldl:93
nc,lower,94,1,sldl/nc-94,ocd-division/country:us/state:nc/sldl:94
nc,lower,95,1,sldl/nc-95,ocd-division/country:us/state:nc/sldl:95
nc,lower,96,1,sldl/nc-96,ocd-division/country:us/state:nc/sldl:96
nc,lower,97,1,sldl/nc-97,ocd-division/country:us/state:nc/sldl:97
nc,lower,98,1,sldl/nc-98,ocd-division/country:us/state:nc/sldl:98
nc,lower,99,1,sldl/nc-99,ocd-division/country:us/state:nc/sldl:99
nc,upper,10,1,sldu/nc-10,ocd-division/country:us/state:nc/sldu:10
nc,upper,11,1,sldu/nc-11,ocd-division/country:us/state:nc/sldu:11
nc,upper,1,1,sldu/nc-1,ocd-division/country:us/state:nc/sldu:1
nc,upper,12,1,sldu/nc-12,ocd-division/country:us/state:nc/sldu:12
nc,upper,13,1,sldu/nc-13,ocd-division/country:us/state:nc/sldu:13
nc,upper,14,1,sldu/nc-14,ocd-division/country:us/state:nc/sldu:14
nc,upper,15,1,sldu/nc-15,ocd-division/country:us/state:nc/sldu:15
nc,upper,16,1,sldu/nc-16,ocd-division/country:us/state:nc/sldu:16
nc,upper,17,1,sldu/nc-17,ocd-division/country:us/state:nc/sldu:17
nc,upper,18,1,sldu/nc-18,ocd-division/country:us/state:nc/sldu:18
nc,upper,19,1,sldu/nc-19,ocd-division/country:us/state:nc/sldu:19
nc,upper,20,1,sldu/nc-20,ocd-division/country:us/state:nc/sldu:20
nc,upper,21,1,sldu/nc-21,ocd-division/country:us/state:nc/sldu:21
nc,upper,2,1,sldu/nc-2,ocd-division/country:us/state:nc/sldu:2
nc,upper,22,1,sldu/nc-22,ocd-division/country:us/state:nc/sldu:22
nc,upper,23,1,sldu/nc-23,ocd-division/country:us/state:nc/sldu:23
nc,upper,24,1,sldu/nc-24,ocd-division/country:us/state:nc/sldu:24
nc,upper,25,1,sldu/nc-25,ocd-division/country:us/state:nc/sldu:25
nc,upper,26,1,sldu/nc-26,ocd-division/country:us/state:nc/sldu:26
nc,upper,27,1,sldu/nc-27,ocd-division/country:us/state:nc/sldu:27
nc,upper,28,1,sldu/nc-28,ocd-division/country:us/state:nc/sldu:28
nc,upper,29,1,sldu/nc-29,ocd-division/country:us/state:nc/sldu:29
nc,upper,30,1,sldu/nc-30,ocd-division/country:us/state:nc/sldu:30
nc,upper,31,1,sldu/nc-31,ocd-division/country:us/state:nc/sldu:31
nc,upper,3,1,sldu/nc-3,ocd-division/country:us/state:nc/sldu:3
nc,upper,32,1,sldu/nc-32,ocd-division/country:us/state:nc/sldu:32
nc,upper,33,1,sldu/nc-33,ocd-division/country:us/state:nc/sldu:33
nc,upper,34,1,sldu/nc-34,ocd-division/country:us/state:nc/sldu:34
nc,upper,35,1,sldu/nc-35,ocd-division/country:us/state:nc/sldu:35
nc,upper,36,1,sldu/nc-36,ocd-division/country:us/state:nc/sldu:36
nc,upper,37,1,sldu/nc-37,ocd-division/country:us/state:nc/sldu:37
nc,upper,38,1,sldu/nc-38,ocd-division/country:us/state:nc/sldu:38
nc,upper,39,1,sldu/nc-39,ocd-division/country:us/state:nc/sldu:39
nc,upper,40,1,sldu/nc-40,ocd-division/country:us/state:nc/sldu:40
nc,upper,41,1,sldu/nc-41,ocd-division/country:us/state:nc/sldu:41
nc,upper,4,1,sldu/nc-4,ocd-division/country:us/state:nc/sldu:4
nc,upper,42,1,sldu/nc-42,ocd-division/country:us/state:nc/sldu:42
nc,upper,43,1,sldu/nc-43,ocd-division/country:us/state:nc/sldu:43
nc,upper,44,1,sldu/nc-44,ocd-division/country:us/state:nc/sldu:44
nc,upper,45,1,sldu/nc-45,ocd-division/country:us/state:nc/sldu:45
nc,upper,46,1,sldu/nc-46,ocd-division/country:us/state:nc/sldu:46
nc,upper,47,1,sldu/nc-47,ocd-division/country:us/state:nc/sldu:47
nc,upper,48,1,sldu/nc-48,ocd-division/country:us/state:nc/sldu:48
nc,upper,49,1,sldu/nc-49,ocd-division/country:us/state:nc/sldu:49
nc,upper,50,1,sldu/nc-50,ocd-division/country:us/state:nc/sldu:50
nc,upper,5,1,sldu/nc-5,ocd-division/country:us/state:nc/sldu:5
nc,upper,6,1,sldu/nc-6,ocd-division/country:us/state:nc/sldu:6
nc,upper,7,1,sldu/nc-7,ocd-division/country:us/state:nc/sldu:7
nc,upper,8,1,sldu/nc-8,ocd-division/country:us/state:nc/sldu:8
nc,upper,9,1,sldu/nc-9,ocd-division/country:us/state:nc/sldu:9
