abbr,chamber,name,num_seats,boundary_id,division_id
nd,lower,10,2,sldl/nd-10,ocd-division/country:us/state:nd/sldl:10
nd,lower,11,2,sldl/nd-11,ocd-division/country:us/state:nd/sldl:11
nd,lower,1,2,sldl/nd-1,ocd-division/country:us/state:nd/sldl:1
nd,lower,12,2,sldl/nd-12,ocd-division/country:us/state:nd/sldl:12
nd,lower,13,2,sldl/nd-13,ocd-division/country:us/state:nd/sldl:13
nd,lower,14,2,sldl/nd-14,ocd-division/country:us/state:nd/sldl:14
nd,lower,15,2,sldl/nd-15,ocd-division/country:us/state:nd/sldl:15
nd,lower,16,2,sldl/nd-16,ocd-division/country:us/state:nd/sldl:16
nd,lower,17,2,sldl/nd-17,ocd-division/country:us/state:nd/sldl:17
nd,lower,18,2,sldl/nd-18,ocd-division/country:us/state:nd/sldl:18
nd,lower,19,2,sldl/nd-19,ocd-division/country:us/state:nd/sldl:19
nd,lower,20,2,sldl/nd-20,ocd-division/country:us/state:nd/sldl:20
nd,lower,21,2,sldl/nd-21,ocd-division/country:us/state:nd/sldl:21
nd,lower,2,2,sldl/nd-2,ocd-division/country:us/state:nd/sldl:2
nd,lower,22,2,sldl/nd-22,ocd-division/country:us/state:nd/sldl:22
nd,lower,23,2,sldl/nd-23,ocd-division/country:us/state:nd/sldl:23
nd,lower,24,2,sldl/nd-24,ocd-division/country:us/state:nd/sldl:24
nd,lower,25,2,sldl/nd-25,ocd-division/country:us/state:nd/sldl:25
nd,lower,26,2,sldl/nd-26,ocd-division/country:us/state:nd/sldl:26
nd,lower,27,2,sldl/nd-27,ocd-division/country:us/state:nd/sldl:27
nd,lower,28,2,sldl/nd-28,ocd-division/country:us/state:nd/sldl:28
nd,lower,29,2,sldl/nd-29,ocd-division/country:us/state:nd/sldl:29
nd,lower,30,2,sldl/nd-30,ocd-division/country:us/state:nd/sldl:30
nd,lower,31,2,sldl/nd-31,ocd-division/country:us/state:nd/sldl:31
nd,lower,3,2,sldl/nd-3,ocd-division/country:us/state:nd/sldl:3
nd,lower,32,2,sldl/nd-32,ocd-division/country:us/state:nd/sldl:32
nd,lower,33,2,sldl/nd-33,ocd-division/country:us/state:nd/sldl:33
nd,lower,34,2,sldl/nd-34,ocd-division/country:us/state:nd/sldl:34
nd,lower,35,2,sldl/nd-35,ocd-division/country:us/state:nd/sldl:35
nd,lower,36,2,sldl/nd-36,ocd-division/country:us/state:nd/sldl:36
nd,lower,37,2,sldl/nd-37,ocd-division/country:us/state:nd/sldl:37
nd,lower,38,2,sldl/nd-38,ocd-division/country:us/state:nd/sldl:38
nd,lower,39,2,sldl/nd-39,ocd-division/country:us/state:nd/sldl:39
nd,lower,40,2,sldl/nd-40,ocd-division/country:us/state:nd/sldl:40
nd,lower,41,2,sldl/nd-41,ocd-division/country:us/state:nd/sldl:41
nd,lower,4,2,sldl/nd-4,ocd-division/country:us/state:nd/sldl:4
nd,lower,42,2,sldl/nd-42,ocd-division/country:us/state:nd/sldl:42
nd,lower,43,2,sldl/nd-43,ocd-division/country:us/state:nd/sldl:43
nd,lower,44,2,sldl/nd-44,ocd-division/country:us/state:nd/sldl:44
nd,lower,45,2,sldl/nd-45,ocd-division/country:us/state:nd/sldl:45
nd,lower,46,2,sldl/nd-46,ocd-division/country:us/state:nd/sldl:46
nd,lower,47,2,sldl/nd-47,ocd-division/country:us/state:nd/sldl:47
nd,lower,5,2,sldl/nd-5,ocd-division/country:us/state:nd/sldl:5
nd,lower,6,2,sldl/nd-6,ocd-division/country:us/state:nd/sldl:6
nd,lower,7,2,sldl/nd-7,ocd-division/country:us/state:nd/sldl:7
nd,lower,8,2,sldl/nd-8,ocd-division/country:us/state:nd/sldl:8
nd,lower,9,2,sldl/nd-9,ocd-division/country:us/state:nd/sldl:9
nd,upper,10,1,sldu/nd-10,ocd-division/country:us/state:nd/sldu:10
nd,upper,11,1,sldu/nd-11,ocd-division/country:us/state:nd/sldu:11
nd,upper,1,1,sldu/nd-1,ocd-division/country:us/state:nd/sldu:1
nd,upper,12,1,sldu/nd-12,ocd-division/country:us/state:nd/sldu:12
nd,upper,13,1,sldu/nd-13,ocd-division/country:us/state:nd/sldu:13
nd,upper,14,1,sldu/nd-14,ocd-division/country:us/state:nd/sldu:14
nd,upper,15,1,sldu/nd-15,ocd-division/country:us/state:nd/sldu:15
