abbr,chamber,name,num_seats,boundary_id
ne,upper,10,1,sldu/ne-10
ne,upper,11,1,sldu/ne-11
ne,upper,1,1,sldu/ne-1
ne,upper,12,1,sldu/ne-12
ne,upper,13,1,sldu/ne-13
ne,upper,14,1,sldu/ne-14
ne,upper,15,1,sldu/ne-15
ne,upper,16,1,sldu/ne-16
ne,upper,17,1,sldu/ne-17
ne,upper,18,1,sldu/ne-18
ne,upper,19,1,sldu/ne-19
ne,upper,20,1,sldu/ne-20
ne,upper,21,1,sldu/ne-21
ne,upper,2,1,sldu/ne-2
ne,upper,22,1,sldu/ne-22
ne,upper,23,1,sldu/ne-23
ne,upper,24,1,sldu/ne-24
ne,upper,25,1,sldu/ne-25
ne,upper,26,1,sldu/ne-26
ne,upper,27,1,sldu/ne-27
ne,upper,28,1,sldu/ne-28
ne,upper,29,1,sldu/ne-29
ne,upper,30,1,sldu/ne-30
ne,upper,31,1,sldu/ne-31
ne,upper,3,1,sldu/ne-3
ne,upper,32,1,sldu/ne-32
ne,upper,33,1,sldu/ne-33
ne,upper,34,1,sldu/ne-34
ne,upper,35,1,sldu/ne-35
ne,upper,36,1,sldu/ne-36
ne,upper,37,1,sldu/ne-37
ne,upper,38,1,sldu/ne-38
ne,upper,39,1,sldu/ne-39
ne,upper,40,1,sldu/ne-40
ne,upper,41,1,sldu/ne-41
ne,upper,4,1,sldu/ne-4
ne,upper,42,1,sldu/ne-42
ne,upper,43,1,sldu/ne-43
ne,upper,44,1,sldu/ne-44
ne,upper,45,1,sldu/ne-45
ne,upper,46,1,sldu/ne-46
ne,upper,47,1,sldu/ne-47
ne,upper,48,1,sldu/ne-48
ne,upper,49,1,sldu/ne-49
ne,upper,5,1,sldu/ne-5
ne,upper,6,1,sldu/ne-6
ne,upper,7,1,sldu/ne-7
ne,upper,8,1,sldu/ne-8
ne,upper,9,1,sldu/ne-9
