abbr,chamber,name,num_seats,boundary_id,division_id
nh,lower,Belknap 1,1,sldl/nh-belknap-county-no-1,ocd-division/country:us/state:nh/sldl:belknap_1
nh,lower,Belknap 2,4,sldl/nh-belknap-county-no-2,ocd-division/country:us/state:nh/sldl:belknap_2
nh,lower,Belknap 3,4,sldl/nh-belknap-county-no-3,ocd-division/country:us/state:nh/sldl:belknap_3
nh,lower,Belknap 4,2,sldl/nh-belknap-county-no-4,ocd-division/country:us/state:nh/sldl:belknap_4
nh,lower,Belknap 5,2,sldl/nh-belknap-county-no-5,ocd-division/country:us/state:nh/sldl:belknap_5
nh,lower,Belknap 6,2,sldl/nh-belknap-county-no-6,ocd-division/country:us/state:nh/sldl:belknap_6
nh,lower,Belknap 7,1,sldl/nh-belknap-county-no-7,ocd-division/country:us/state:nh/sldl:belknap_7
nh,lower,Belknap 8,1,nh-12/nh-belknap-county-no-8,ocd-division/country:us/state:nh/sldl:belknap_8
nh,lower,Belknap 9,1,nh-12/nh-belknap-county-no-9,ocd-division/country:us/state:nh/sldl:belknap_9
nh,lower,Carroll 1,1,sldl/nh-carroll-county-no-1,ocd-division/country:us/state:nh/sldl:carroll_1
nh,lower,Carroll 2,3,sldl/nh-carroll-county-no-2,ocd-division/country:us/state:nh/sldl:carroll_2
nh,lower,Carroll 3,2,sldl/nh-carroll-county-no-3,ocd-division/country:us/state:nh/sldl:carroll_3
nh,lower,Carroll 4,2,sldl/nh-carroll-county-no-4,ocd-division/country:us/state:nh/sldl:carroll_4
nh,lower,Carroll 5,3,sldl/nh-carroll-county-no-5,ocd-division/country:us/state:nh/sldl:carroll_5
nh,lower,Carroll 6,2,sldl/nh-carroll-county-no-6,ocd-division/country:us/state:nh/sldl:carroll_6
nh,lower,Carroll 7,1,nh-12/nh-carroll-county-no-7,ocd-division/country:us/state:nh/sldl:carroll_7
nh,lower,Carroll 8,1,nh-12/nh-carroll-county-no-8,ocd-division/country:us/state:nh/sldl:carroll_8
nh,lower,Cheshire 1,4,sldl/nh-cheshire-county-no-1,ocd-division/country:us/state:nh/sldl:cheshire_1
nh,lower,Cheshire 2,1,sldl/nh-cheshire-county-no-2,ocd-division/country:us/state:nh/sldl:cheshire_2
nh,lower,Cheshire 3,1,sldl/nh-cheshire-county-no-3,ocd-division/country:us/state:nh/sldl:cheshire_3
nh,lower,Cheshire 4,1,sldl/nh-cheshire-county-no-4,ocd-division/country:us/state:nh/sldl:cheshire_4
nh,lower,Cheshire 5,1,sldl/nh-cheshire-county-no-5,ocd-division/country:us/state:nh/sldl:cheshire_5
nh,lower,Cheshire 6,1,sldl/nh-cheshire-county-no-6,ocd-division/country:us/state:nh/sldl:cheshire_6
nh,lower,Cheshire 7,1,sldl/nh-cheshire-county-no-7,ocd-division/country:us/state:nh/sldl:cheshire_7
nh,lower,Cheshire 8,1,sldl/nh-cheshire-county-no-8,ocd-division/country:us/state:nh/sldl:cheshire_8
nh,lower,Cheshire 9,2,sldl/nh-cheshire-county-no-9,ocd-division/country:us/state:nh/sldl:cheshire_9
nh,lower,Cheshire 10,1,sldl/nh-cheshire-county-no-10,ocd-division/country:us/state:nh/sldl:cheshire_10
nh,lower,Cheshire 11,2,sldl/nh-cheshire-county-no-11,ocd-division/country:us/state:nh/sldl:cheshire_11
nh,lower,Cheshire 12,2,sldl/nh-cheshire-county-no-12,ocd-division/country:us/state:nh/sldl:cheshire_12
nh,lower,Cheshire 13,1,sldl/nh-cheshire-county-no-13,ocd-division/country:us/state:nh/sldl:cheshire_13
nh,lower,Cheshire 14,1,nh-12/nh-cheshire-county-no-14,ocd-division/country:us/state:nh/sldl:cheshire_14
nh,lower,Cheshire 15,1,nh-12/nh-cheshire-county-no-15,ocd-division/country:us/state:nh/sldl:cheshire_15
nh,lower,Cheshire 16,2,nh-12/nh-cheshire-county-no-16,ocd-division/country:us/state:nh/sldl:cheshire_16
nh,lower,Coos 1,2,sldl/nh-coos-county-no-1,ocd-division/country:us/state:nh/sldl:coos_1
nh,lower,Coos 2,1,sldl/nh-coos-county-no-2,ocd-division/country:us/state:nh/sldl:coos_2
nh,lower,Coos 3,3,sldl/nh-coos-county-no-3,ocd-division/country:us/state:nh/sldl:coos_3
nh,lower,Coos 4,1,sldl/nh-coos-county-no-4,ocd-division/country:us/state:nh/sldl:coos_4
nh,lower,Coos 5,1,sldl/nh-coos-county-no-5,ocd-division/country:us/state:nh/sldl:coos_5
nh,lower,Coos 6,1,sldl/nh-coos-county-no-6,ocd-division/country:us/state:nh/sldl:coos_6
nh,lower,Coos 7,1,nh-12/nh-coos-county-no-7,ocd-division/country:us/state:nh/sldl:coos_7
nh,lower,Grafton 1,2,sldl/nh-grafton-county-no-1,ocd-division/country:us/state:nh/sldl:grafton_1
nh,lower,Grafton 2,1,sldl/nh-grafton-county-no-2,ocd-division/country:us/state:nh/sldl:grafton_2
nh,lower,Grafton 3,1,sldl/nh-grafton-county-no-3,ocd-division/country:us/state:nh/sldl:grafton_3
nh,lower,Grafton 4,1,sldl/nh-grafton-county-no-4,ocd-division/country:us/state:nh/sldl:grafton_4
