abbr,chamber,name,num_seats,boundary_id,division_id
nj,lower,10,2,sldl/nj-10,ocd-division/country:us/state:nj/sldl:10
nj,lower,11,2,sldl/nj-11,ocd-division/country:us/state:nj/sldl:11
nj,lower,1,2,sldl/nj-1,ocd-division/country:us/state:nj/sldl:1
nj,lower,12,2,sldl/nj-12,ocd-division/country:us/state:nj/sldl:12
nj,lower,13,2,sldl/nj-13,ocd-division/country:us/state:nj/sldl:13
nj,lower,14,2,sldl/nj-14,ocd-division/country:us/state:nj/sldl:14
nj,lower,15,2,sldl/nj-15,ocd-division/country:us/state:nj/sldl:15
nj,lower,16,2,sldl/nj-16,ocd-division/country:us/state:nj/sldl:16
nj,lower,17,2,sldl/nj-17,ocd-division/country:us/state:nj/sldl:17
nj,lower,18,2,sldl/nj-18,ocd-division/country:us/state:nj/sldl:18
nj,lower,19,2,sldl/nj-19,ocd-division/country:us/state:nj/sldl:19
nj,lower,20,2,sldl/nj-20,ocd-division/country:us/state:nj/sldl:20
nj,lower,21,2,sldl/nj-21,ocd-division/country:us/state:nj/sldl:21
nj,lower,2,2,sldl/nj-2,ocd-division/country:us/state:nj/sldl:2
nj,lower,22,2,sldl/nj-22,ocd-division/country:us/state:nj/sldl:22
nj,lower,23,2,sldl/nj-23,ocd-division/country:us/state:nj/sldl:23
nj,lower,24,2,sldl/nj-24,ocd-division/country:us/state:nj/sldl:24
nj,lower,25,2,sldl/nj-25,ocd-division/country:us/state:nj/sldl:25
nj,lower,26,2,sldl/nj-26,ocd-division/country:us/state:nj/sldl:26
nj,lower,27,2,sldl/nj-27,ocd-division/country:us/state:nj/sldl:27
nj,lower,28,2,sldl/nj-28,ocd-division/country:us/state:nj/sldl:28
nj,lower,29,2,sldl/nj-29,ocd-division/country:us/state:nj/sldl:29
nj,lower,30,2,sldl/nj-30,ocd-division/country:us/state:nj/sldl:30
nj,lower,31,2,sldl/nj-31,ocd-division/country:us/state:nj/sldl:31
nj,lower,3,2,sldl/nj-3,ocd-division/country:us/state:nj/sldl:3
nj,lower,32,2,sldl/nj-32,ocd-division/country:us/state:nj/sldl:32
nj,lower,33,2,sldl/nj-33,ocd-division/country:us/state:nj/sldl:33
nj,lower,34,2,sldl/nj-34,ocd-division/country:us/state:nj/sldl:34
nj,lower,35,2,sldl/nj-35,ocd-division/country:us/state:nj/sldl:35
nj,lower,36,2,sldl/nj-36,ocd-division/country:us/state:nj/sldl:36
nj,lower,37,2,sldl/nj-37,ocd-division/country:us/state:nj/sldl:37
nj,lower,38,2,sldl/nj-38,ocd-division/country:us/state:nj/sldl:38
nj,lower,39,2,sldl/nj-39,ocd-division/country:us/state:nj/sldl:39
nj,lower,40,2,sldl/nj-40,ocd-division/country:us/state:nj/sldl:40
nj,lower,4,2,sldl/nj-4,ocd-division/country:us/state:nj/sldl:4
nj,lower,5,2,sldl/nj-5,ocd-division/country:us/state:nj/sldl:5
nj,lower,6,2,sldl/nj-6,ocd-division/country:us/state:nj/sldl:6
nj,lower,7,2,sldl/nj-7,ocd-division/country:us/state:nj/sldl:7
nj,lower,8,2,sldl/nj-8,ocd-division/country:us/state:nj/sldl:8
nj,lower,9,2,sldl/nj-9,ocd-division/country:us/state:nj/sldl:9
nj,upper,10,1,sldu/nj-10,ocd-division/country:us/state:nj/sldu:10
nj,upper,11,1,sldu/nj-11,ocd-division/country:us/state:nj/sldu:11
nj,upper,1,1,sldu/nj-1,ocd-division/country:us/state:nj/sldu:1
nj,upper,12,1,sldu/nj-12,ocd-division/country:us/state:nj/sldu:12
nj,upper,13,1,sldu/nj-13,ocd-division/country:us/state:nj/sldu:13
