abbr,chamber,name,num_seats,boundary_id,division_id
nm,lower,10,1,sldl/nm-10,ocd-division/country:us/state:nm/sldl:10
nm,lower,11,1,sldl/nm-11,ocd-division/country:us/state:nm/sldl:11
nm,lower,1,1,sldl/nm-1,ocd-division/country:us/state:nm/sldl:1
nm,lower,12,1,sldl/nm-12,ocd-division/country:us/state:nm/sldl:12
nm,lower,13,1,sldl/nm-13,ocd-division/country:us/state:nm/sldl:13
nm,lower,14,1,sldl/nm-14,ocd-division/country:us/state:nm/sldl:14
nm,lower,15,1,sldl/nm-15,ocd-division/country:us/state:nm/sldl:15
nm,lower,16,1,sldl/nm-16,ocd-division/country:us/state:nm/sldl:16
nm,lower,17,1,sldl/nm-17,ocd-division/country:us/state:nm/sldl:17
nm,lower,18,1,sldl/nm-18,ocd-division/country:us/state:nm/sldl:18
nm,lower,19,1,sldl/nm-19,ocd-division/country:us/state:nm/sldl:19
nm,lower,20,1,sldl/nm-20,ocd-division/country:us/state:nm/sldl:20
nm,lower,21,1,sldl/nm-21,ocd-division/country:us/state:nm/sldl:21
nm,lower,2,1,sldl/nm-2,ocd-division/country:us/state:nm/sldl:2
nm,lower,22,1,sldl/nm-22,ocd-division/country:us/state:nm/sldl:22
nm,lower,23,1,sldl/nm-23,ocd-division/country:us/state:nm/sldl:23
nm,lower,24,1,sldl/nm-24,ocd-division/country:us/state:nm/sldl:24
nm,lower,25,1,sldl/nm-25,ocd-division/country:us/state:nm/sldl:25
nm,lower,26,1,sldl/nm-26,ocd-division/country:us/state:nm/sldl:26
nm,lower,27,1,sldl/nm-27,ocd-division/country:us/state:nm/sldl:27
nm,lower,28,1,sldl/nm-28,ocd-division/country:us/state:nm/sldl:28
nm,lower,29,1,sldl/nm-29,ocd-division/country:us/state:nm/sldl:29
nm,lower,30,1,sldl/nm-30,ocd-division/country:us/state:nm/sldl:30
nm,lower,31,1,sldl/nm-31,ocd-division/country:us/state:nm/sldl:31
nm,lower,3,1,sldl/nm-3,ocd-division/country:us/state:nm/sldl:3
nm,lower,32,1,sldl/nm-32,ocd-division/country:us/state:nm/sldl:32
nm,lower,33,1,sldl/nm-33,ocd-division/country:us/state:nm/sldl:33
nm,lower,34,1,sldl/nm-34,ocd-division/country:us/state:nm/sldl:34
nm,lower,35,1,sldl/nm-35,ocd-division/country:us/state:nm/sldl:35
nm,lower,36,1,sldl/nm-36,ocd-division/country:us/state:nm/sldl:36
nm,lower,37,1,sldl/nm-37,ocd-division/country:us/state:nm/sldl:37
nm,lower,38,1,sldl/nm-38,ocd-division/country:us/state:nm/sldl:38
nm,lower,39,1,sldl/nm-39,ocd-division/country:us/state:nm/sldl:39
nm,lower,40,1,sldl/nm-40,ocd-division/country:us/state:nm/sldl:40
nm,lower,41,1,sldl/nm-41,ocd-division/country:us/state:nm/sldl:41
nm,lower,4,1,sldl/nm-4,ocd-division/country:us/state:nm/sldl:4
nm,lower,42,1,sldl/nm-42,ocd-division/country:us/state:nm/sldl:42
nm,lower,43,1,sldl/nm-43,ocd-division/country:us/state:nm/sldl:43
nm,lower,44,1,sldl/nm-44,ocd-division/country:us/state:nm/sldl:44
nm,lower,45,1,sldl/nm-45,ocd-division/country:us/state:nm/sldl:45
nm,lower,46,1,sldl/nm-46,ocd-division/country:us/state:nm/sldl:46
nm,lower,47,1,sldl/nm-47,ocd-division/country:us/state:nm/sldl:47
nm,lower,48,1,sldl/nm-48,ocd-division/country:us/state:nm/sldl:48
nm,lower,49,1,sldl/nm-49,ocd-division/country:us/state:nm/sldl:49
nm,lower,50,1,sldl/nm-50,ocd-division/country:us/state:nm/sldl:50
nm,lower,51,1,sldl/nm-51,ocd-division/country:us/state:nm/sldl:51
nm,lower,5,1,sldl/nm-5,ocd-division/country:us/state:nm/sldl:5
nm,lower,52,1,sldl/nm-52,ocd-division/country:us/state:nm/sldl:52
nm,lower,53,1,sldl/nm-53,ocd-division/country:us/state:nm/sldl:53
nm,lower,54,1,sldl/nm-54,ocd-division/country:us/state:nm/sldl:54
nm,lower,55,1,sldl/nm-55,ocd-division/country:us/state:nm/sldl:55
nm,lower,56,1,sldl/nm-56,ocd-division/country:us/state:nm/sldl:56
nm,lower,57,1,sldl/nm-57,ocd-division/country:us/state:nm/sldl:57
nm,lower,58,1,sldl/nm-58,ocd-division/country:us/state:nm/sldl:58
nm,lower,59,1,sldl/nm-59,ocd-division/country:us/state:nm/sldl:59
nm,lower,60,1,sldl/nm-60,ocd-division/country:us/state:nm/sldl:60
nm,lower,61,1,sldl/nm-61,ocd-division/country:us/state:nm/sldl:61
nm,lower,6,1,sldl/nm-6,ocd-division/country:us/state:nm/sldl:6
nm,lower,62,1,sldl/nm-62,ocd-division/country:us/state:nm/sldl:62
nm,lower,63,1,sldl/nm-63,ocd-division/country:us/state:nm/sldl:63
nm,lower,64,1,sldl/nm-64,ocd-division/country:us/state:nm/sldl:64
nm,lower,65,1,sldl/nm-65,ocd-division/country:us/state:nm/sldl:65
nm,lower,66,1,sldl/nm-66,ocd-division/country:us/state:nm/sldl:66
nm,lower,67,1,sldl/nm-67,ocd-division/country:us/state:nm/sldl:67
nm,lower,68,1,sldl/nm-68,ocd-division/country:us/state:nm/sldl:68
nm,lower,69,1,sldl/nm-69,ocd-division/country:us/state:nm/sldl:69
nm,lower,70,1,sldl/nm-70,ocd-division/country:us/state:nm/sldl:70
nm,lower,7,1,sldl/nm-7,ocd-division/country:us/state:nm/sldl:7
nm,lower,8,1,sldl/nm-8,ocd-division/country:us/state:nm/sldl:8
nm,lower,9,1,sldl/nm-9,ocd-division/country:us/state:nm/sldl:9
nm,upper,10,1,sldu/nm-10,ocd-division/country:us/state:nm/sldu:10
nm,upper,11,1,sldu/nm-11,ocd-division/country:us/state:nm/sldu:11
nm,upper,1,1,sldu/nm-1,ocd-division/country:us/state:nm/sldu:1
nm,upper,12,1,sldu/nm-12,ocd-division/country:us/state:nm/sldu:12
nm,upper,13,1,sldu/nm-13,ocd-division/country:us/state:nm/sldu:13
nm,upper,14,1,sldu/nm-14,ocd-division/country:us/state:nm/sldu:14
nm,upper,15,1,sldu/nm-15,ocd-division/country:us/state:nm/sldu:15
nm,upper,16,1,sldu/nm-16,ocd-division/country:us/state:nm/sldu:16
nm,upper,17,1,sldu/nm-17,ocd-division/country:us/state:nm/sldu:17
nm,upper,18,1,sldu/nm-18,ocd-division/country:us/state:nm/sldu:18
nm,upper,19,1,sldu/nm-19,ocd-division/country:us/state:nm/sldu:19
