abbr,chamber,name,num_seats,boundary_id,division_id
nv,lower,10,1,sldl/nv-10,ocd-division/country:us/state:nv/sldl:10
nv,lower,11,1,sldl/nv-11,ocd-division/country:us/state:nv/sldl:11
nv,lower,1,1,sldl/nv-1,ocd-division/country:us/state:nv/sldl:1
nv,lower,12,1,sldl/nv-12,ocd-division/country:us/state:nv/sldl:12
nv,lower,13,1,sldl/nv-13,ocd-division/country:us/state:nv/sldl:13
nv,lower,14,1,sldl/nv-14,ocd-division/country:us/state:nv/sldl:14
nv,lower,15,1,sldl/nv-15,ocd-division/country:us/state:nv/sldl:15
nv,lower,16,1,sldl/nv-16,ocd-division/country:us/state:nv/sldl:16
nv,lower,17,1,sldl/nv-17,ocd-division/country:us/state:nv/sldl:17
nv,lower,18,1,sldl/nv-18,ocd-division/country:us/state:nv/sldl:18
nv,lower,19,1,sldl/nv-19,ocd-division/country:us/state:nv/sldl:19
nv,lower,20,1,sldl/nv-20,ocd-division/country:us/state:nv/sldl:20
nv,lower,21,1,sldl/nv-21,ocd-division/country:us/state:nv/sldl:21
nv,lower,2,1,sldl/nv-2,ocd-division/country:us/state:nv/sldl:2
nv,lower,22,1,sldl/nv-22,ocd-division/country:us/state:nv/sldl:22
nv,lower,23,1,sldl/nv-23,ocd-division/country:us/state:nv/sldl:23
nv,lower,24,1,sldl/nv-24,ocd-division/country:us/state:nv/sldl:24
nv,lower,25,1,sldl/nv-25,ocd-division/country:us/state:nv/sldl:25
nv,lower,26,1,sldl/nv-26,ocd-division/country:us/state:nv/sldl:26
nv,lower,27,1,sldl/nv-27,ocd-division/country:us/state:nv/sldl:27
nv,lower,28,1,sldl/nv-28,ocd-division/country:us/state:nv/sldl:28
nv,lower,29,1,sldl/nv-29,ocd-division/country:us/state:nv/sldl:29
nv,lower,30,1,sldl/nv-30,ocd-division/country:us/state:nv/sldl:30
nv,lower,31,1,sldl/nv-31,ocd-division/country:us/state:nv/sldl:31
nv,lower,3,1,sldl/nv-3,ocd-division/country:us/state:nv/sldl:3
nv,lower,32,1,sldl/nv-32,ocd-division/country:us/state:nv/sldl:32
nv,lower,33,1,sldl/nv-33,ocd-division/country:us/state:nv/sldl:33
nv,lower,34,1,sldl/nv-34,ocd-division/country:us/state:nv/sldl:34
nv,lower,35,1,sldl/nv-35,ocd-division/country:us/state:nv/sldl:35
nv,lower,36,1,sldl/nv-36,ocd-division/country:us/state:nv/sldl:36
nv,lower,37,1,sldl/nv-37,ocd-division/country:us/state:nv/sldl:37
nv,lower,38,1,sldl/nv-38,ocd-division/country:us/state:nv/sldl:38
nv,lower,39,1,sldl/nv-39,ocd-division/country:us/state:nv/sldl:39
nv,lower,40,1,sldl/nv-40,ocd-division/country:us/state:nv/sldl:40
nv,lower,41,1,sldl/nv-41,ocd-division/country:us/state:nv/sldl:41
nv,lower,4,1,sldl/nv-4,ocd-division/country:us/state:nv/sldl:4
nv,lower,42,1,sldl/nv-42,ocd-division/country:us/state:nv/sldl:42
nv,lower,5,1,sldl/nv-5,ocd-division/country:us/state:nv/sldl:5
nv,lower,6,1,sldl/nv-6,ocd-division/country:us/state:nv/sldl:6
nv,lower,7,1,sldl/nv-7,ocd-division/country:us/state:nv/sldl:7
nv,lower,8,1,sldl/nv-8,ocd-division/country:us/state:nv/sldl:8
nv,lower,9,1,sldl/nv-9,ocd-division/country:us/state:nv/sldl:9
nv,upper,10,1,sldu/nv-10,ocd-division/country:us/state:nv/sldu:10
nv,upper,11,1,sldu/nv-11,ocd-division/country:us/state:nv/sldu:11
nv,upper,1,1,sldu/nv-1,ocd-division/country:us/state:nv/sldu:1
nv,upper,12,1,sldu/nv-12,ocd-division/country:us/state:nv/sldu:12
nv,upper,13,1,sldu/nv-13,ocd-division/country:us/state:nv/sldu:13
nv,upper,14,1,sldu/nv-14,ocd-division/country:us/state:nv/sldu:14
nv,upper,15,1,sldu/nv-15,ocd-division/country:us/state:nv/sldu:15
nv,upper,16,1,sldu/nv-16,ocd-division/country:us/state:nv/sldu:16
nv,upper,17,1,sldu/nv-17,ocd-division/country:us/state:nv/sldu:17
nv,upper,18,1,sldu/nv-18,ocd-division/country:us/state:nv/sldu:18
nv,upper,19,1,sldu/nv-19,ocd-division/country:us/state:nv/sldu:19
nv,upper,20,1,sldu/nv-20,ocd-division/country:us/state:nv/sldu:20
nv,upper,21,1,sldu/nv-21,ocd-division/country:us/state:nv/sldu:21
nv,upper,2,1,sldu/nv-2,ocd-division/country:us/state:nv/sldu:2
nv,upper,3,1,sldu/nv-3,ocd-division/country:us/state:nv/sldu:3
nv,upper,4,1,sldu/nv-4,ocd-division/country:us/state:nv/sldu:4
nv,upper,5,1,sldu/nv-5,ocd-division/country:us/state:nv/sldu:5
nv,upper,6,1,sldu/nv-6,ocd-division/country:us/state:nv/sldu:6
nv,upper,7,1,sldu/nv-7,ocd-division/country:us/state:nv/sldu:7
nv,upper,8,1,sldu/nv-8,ocd-division/country:us/state:nv/sldu:8
nv,upper,9,1,sldu/nv-9,ocd-division/country:us/state:nv/sldu:9
