abbr,chamber,name,num_seats,boundary_id,division_id
oh,lower,10,1,sldl/oh-10,ocd-division/country:us/state:oh/sldl:10
oh,lower,11,1,sldl/oh-11,ocd-division/country:us/state:oh/sldl:11
oh,lower,1,1,sldl/oh-1,ocd-division/country:us/state:oh/sldl:1
oh,lower,12,1,sldl/oh-12,ocd-division/country:us/state:oh/sldl:12
oh,lower,13,1,sldl/oh-13,ocd-division/country:us/state:oh/sldl:13
oh,lower,14,1,sldl/oh-14,ocd-division/country:us/state:oh/sldl:14
oh,lower,15,1,sldl/oh-15,ocd-division/country:us/state:oh/sldl:15
oh,lower,16,1,sldl/oh-16,ocd-division/country:us/state:oh/sldl:16
oh,lower,17,1,sldl/oh-17,ocd-division/country:us/state:oh/sldl:17
oh,lower,18,1,sldl/oh-18,ocd-division/country:us/state:oh/sldl:18
oh,lower,19,1,sldl/oh-19,ocd-division/country:us/state:oh/sldl:19
oh,lower,20,1,sldl/oh-20,ocd-division/country:us/state:oh/sldl:20
oh,lower,21,1,sldl/oh-21,ocd-division/country:us/state:oh/sldl:21
oh,lower,2,1,sldl/oh-2,ocd-division/country:us/state:oh/sldl:2
oh,lower,22,1,sldl/oh-22,ocd-division/country:us/state:oh/sldl:22
oh,lower,23,1,sldl/oh-23,ocd-division/country:us/state:oh/sldl:23
oh,lower,24,1,sldl/oh-24,ocd-division/country:us/state:oh/sldl:24
oh,lower,25,1,sldl/oh-25,ocd-division/country:us/state:oh/sldl:25
oh,lower,26,1,sldl/oh-26,ocd-division/country:us/state:oh/sldl:26
oh,lower,27,1,sldl/oh-27,ocd-division/country:us/state:oh/sldl:27
oh,lower,28,1,sldl/oh-28,ocd-division/country:us/state:oh/sldl:28
oh,lower,29,1,sldl/oh-29,ocd-division/country:us/state:oh/sldl:29
oh,lower,30,1,sldl/oh-30,ocd-division/country:us/state:oh/sldl:30
oh,lower,31,1,sldl/oh-31,ocd-division/country:us/state:oh/sldl:31
oh,lower,3,1,sldl/oh-3,ocd-division/country:us/state:oh/sldl:3
oh,lower,32,1,sldl/oh-32,ocd-division/country:us/state:oh/sldl:32
oh,lower,33,1,sldl/oh-33,ocd-division/country:us/state:oh/sldl:33
oh,lower,34,1,sldl/oh-34,ocd-division/country:us/state:oh/sldl:34
oh,lower,35,1,sldl/oh-35,ocd-division/country:us/state:oh/sldl:35
oh,lower,36,1,sldl/oh-36,ocd-division/country:us/state:oh/sldl:36
oh,lower,37,1,sldl/oh-37,ocd-division/country:us/state:oh/sldl:37
oh,lower,38,1,sldl/oh-38,ocd-division/country:us/state:oh/sldl:38
oh,lower,39,1,sldl/oh-39,ocd-division/country:us/state:oh/sldl:39
oh,lower,40,1,sldl/oh-40,ocd-division/country:us/state:oh/sldl:40
oh,lower,41,1,sldl/oh-41,ocd-division/country:us/state:oh/sldl:41
oh,lower,4,1,sldl/oh-4,ocd-division/country:us/state:oh/sldl:4
oh,lower,42,1,sldl/oh-42,ocd-division/country:us/state:oh/sldl:42
oh,lower,43,1,sldl/oh-43,ocd-division/country:us/state:oh/sldl:43
oh,lower,44,1,sldl/oh-44,ocd-division/country:us/state:oh/sldl:44
oh,lower,45,1,sldl/oh-45,ocd-division/country:us/state:oh/sldl:45
oh,lower,46,1,sldl/oh-46,ocd-division/country:us/state:oh/sldl:46
oh,lower,47,1,sldl/oh-47,ocd-division/country:us/state:oh/sldl:47
oh,lower,48,1,sldl/oh-48,ocd-division/country:us/state:oh/sldl:48
oh,lower,49,1,sldl/oh-49,ocd-division/country:us/state:oh/sldl:49
oh,lower,50,1,sldl/oh-50,ocd-division/country:us/state:oh/sldl:50
oh,lower,51,1,sldl/oh-51,ocd-division/country:us/state:oh/sldl:51
oh,lower,5,1,sldl/oh-5,ocd-division/country:us/state:oh/sldl:5
oh,lower,52,1,sldl/oh-52,ocd-division/country:us/state:oh/sldl:52
oh,lower,53,1,sldl/oh-53,ocd-division/country:us/state:oh/sldl:53
oh,lower,54,1,sldl/oh-54,ocd-division/country:us/state:oh/sldl:54
oh,lower,55,1,sldl/oh-55,ocd-division/country:us/state:oh/sldl:55
oh,lower,56,1,sldl/oh-56,ocd-division/country:us/state:oh/sldl:56
oh,lower,57,1,sldl/oh-57,ocd-division/country:us/state:oh/sldl:57
oh,lower,58,1,sldl/oh-58,ocd-division/country:us/state:oh/sldl:58
oh,lower,59,1,sldl/oh-59,ocd-division/country:us/state:oh/sldl:59
oh,lower,60,1,sldl/oh-60,ocd-division/country:us/state:oh/sldl:60
oh,lower,61,1,sldl/oh-61,ocd-division/country:us/state:oh/sldl:61
oh,lower,6,1,sldl/oh-6,ocd-division/country:us/state:oh/sldl:6
oh,lower,62,1,sldl/oh-62,ocd-division/country:us/state:oh/sldl:62
oh,lower,63,1,sldl/oh-63,ocd-division/country:us/state:oh/sldl:63
oh,lower,64,1,sldl/oh-64,ocd-division/country:us/state:oh/sldl:64
oh,lower,65,1,sldl/oh-65,ocd-division/country:us/state:oh/sldl:65
oh,lower,66,1,sldl/oh-66,ocd-division/country:us/state:oh/sldl:66
oh,lower,67,1,sldl/oh-67,ocd-division/country:us/state:oh/sldl:67
oh,lower,68,1,sldl/oh-68,ocd-division/country:us/state:oh/sldl:68
oh,lower,69,1,sldl/oh-69,ocd-division/country:us/state:oh/sldl:69
oh,lower,70,1,sldl/oh-70,ocd-division/country:us/state:oh/sldl:70
oh,lower,71,1,sldl/oh-71,ocd-division/country:us/state:oh/sldl:71
oh,lower,7,1,sldl/oh-7,ocd-division/country:us/state:oh/sldl:7
oh,lower,72,1,sldl/oh-72,ocd-division/country:us/state:oh/sldl:72
oh,lower,73,1,sldl/oh-73,ocd-division/country:us/state:oh/sldl:73
oh,lower,74,1,sldl/oh-74,ocd-division/country:us/state:oh/sldl:74
oh,lower,75,1,sldl/oh-75,ocd-division/country:us/state:oh/sldl:75
oh,lower,76,1,sldl/oh-76,ocd-division/country:us/state:oh/sldl:76
oh,lower,77,1,sldl/oh-77,ocd-division/country:us/state:oh/sldl:77
oh,lower,78,1,sldl/oh-78,ocd-division/country:us/state:oh/sldl:78
oh,lower,79,1,sldl/oh-79,ocd-division/country:us/state:oh/sldl:79
oh,lower,80,1,sldl/oh-80,ocd-division/country:us/state:oh/sldl:80
oh,lower,81,1,sldl/oh-81,ocd-division/country:us/state:oh/sldl:81
oh,lower,8,1,sldl/oh-8,ocd-division/country:us/state:oh/sldl:8
oh,lower,82,1,sldl/oh-82,ocd-division/country:us/state:oh/sldl:82
oh,lower,83,1,sldl/oh-83,ocd-division/country:us/state:oh/sldl:83
oh,lower,84,1,sldl/oh-84,ocd-division/country:us/state:oh/sldl:84
oh,lower,85,1,sldl/oh-85,ocd-division/country:us/state:oh/sldl:85
oh,lower,86,1,sldl/oh-86,ocd-division/country:us/state:oh/sldl:86
oh,lower,87,1,sldl/oh-87,ocd-division/country:us/state:oh/sldl:87
oh,lower,88,1,sldl/oh-88,ocd-division/country:us/state:oh/sldl:88
oh,lower,89,1,sldl/oh-89,ocd-division/country:us/state:oh/sldl:89
oh,lower,90,1,sldl/oh-90,ocd-division/country:us/state:oh/sldl:90
oh,lower,91,1,sldl/oh-91,ocd-division/country:us/state:oh/sldl:91
oh,lower,9,1,sldl/oh-9,ocd-division/country:us/state:oh/sldl:9
oh,lower,92,1,sldl/oh-92,ocd-division/country:us/state:oh/sldl:92
oh,lower,93,1,sldl/oh-93,ocd-division/country:us/state:oh/sldl:93
oh,lower,94,1,sldl/oh-94,ocd-division/country:us/state:oh/sldl:94
oh,lower,95,1,sldl/oh-95,ocd-division/country:us/state:oh/sldl:95
oh,lower,96,1,sldl/oh-96,ocd-division/country:us/state:oh/sldl:96
oh,lower,97,1,sldl/oh-97,ocd-division/country:us/state:oh/sldl:97
oh,lower,98,1,sldl/oh-98,ocd-division/country:us/state:oh/sldl:98
oh,lower,99,1,sldl/oh-99,ocd-division/country:us/state:oh/sldl:99
oh,upper,10,1,sldu/oh-10,ocd-division/country:us/state:oh/sldu:10
oh,upper,11,1,sldu/oh-11,ocd-division/country:us/state:oh/sldu:11
oh,upper,1,1,sldu/oh-1,ocd-division/country:us/state:oh/sldu:1
oh,upper,12,1,sldu/oh-12,ocd-division/country:us/state:oh/sldu:12
oh,upper,13,1,sldu/oh-13,ocd-division/country:us/state:oh/sldu:13
oh,upper,14,1,sldu/oh-14,ocd-division/country:us/state:oh/sldu:14
oh,upper,15,1,sldu/oh-15,ocd-division/country:us/state:oh/sldu:15
oh,upper,16,1,sldu/oh-16,ocd-division/country:us/state:oh/sldu:16
oh,upper,17,1,sldu/oh-17,ocd-division/country:us/state:oh/sldu:17
oh,upper,18,1,sldu/oh-18,ocd-division/country:us/state:oh/sldu:18
oh,upper,19,1,sldu/oh-19,ocd-division/country:us/state:oh/sldu:19
oh,upper,20,1,sldu/oh-20,ocd-division/country:us/state:oh/sldu:20
oh,upper,21,1,sldu/oh-21,ocd-division/country:us/state:oh/sldu:21
oh,upper,2,1,sldu/oh-2,ocd-division/country:us/state:oh/sldu:2
oh,upper,22,1,sldu/oh-22,ocd-division/country:us/state:oh/sldu:22
oh,upper,23,1,sldu/oh-23,ocd-division/country:us/state:oh/sldu:23
oh,upper,24,1,sldu/oh-24,ocd-division/country:us/state:oh/sldu:24
oh,upper,25,1,sldu/oh-25,ocd-division/country:us/state:oh/sldu:25
oh,upper,26,1,sldu/oh-26,ocd-division/country:us/state:oh/sldu:26
oh,upper,27,1,sldu/oh-27,ocd-division/country:us/state:oh/sldu:27
oh,upper,28,1,sldu/oh-28,ocd-division/country:us/state:oh/sldu:28
oh,upper,29,1,sldu/oh-29,ocd-division/country:us/state:oh/sldu:29
oh,upper,30,1,sldu/oh-30,ocd-division/country:us/state:oh/sldu:30
oh,upper,31,1,sldu/oh-31,ocd-division/country:us/state:oh/sldu:31
oh,upper,3,1,sldu/oh-3,ocd-division/country:us/state:oh/sldu:3
oh,upper,32,1,sldu/oh-32,ocd-division/country:us/state:oh/sldu:32
oh,upper,33,1,sldu/oh-33,ocd-division/country:us/state:oh/sldu:33
oh,upper,4,1,sldu/oh-4,ocd-division/country:us/state:oh/sldu:4
oh,upper,5,1,sldu/oh-5,ocd-division/country:us/state:oh/sldu:5
oh,upper,6,1,sldu/oh-6,ocd-division/country:us/state:oh/sldu:6
oh,upper,7,1,sldu/oh-7,ocd-division/country:us/state:oh/sldu:7
oh,upper,8,1,sldu/oh-8,ocd-division/country:us/state:oh/sldu:8
oh,upper,9,1,sldu/oh-9,ocd-division/country:us/state:oh/sldu:9
