abbr,chamber,name,num_seats,boundary_id,division_id
or,lower,10,1,sldl/or-10,ocd-division/country:us/state:or/sldl:10
or,lower,11,1,sldl/or-11,ocd-division/country:us/state:or/sldl:11
or,lower,1,1,sldl/or-1,ocd-division/country:us/state:or/sldl:1
or,lower,12,1,sldl/or-12,ocd-division/country:us/state:or/sldl:12
or,lower,13,1,sldl/or-13,ocd-division/country:us/state:or/sldl:13
or,lower,14,1,sldl/or-14,ocd-division/country:us/state:or/sldl:14
or,lower,15,1,sldl/or-15,ocd-division/country:us/state:or/sldl:15
or,lower,16,1,sldl/or-16,ocd-division/country:us/state:or/sldl:16
or,lower,17,1,sldl/or-17,ocd-division/country:us/state:or/sldl:17
or,lower,18,1,sldl/or-18,ocd-division/country:us/state:or/sldl:18
or,lower,19,1,sldl/or-19,ocd-division/country:us/state:or/sldl:19
or,lower,20,1,sldl/or-20,ocd-division/country:us/state:or/sldl:20
or,lower,21,1,sldl/or-21,ocd-division/country:us/state:or/sldl:21
or,lower,2,1,sldl/or-2,ocd-division/country:us/state:or/sldl:2
or,lower,22,1,sldl/or-22,ocd-division/country:us/state:or/sldl:22
or,lower,23,1,sldl/or-23,ocd-division/country:us/state:or/sldl:23
or,lower,24,1,sldl/or-24,ocd-division/country:us/state:or/sldl:24
or,lower,25,1,sldl/or-25,ocd-division/country:us/state:or/sldl:25
or,lower,26,1,sldl/or-26,ocd-division/country:us/state:or/sldl:26
or,lower,27,1,sldl/or-27,ocd-division/country:us/state:or/sldl:27
or,lower,28,1,sldl/or-28,ocd-division/country:us/state:or/sldl:28
or,lower,29,1,sldl/or-29,ocd-division/country:us/state:or/sldl:29
or,lower,30,1,sldl/or-30,ocd-division/country:us/state:or/sldl:30
or,lower,31,1,sldl/or-31,ocd-division/country:us/state:or/sldl:31
or,lower,3,1,sldl/or-3,ocd-division/country:us/state:or/sldl:3
or,lower,32,1,sldl/or-32,ocd-division/country:us/state:or/sldl:32
or,lower,33,1,sldl/or-33,ocd-division/country:us/state:or/sldl:33
or,lower,34,1,sldl/or-34,ocd-division/country:us/state:or/sldl:34
or,lower,35,1,sldl/or-35,ocd-division/country:us/state:or/sldl:35
or,lower,36,1,sldl/or-36,ocd-division/country:us/state:or/sldl:36
or,lower,37,1,sldl/or-37,ocd-division/country:us/state:or/sldl:37
or,lower,38,1,sldl/or-38,ocd-division/country:us/state:or/sldl:38
or,lower,39,1,sldl/or-39,ocd-division/country:us/state:or/sldl:39
or,lower,40,1,sldl/or-40,ocd-division/country:us/state:or/sldl:40
or,lower,41,1,sldl/or-41,ocd-division/country:us/state:or/sldl:41
or,lower,4,1,sldl/or-4,ocd-division/country:us/state:or/sldl:4
or,lower,42,1,sldl/or-42,ocd-division/country:us/state:or/sldl:42
or,lower,43,1,sldl/or-43,ocd-division/country:us/state:or/sldl:43
or,lower,44,1,sldl/or-44,ocd-division/country:us/state:or/sldl:44
or,lower,45,1,sldl/or-45,ocd-division/country:us/state:or/sldl:45
or,lower,46,1,sldl/or-46,ocd-division/country:us/state:or/sldl:46
or,lower,47,1,sldl/or-47,ocd-division/country:us/state:or/sldl:47
or,lower,48,1,sldl/or-48,ocd-division/country:us/state:or/sldl:48
or,lower,49,1,sldl/or-49,ocd-division/country:us/state:or/sldl:49
or,lower,50,1,sldl/or-50,ocd-division/country:us/state:or/sldl:50
or,lower,51,1,sldl/or-51,ocd-division/country:us/state:or/sldl:51
or,lower,5,1,sldl/or-5,ocd-division/country:us/state:or/sldl:5
or,lower,52,1,sldl/or-52,ocd-division/country:us/state:or/sldl:52
or,lower,53,1,sldl/or-53,ocd-division/country:us/state:or/sldl:53
or,lower,54,1,sldl/or-54,ocd-division/country:us/state:or/sldl:54
or,lower,55,1,sldl/or-55,ocd-division/country:us/state:or/sldl:55
or,lower,56,1,sldl/or-56,ocd-division/country:us/state:or/sldl:56
or,lower,57,1,sldl/or-57,ocd-division/country:us/state:or/sldl:57
or,lower,58,1,sldl/or-58,ocd-division/country:us/state:or/sldl:58
or,lower,59,1,sldl/or-59,ocd-division/country:us/state:or/sldl:59
or,lower,60,1,sldl/or-60,ocd-division/country:us/state:or/sldl:60
or,lower,6,1,sldl/or-6,ocd-division/country:us/state:or/sldl:6
or,lower,7,1,sldl/or-7,ocd-division/country:us/state:or/sldl:7
or,lower,8,1,sldl/or-8,ocd-division/country:us/state:or/sldl:8
or,lower,9,1,sldl/or-9,ocd-division/country:us/state:or/sldl:9
or,upper,10,1,sldu/or-10,ocd-division/country:us/state:or/sldu:10
or,upper,11,1,sldu/or-11,ocd-division/country:us/state:or/sldu:11
or,upper,1,1,sldu/or-1,ocd-division/country:us/state:or/sldu:1
or,upper,12,1,sldu/or-12,ocd-division/country:us/state:or/sldu:12
or,upper,13,1,sldu/or-13,ocd-division/country:us/state:or/sldu:13
or,upper,14,1,sldu/or-14,ocd-division/country:us/state:or/sldu:14
or,upper,15,1,sldu/or-15,ocd-division/country:us/state:or/sldu:15
or,upper,16,1,sldu/or-16,ocd-division/country:us/state:or/sldu:16
or,upper,17,1,sldu/or-17,ocd-division/country:us/state:or/sldu:17
or,upper,18,1,sldu/or-18,ocd-division/country:us/state:or/sldu:18
or,upper,19,1,sldu/or-19,ocd-division/country:us/state:or/sldu:19
or,upper,20,1,sldu/or-20,ocd-division/country:us/state:or/sldu:20
or,upper,21,1,sldu/or-21,ocd-division/country:us/state:or/sldu:21
or,upper,2,1,sldu/or-2,ocd-division/country:us/state:or/sldu:2
or,upper,22,1,sldu/or-22,ocd-division/country:us/state:or/sldu:22
or,upper,23,1,sldu/or-23,ocd-division/country:us/state:or/sldu:23
or,upper,24,1,sldu/or-24,ocd-division/country:us/state:or/sldu:24
or,upper,25,1,sldu/or-25,ocd-division/country:us/state:or/sldu:25
or,upper,26,1,sldu/or-26,ocd-division/country:us/state:or/sldu:26
or,upper,27,1,sldu/or-27,ocd-division/country:us/state:or/sldu:27
or,upper,28,1,sldu/or-28,ocd-division/country:us/state:or/sldu:28
or,upper,29,1,sldu/or-29,ocd-division/country:us/state:or/sldu:29
or,upper,30,1,sldu/or-30,ocd-division/country:us/state:or/sldu:30
or,upper,3,1,sldu/or-3,ocd-division/country:us/state:or/sldu:3
or,upper,4,1,sldu/or-4,ocd-division/country:us/state:or/sldu:4
or,upper,5,1,sldu/or-5,ocd-division/country:us/state:or/sldu:5
or,upper,6,1,sldu/or-6,ocd-division/country:us/state:or/sldu:6
or,upper,7,1,sldu/or-7,ocd-division/country:us/state:or/sldu:7
or,upper,8,1,sldu/or-8,ocd-division/country:us/state:or/sldu:8
or,upper,9,1,sldu/or-9,ocd-division/country:us/state:or/sldu:9
