abbr,chamber,name,num_seats,boundary_id,division_id
pr,lower,10,1,sldl/pr-10,ocd-division/country:us/territory:pr/sldl:10
pr,lower,11,1,sldl/pr-11,ocd-division/country:us/territory:pr/sldl:11
pr,lower,1,1,sldl/pr-1,ocd-division/country:us/territory:pr/sldl:1
pr,lower,12,1,sldl/pr-12,ocd-division/country:us/territory:pr/sldl:12
pr,lower,13,1,sldl/pr-13,ocd-division/country:us/territory:pr/sldl:13
pr,lower,14,1,sldl/pr-14,ocd-division/country:us/territory:pr/sldl:14
pr,lower,15,1,sldl/pr-15,ocd-division/country:us/territory:pr/sldl:15
pr,lower,16,1,sldl/pr-16,ocd-division/country:us/territory:pr/sldl:16
pr,lower,17,1,sldl/pr-17,ocd-division/country:us/territory:pr/sldl:17
pr,lower,18,1,sldl/pr-18,ocd-division/country:us/territory:pr/sldl:18
pr,lower,19,1,sldl/pr-19,ocd-division/country:us/territory:pr/sldl:19
pr,lower,20,1,sldl/pr-20,ocd-division/country:us/territory:pr/sldl:20
pr,lower,21,1,sldl/pr-21,ocd-division/country:us/territory:pr/sldl:21
pr,lower,2,1,sldl/pr-2,ocd-division/country:us/territory:pr/sldl:2
pr,lower,22,1,sldl/pr-22,ocd-division/country:us/territory:pr/sldl:22
pr,lower,23,1,sldl/pr-23,ocd-division/country:us/territory:pr/sldl:23
pr,lower,24,1,sldl/pr-24,ocd-division/country:us/territory:pr/sldl:24
pr,lower,25,1,sldl/pr-25,ocd-division/country:us/territory:pr/sldl:25
pr,lower,26,1,sldl/pr-26,ocd-division/country:us/territory:pr/sldl:26
pr,lower,27,1,sldl/pr-27,ocd-division/country:us/territory:pr/sldl:27
pr,lower,28,1,sldl/pr-28,ocd-division/country:us/territory:pr/sldl:28
pr,lower,29,1,sldl/pr-29,ocd-division/country:us/territory:pr/sldl:29
pr,lower,30,1,sldl/pr-30,ocd-division/country:us/territory:pr/sldl:30
pr,lower,31,1,sldl/pr-31,ocd-division/country:us/territory:pr/sldl:31
pr,lower,3,1,sldl/pr-3,ocd-division/country:us/territory:pr/sldl:3
pr,lower,32,1,sldl/pr-32,ocd-division/country:us/territory:pr/sldl:32
pr,lower,33,1,sldl/pr-33,ocd-division/country:us/territory:pr/sldl:33
pr,lower,34,1,sldl/pr-34,ocd-division/country:us/territory:pr/sldl:34
pr,lower,35,1,sldl/pr-35,ocd-division/country:us/territory:pr/sldl:35
pr,lower,36,1,sldl/pr-36,ocd-division/country:us/territory:pr/sldl:36
pr,lower,37,1,sldl/pr-37,ocd-division/country:us/territory:pr/sldl:37
pr,lower,38,1,sldl/pr-38,ocd-division/country:us/territory:pr/sldl:38
pr,lower,39,1,sldl/pr-39,ocd-division/country:us/territory:pr/sldl:39
pr,lower,40,1,sldl/pr-40,ocd-division/country:us/territory:pr/sldl:40
pr,lower,4,1,sldl/pr-4,ocd-division/country:us/territory:pr/sldl:4
pr,lower,5,1,sldl/pr-5,ocd-division/country:us/territory:pr/sldl:5
pr,lower,6,1,sldl/pr-6,ocd-division/country:us/territory:pr/sldl:6
pr,lower,7,1,sldl/pr-7,ocd-division/country:us/territory:pr/sldl:7
pr,lower,8,1,sldl/pr-8,ocd-division/country:us/territory:pr/sldl:8
pr,lower,9,1,sldl/pr-9,ocd-division/country:us/territory:pr/sldl:9
pr,lower,At-Large,11,cd/pr-resident-commissioner-district-at-large,ocd-division/country:us/territory:pr
pr,upper,I,2,sldu/pr-i,ocd-division/country:us/territory:pr/sldu:1
pr,upper,II,2,sldu/pr-ii,ocd-division/country:us/territory:pr/sldu:2
pr,upper,III,2,sldu/pr-iii,ocd-division/country:us/territory:pr/sldu:3
pr,upper,IV,2,sldu/pr-iv,ocd-division/country:us/territory:pr/sldu:4
pr,upper,V,2,sldu/pr-v,ocd-division/country:us/territory:pr/sldu:5
pr,upper,VI,2,sldu/pr-vi,ocd-division/country:us/territory:pr/sldu:6
pr,upper,VII,2,sldu/pr-vii,ocd-division/country:us/territory:pr/sldu:7
pr,upper,VIII,2,sldu/pr-viii,ocd-division/country:us/territory:pr/sldu:8
pr,upper,At-Large,11,cd/pr-resident-commissioner-district-at-large,ocd-division/country:us/territory:pr
