abbr,chamber,name,num_seats,boundary_id,division_id
sc,lower,1,1,sldl/sc-hd-001,ocd-division/country:us/state:sc/sldl:1
sc,lower,2,1,sldl/sc-hd-002,ocd-division/country:us/state:sc/sldl:2
sc,lower,3,1,sldl/sc-hd-003,ocd-division/country:us/state:sc/sldl:3
sc,lower,4,1,sldl/sc-hd-004,ocd-division/country:us/state:sc/sldl:4
sc,lower,5,1,sldl/sc-hd-005,ocd-division/country:us/state:sc/sldl:5
sc,lower,6,1,sldl/sc-hd-006,ocd-division/country:us/state:sc/sldl:6
sc,lower,7,1,sldl/sc-hd-007,ocd-division/country:us/state:sc/sldl:7
sc,lower,8,1,sldl/sc-hd-008,ocd-division/country:us/state:sc/sldl:8
sc,lower,9,1,sldl/sc-hd-009,ocd-division/country:us/state:sc/sldl:9
sc,lower,10,1,sldl/sc-hd-010,ocd-division/country:us/state:sc/sldl:10
sc,lower,11,1,sldl/sc-hd-011,ocd-division/country:us/state:sc/sldl:11
sc,lower,12,1,sldl/sc-hd-012,ocd-division/country:us/state:sc/sldl:12
sc,lower,13,1,sldl/sc-hd-013,ocd-division/country:us/state:sc/sldl:13
sc,lower,14,1,sldl/sc-hd-014,ocd-division/country:us/state:sc/sldl:14
sc,lower,15,1,sldl/sc-hd-015,ocd-division/country:us/state:sc/sldl:15
sc,lower,16,1,sldl/sc-hd-016,ocd-division/country:us/state:sc/sldl:16
sc,lower,17,1,sldl/sc-hd-017,ocd-division/country:us/state:sc/sldl:17
sc,lower,18,1,sldl/sc-hd-018,ocd-division/country:us/state:sc/sldl:18
sc,lower,19,1,sldl/sc-hd-019,ocd-division/country:us/state:sc/sldl:19
sc,lower,20,1,sldl/sc-hd-020,ocd-division/country:us/state:sc/sldl:20
sc,lower,21,1,sldl/sc-hd-021,ocd-division/country:us/state:sc/sldl:21
sc,lower,22,1,sldl/sc-hd-022,ocd-division/country:us/state:sc/sldl:22
sc,lower,23,1,sldl/sc-hd-023,ocd-division/country:us/state:sc/sldl:23
sc,lower,24,1,sldl/sc-hd-024,ocd-division/country:us/state:sc/sldl:24
sc,lower,25,1,sldl/sc-hd-025,ocd-division/country:us/state:sc/sldl:25
sc,lower,26,1,sldl/sc-hd-026,ocd-division/country:us/state:sc/sldl:26
sc,lower,27,1,sldl/sc-hd-027,ocd-division/country:us/state:sc/sldl:27
sc,lower,28,1,sldl/sc-hd-028,ocd-division/country:us/state:sc/sldl:28
sc,lower,29,1,sldl/sc-hd-029,ocd-division/country:us/state:sc/sldl:29
sc,lower,30,1,sldl/sc-hd-030,ocd-division/country:us/state:sc/sldl:30
sc,lower,31,1,sldl/sc-hd-031,ocd-division/country:us/state:sc/sldl:31
sc,lower,32,1,sldl/sc-hd-032,ocd-division/country:us/state:sc/sldl:32
sc,lower,33,1,sldl/sc-hd-033,ocd-division/country:us/state:sc/sldl:33
sc,lower,34,1,sldl/sc-hd-034,ocd-division/country:us/state:sc/sldl:34
sc,lower,35,1,sldl/sc-hd-035,ocd-division/country:us/state:sc/sldl:35
sc,lower,36,1,sldl/sc-hd-036,ocd-division/country:us/state:sc/sldl:36
sc,lower,37,1,sldl/sc-hd-037,ocd-division/country:us/state:sc/sldl:37
sc,lower,38,1,sldl/sc-hd-038,ocd-division/country:us/state:sc/sldl:38
sc,lower,39,1,sldl/sc-hd-039,ocd-division/country:us/state:sc/sldl:39
sc,lower,40,1,sldl/sc-hd-040,ocd-division/country:us/state:sc/sldl:40
sc,lower,41,1,sldl/sc-hd-041,ocd-division/country:us/state:sc/sldl:41
sc,lower,42,1,sldl/sc-hd-042,ocd-division/country:us/state:sc/sldl:42
sc,lower,43,1,sldl/sc-hd-043,ocd-division/country:us/state:sc/sldl:43
sc,lower,44,1,sldl/sc-hd-044,ocd-division/country:us/state:sc/sldl:44
sc,lower,45,1,sldl/sc-hd-045,ocd-division/country:us/state:sc/sldl:45
sc,lower,46,1,sldl/sc-hd-046,ocd-division/country:us/state:sc/sldl:46
sc,lower,47,1,sldl/sc-hd-047,ocd-division/country:us/state:sc/sldl:47
sc,lower,48,1,sldl/sc-hd-048,ocd-division/country:us/state:sc/sldl:48
sc,lower,49,1,sldl/sc-hd-049,ocd-division/country:us/state:sc/sldl:49
sc,lower,50,1,sldl/sc-hd-050,ocd-division/country:us/state:sc/sldl:50
sc,lower,51,1,sldl/sc-hd-051,ocd-division/country:us/state:sc/sldl:51
sc,lower,52,1,sldl/sc-hd-052,ocd-division/country:us/state:sc/sldl:52
sc,lower,53,1,sldl/sc-hd-053,ocd-division/country:us/state:sc/sldl:53
sc,lower,54,1,sldl/sc-hd-054,ocd-division/country:us/state:sc/sldl:54
sc,lower,55,1,sldl/sc-hd-055,ocd-division/country:us/state:sc/sldl:55
sc,lower,56,1,sldl/sc-hd-056,ocd-division/country:us/state:sc/sldl:56
sc,lower,57,1,sldl/sc-hd-057,ocd-division/country:us/state:sc/sldl:57
sc,lower,58,1,sldl/sc-hd-058,ocd-division/country:us/state:sc/sldl:58
sc,lower,59,1,sldl/sc-hd-059,ocd-division/country:us/state:sc/sldl:59
sc,lower,60,1,sldl/sc-hd-060,ocd-division/country:us/state:sc/sldl:60
sc,lower,61,1,sldl/sc-hd-061,ocd-division/country:us/state:sc/sldl:61
sc,lower,62,1,sldl/sc-hd-062,ocd-division/country:us/state:sc/sldl:62
sc,lower,63,1,sldl/sc-hd-063,ocd-division/country:us/state:sc/sldl:63
sc,lower,64,1,sldl/sc-hd-064,ocd-division/country:us/state:sc/sldl:64
sc,lower,65,1,sldl/sc-hd-065,ocd-division/country:us/state:sc/sldl:65
sc,lower,66,1,sldl/sc-hd-066,ocd-division/country:us/state:sc/sldl:66
sc,lower,67,1,sldl/sc-hd-067,ocd-division/country:us/state:sc/sldl:67
sc,lower,68,1,sldl/sc-hd-068,ocd-division/country:us/state:sc/sldl:68
sc,lower,69,1,sldl/sc-hd-069,ocd-division/country:us/state:sc/sldl:69
sc,lower,70,1,sldl/sc-hd-070,ocd-division/country:us/state:sc/sldl:70
sc,lower,71,1,sldl/sc-hd-071,ocd-division/country:us/state:sc/sldl:71
sc,lower,72,1,sldl/sc-hd-072,ocd-division/country:us/state:sc/sldl:72
sc,lower,73,1,sldl/sc-hd-073,ocd-division/country:us/state:sc/sldl:73
sc,lower,74,1,sldl/sc-hd-074,ocd-division/country:us/state:sc/sldl:74
sc,lower,75,1,sldl/sc-hd-075,ocd-division/country:us/state:sc/sldl:75
sc,lower,76,1,sldl/sc-hd-076,ocd-division/country:us/state:sc/sldl:76
sc,lower,77,1,sldl/sc-hd-077,ocd-division/country:us/state:sc/sldl:77
sc,lower,78,1,sldl/sc-hd-078,ocd-division/country:us/state:sc/sldl:78
sc,lower,79,1,sldl/sc-hd-079,ocd-division/country:us/state:sc/sldl:79
sc,lower,80,1,sldl/sc-hd-080,ocd-division/country:us/state:sc/sldl:80
sc,lower,81,1,sldl/sc-hd-081,ocd-division/country:us/state:sc/sldl:81
sc,lower,82,1,sldl/sc-hd-082,ocd-division/country:us/state:sc/sldl:82
sc,lower,83,1,sldl/sc-hd-083,ocd-division/country:us/state:sc/sldl:83
sc,lower,84,1,sldl/sc-hd-084,ocd-division/country:us/state:sc/sldl:84
sc,lower,85,1,sldl/sc-hd-085,ocd-division/country:us/state:sc/sldl:85
sc,lower,86,1,sldl/sc-hd-086,ocd-division/country:us/state:sc/sldl:86
sc,lower,87,1,sldl/sc-hd-087,ocd-division/country:us/state:sc/sldl:87
sc,lower,88,1,sldl/sc-hd-088,ocd-division/country:us/state:sc/sldl:88
sc,lower,89,1,sldl/sc-hd-089,ocd-division/country:us/state:sc/sldl:89
sc,lower,90,1,sldl/sc-hd-090,ocd-division/country:us/state:sc/sldl:90
sc,lower,91,1,sldl/sc-hd-091,ocd-division/country:us/state:sc/sldl:91
sc,lower,92,1,sldl/sc-hd-092,ocd-division/country:us/state:sc/sldl:92
sc,lower,93,1,sldl/sc-hd-093,ocd-division/country:us/state:sc/sldl:93
sc,lower,94,1,sldl/sc-hd-094,ocd-division/country:us/state:sc/sldl:94
sc,lower,95,1,sldl/sc-hd-095,ocd-division/country:us/state:sc/sldl:95
sc,lower,96,1,sldl/sc-hd-096,ocd-division/country:us/state:sc/sldl:96
sc,lower,97,1,sldl/sc-hd-097,ocd-division/country:us/state:sc/sldl:97
sc,lower,98,1,sldl/sc-hd-098,ocd-division/country:us/state:sc/sldl:98
sc,lower,99,1,sldl/sc-hd-099,ocd-division/country:us/state:sc/sldl:99
sc,lower,100,1,sldl/sc-hd-100,ocd-division/country:us/state:sc/sldl:100
sc,lower,101,1,sldl/sc-hd-101,ocd-division/country:us/state:sc/sldl:101
sc,lower,102,1,sldl/sc-hd-102,ocd-division/country:us/state:sc/sldl:102
sc,lower,103,1,sldl/sc-hd-103,ocd-division/country:us/state:sc/sldl:103
sc,lower,104,1,sldl/sc-hd-104,ocd-division/country:us/state:sc/sldl:104
sc,lower,105,1,sldl/sc-hd-105,ocd-division/country:us/state:sc/sldl:105
sc,lower,106,1,sldl/sc-hd-106,ocd-division/country:us/state:sc/sldl:106
sc,lower,107,1,sldl/sc-hd-107,ocd-division/country:us/state:sc/sldl:107
sc,lower,108,1,sldl/sc-hd-108,ocd-division/country:us/state:sc/sldl:108
sc,lower,109,1,sldl/sc-hd-109,ocd-division/country:us/state:sc/sldl:109
sc,lower,110,1,sldl/sc-hd-110,ocd-division/country:us/state:sc/sldl:110
sc,lower,111,1,sldl/sc-hd-111,ocd-division/country:us/state:sc/sldl:111
sc,lower,112,1,sldl/sc-hd-112,ocd-division/country:us/state:sc/sldl:112
sc,lower,113,1,sldl/sc-hd-113,ocd-division/country:us/state:sc/sldl:113
sc,lower,114,1,sldl/sc-hd-114,ocd-division/country:us/state:sc/sldl:114
sc,lower,115,1,sldl/sc-hd-115,ocd-division/country:us/state:sc/sldl:115
sc,lower,116,1,sldl/sc-hd-116,ocd-division/country:us/state:sc/sldl:116
sc,lower,117,1,sldl/sc-hd-117,ocd-division/country:us/state:sc/sldl:117
sc,lower,118,1,sldl/sc-hd-118,ocd-division/country:us/state:sc/sldl:118
sc,lower,119,1,sldl/sc-hd-119,ocd-division/country:us/state:sc/sldl:119
sc,lower,120,1,sldl/sc-hd-120,ocd-division/country:us/state:sc/sldl:120
sc,lower,121,1,sldl/sc-hd-121,ocd-division/country:us/state:sc/sldl:121
sc,lower,122,1,sldl/sc-hd-122,ocd-division/country:us/state:sc/sldl:122
sc,lower,123,1,sldl/sc-hd-123,ocd-division/country:us/state:sc/sldl:123
sc,lower,124,1,sldl/sc-hd-124,ocd-division/country:us/state:sc/sldl:124
sc,upper,10,1,sldu/sc-10,ocd-division/country:us/state:sc/sldu:10
sc,upper,11,1,sldu/sc-11,ocd-division/country:us/state:sc/sldu:11
sc,upper,1,1,sldu/sc-1,ocd-division/country:us/state:sc/sldu:1
sc,upper,12,1,sldu/sc-12,ocd-division/country:us/state:sc/sldu:12
sc,upper,13,1,sldu/sc-13,ocd-division/country:us/state:sc/sldu:13
sc,upper,14,1,sldu/sc-14,ocd-division/country:us/state:sc/sldu:14
sc,upper,15,1,sldu/sc-15,ocd-division/country:us/state:sc/sldu:15
sc,upper,16,1,sldu/sc-16,ocd-division/country:us/state:sc/sldu:16
sc,upper,17,1,sldu/sc-17,ocd-division/country:us/state:sc/sldu:17
sc,upper,18,1,sldu/sc-18,ocd-division/country:us/state:sc/sldu:18
sc,upper,19,1,sldu/sc-19,ocd-division/country:us/state:sc/sldu:19
sc,upper,20,1,sldu/sc-20,ocd-division/country:us/state:sc/sldu:20
sc,upper,21,1,sldu/sc-21,ocd-division/country:us/state:sc/sldu:21
sc,upper,2,1,sldu/sc-2,ocd-division/country:us/state:sc/sldu:2
sc,upper,22,1,sldu/sc-22,ocd-division/country:us/state:sc/sldu:22
sc,upper,23,1,sldu/sc-23,ocd-division/country:us/state:sc/sldu:23
sc,upper,24,1,sldu/sc-24,ocd-division/country:us/state:sc/sldu:24
sc,upper,25,1,sldu/sc-25,ocd-division/country:us/state:sc/sldu:25
