abbr,chamber,name,num_seats,boundary_id,division_id
sd,lower,10,2,sldl/sd-10,ocd-division/country:us/state:sd/sldl:10
sd,lower,11,2,sldl/sd-11,ocd-division/country:us/state:sd/sldl:11
sd,lower,1,2,sldl/sd-1,ocd-division/country:us/state:sd/sldl:1
sd,lower,12,2,sldl/sd-12,ocd-division/country:us/state:sd/sldl:12
sd,lower,13,2,sldl/sd-13,ocd-division/country:us/state:sd/sldl:13
sd,lower,14,2,sldl/sd-14,ocd-division/country:us/state:sd/sldl:14
sd,lower,15,2,sldl/sd-15,ocd-division/country:us/state:sd/sldl:15
sd,lower,16,2,sldl/sd-16,ocd-division/country:us/state:sd/sldl:16
sd,lower,17,2,sldl/sd-17,ocd-division/country:us/state:sd/sldl:17
sd,lower,18,2,sldl/sd-18,ocd-division/country:us/state:sd/sldl:18
sd,lower,19,2,sldl/sd-19,ocd-division/country:us/state:sd/sldl:19
sd,lower,20,2,sldl/sd-20,ocd-division/country:us/state:sd/sldl:20
sd,lower,21,2,sldl/sd-21,ocd-division/country:us/state:sd/sldl:21
sd,lower,2,2,sldl/sd-2,ocd-division/country:us/state:sd/sldl:2
sd,lower,22,2,sldl/sd-22,ocd-division/country:us/state:sd/sldl:22
sd,lower,23,2,sldl/sd-23,ocd-division/country:us/state:sd/sldl:23
sd,lower,24,2,sldl/sd-24,ocd-division/country:us/state:sd/sldl:24
sd,lower,25,2,sldl/sd-25,ocd-division/country:us/state:sd/sldl:25
sd,lower,26A,1,sldl/sd-26a,ocd-division/country:us/state:sd/sldl:26a
sd,lower,26B,1,sldl/sd-26b,ocd-division/country:us/state:sd/sldl:26b
sd,lower,27,2,sldl/sd-27,ocd-division/country:us/state:sd/sldl:27
sd,lower,28A,1,sldl/sd-28a,ocd-division/country:us/state:sd/sldl:28a
sd,lower,28B,1,sldl/sd-28b,ocd-division/country:us/state:sd/sldl:28b
sd,lower,29,2,sldl/sd-29,ocd-division/country:us/state:sd/sldl:29
sd,lower,30,2,sldl/sd-30,ocd-division/country:us/state:sd/sldl:30
sd,lower,31,2,sldl/sd-31,ocd-division/country:us/state:sd/sldl:31
sd,lower,3,2,sldl/sd-3,ocd-division/country:us/state:sd/sldl:3
sd,lower,32,2,sldl/sd-32,ocd-division/country:us/state:sd/sldl:32
sd,lower,33,2,sldl/sd-33,ocd-division/country:us/state:sd/sldl:33
sd,lower,34,2,sldl/sd-34,ocd-division/country:us/state:sd/sldl:34
sd,lower,35,2,sldl/sd-35,ocd-division/country:us/state:sd/sldl:35
sd,lower,4,2,sldl/sd-4,ocd-division/country:us/state:sd/sldl:4
sd,lower,5,2,sldl/sd-5,ocd-division/country:us/state:sd/sldl:5
sd,lower,6,2,sldl/sd-6,ocd-division/country:us/state:sd/sldl:6
sd,lower,7,2,sldl/sd-7,ocd-division/country:us/state:sd/sldl:7
sd,lower,8,2,sldl/sd-8,ocd-division/country:us/state:sd/sldl:8
sd,lower,9,2,sldl/sd-9,ocd-division/country:us/state:sd/sldl:9
sd,upper,10,1,sldu/sd-10,ocd-division/country:us/state:sd/sldu:10
sd,upper,11,1,sldu/sd-11,ocd-division/country:us/state:sd/sldu:11
sd,upper,1,1,sldu/sd-1,ocd-division/country:us/state:sd/sldu:1
sd,upper,12,1,sldu/sd-12,ocd-division/country:us/state:sd/sldu:12
sd,upper,13,1,sldu/sd-13,ocd-division/country:us/state:sd/sldu:13
sd,upper,14,1,sldu/sd-14,ocd-division/country:us/state:sd/sldu:14
sd,upper,15,1,sldu/sd-15,ocd-division/country:us/state:sd/sldu:15
sd,upper,16,1,sldu/sd-16,ocd-division/country:us/state:sd/sldu:16
sd,upper,17,1,sldu/sd-17,ocd-division/country:us/state:sd/sldu:17
sd,upper,18,1,sldu/sd-18,ocd-division/country:us/state:sd/sldu:18
sd,upper,19,1,sldu/sd-19,ocd-division/country:us/state:sd/sldu:19
sd,upper,20,1,sldu/sd-20,ocd-division/country:us/state:sd/sldu:20
sd,upper,21,1,sldu/sd-21,ocd-division/country:us/state:sd/sldu:21
sd,upper,2,1,sldu/sd-2,ocd-division/country:us/state:sd/sldu:2
sd,upper,22,1,sldu/sd-22,ocd-division/country:us/state:sd/sldu:22
sd,upper,23,1,sldu/sd-23,ocd-division/country:us/state:sd/sldu:23
sd,upper,24,1,sldu/sd-24,ocd-division/country:us/state:sd/sldu:24
sd,upper,25,1,sldu/sd-25,ocd-division/country:us/state:sd/sldu:25
sd,upper,26,1,sldu/sd-26,ocd-division/country:us/state:sd/sldu:26
sd,upper,27,1,sldu/sd-27,ocd-division/country:us/state:sd/sldu:27
sd,upper,28,1,sldu/sd-28,ocd-division/country:us/state:sd/sldu:28
sd,upper,29,1,sldu/sd-29,ocd-division/country:us/state:sd/sldu:29
sd,upper,30,1,sldu/sd-30,ocd-division/country:us/state:sd/sldu:30
sd,upper,31,1,sldu/sd-31,ocd-division/country:us/state:sd/sldu:31
sd,upper,3,1,sldu/sd-3,ocd-division/country:us/state:sd/sldu:3
sd,upper,32,1,sldu/sd-32,ocd-division/country:us/state:sd/sldu:32
sd,upper,33,1,sldu/sd-33,ocd-division/country:us/state:sd/sldu:33
