abbr,chamber,name,num_seats,boundary_id,division_id
tx,lower,100,1,sldl/tx-100,ocd-division/country:us/state:tx/sldl:100
tx,lower,101,1,sldl/tx-101,ocd-division/country:us/state:tx/sldl:101
tx,lower,10,1,sldl/tx-10,ocd-division/country:us/state:tx/sldl:10
tx,lower,102,1,sldl/tx-102,ocd-division/country:us/state:tx/sldl:102
tx,lower,103,1,sldl/tx-103,ocd-division/country:us/state:tx/sldl:103
tx,lower,104,1,sldl/tx-104,ocd-division/country:us/state:tx/sldl:104
tx,lower,105,1,sldl/tx-105,ocd-division/country:us/state:tx/sldl:105
tx,lower,106,1,sldl/tx-106,ocd-division/country:us/state:tx/sldl:106
tx,lower,107,1,sldl/tx-107,ocd-division/country:us/state:tx/sldl:107
tx,lower,108,1,sldl/tx-108,ocd-division/country:us/state:tx/sldl:108
tx,lower,109,1,sldl/tx-109,ocd-division/country:us/state:tx/sldl:109
tx,lower,110,1,sldl/tx-110,ocd-division/country:us/state:tx/sldl:110
tx,lower,111,1,sldl/tx-111,ocd-division/country:us/state:tx/sldl:111
tx,lower,11,1,sldl/tx-11,ocd-division/country:us/state:tx/sldl:11
tx,lower,112,1,sldl/tx-112,ocd-division/country:us/state:tx/sldl:112
tx,lower,113,1,sldl/tx-113,ocd-division/country:us/state:tx/sldl:113
tx,lower,114,1,sldl/tx-114,ocd-division/country:us/state:tx/sldl:114
tx,lower,115,1,sldl/tx-115,ocd-division/country:us/state:tx/sldl:115
tx,lower,116,1,sldl/tx-116,ocd-division/country:us/state:tx/sldl:116
tx,lower,117,1,sldl/tx-117,ocd-division/country:us/state:tx/sldl:117
tx,lower,118,1,sldl/tx-118,ocd-division/country:us/state:tx/sldl:118
tx,lower,119,1,sldl/tx-119,ocd-division/country:us/state:tx/sldl:119
tx,lower,1,1,sldl/tx-1,ocd-division/country:us/state:tx/sldl:1
tx,lower,120,1,sldl/tx-120,ocd-division/country:us/state:tx/sldl:120
tx,lower,121,1,sldl/tx-121,ocd-division/country:us/state:tx/sldl:121
tx,lower,12,1,sldl/tx-12,ocd-division/country:us/state:tx/sldl:12
tx,lower,122,1,sldl/tx-122,ocd-division/country:us/state:tx/sldl:122
tx,lower,123,1,sldl/tx-123,ocd-division/country:us/state:tx/sldl:123
tx,lower,124,1,sldl/tx-124,ocd-division/country:us/state:tx/sldl:124
tx,lower,125,1,sldl/tx-125,ocd-division/country:us/state:tx/sldl:125
tx,lower,126,1,sldl/tx-126,ocd-division/country:us/state:tx/sldl:126
tx,lower,127,1,sldl/tx-127,ocd-division/country:us/state:tx/sldl:127
tx,lower,128,1,sldl/tx-128,ocd-division/country:us/state:tx/sldl:128
tx,lower,129,1,sldl/tx-129,ocd-division/country:us/state:tx/sldl:129
tx,lower,130,1,sldl/tx-130,ocd-division/country:us/state:tx/sldl:130
tx,lower,131,1,sldl/tx-131,ocd-division/country:us/state:tx/sldl:131
tx,lower,13,1,sldl/tx-13,ocd-division/country:us/state:tx/sldl:13
tx,lower,132,1,sldl/tx-132,ocd-division/country:us/state:tx/sldl:132
tx,lower,133,1,sldl/tx-133,ocd-division/country:us/state:tx/sldl:133
tx,lower,134,1,sldl/tx-134,ocd-division/country:us/state:tx/sldl:134
tx,lower,135,1,sldl/tx-135,ocd-division/country:us/state:tx/sldl:135
tx,lower,136,1,sldl/tx-136,ocd-division/country:us/state:tx/sldl:136
tx,lower,137,1,sldl/tx-137,ocd-division/country:us/state:tx/sldl:137
tx,lower,138,1,sldl/tx-138,ocd-division/country:us/state:tx/sldl:138
tx,lower,139,1,sldl/tx-139,ocd-division/country:us/state:tx/sldl:139
tx,lower,140,1,sldl/tx-140,ocd-division/country:us/state:tx/sldl:140
tx,lower,141,1,sldl/tx-141,ocd-division/country:us/state:tx/sldl:141
tx,lower,14,1,sldl/tx-14,ocd-division/country:us/state:tx/sldl:14
tx,lower,142,1,sldl/tx-142,ocd-division/country:us/state:tx/sldl:142
tx,lower,143,1,sldl/tx-143,ocd-division/country:us/state:tx/sldl:143
tx,lower,144,1,sldl/tx-144,ocd-division/country:us/state:tx/sldl:144
tx,lower,145,1,sldl/tx-145,ocd-division/country:us/state:tx/sldl:145
tx,lower,146,1,sldl/tx-146,ocd-division/country:us/state:tx/sldl:146
tx,lower,147,1,sldl/tx-147,ocd-division/country:us/state:tx/sldl:147
tx,lower,148,1,sldl/tx-148,ocd-division/country:us/state:tx/sldl:148
tx,lower,149,1,sldl/tx-149,ocd-division/country:us/state:tx/sldl:149
tx,lower,150,1,sldl/tx-150,ocd-division/country:us/state:tx/sldl:150
tx,lower,15,1,sldl/tx-15,ocd-division/country:us/state:tx/sldl:15
tx,lower,16,1,sldl/tx-16,ocd-division/country:us/state:tx/sldl:16
tx,lower,17,1,sldl/tx-17,ocd-division/country:us/state:tx/sldl:17
tx,lower,18,1,sldl/tx-18,ocd-division/country:us/state:tx/sldl:18
tx,lower,19,1,sldl/tx-19,ocd-division/country:us/state:tx/sldl:19
tx,lower,20,1,sldl/tx-20,ocd-division/country:us/state:tx/sldl:20
tx,lower,21,1,sldl/tx-21,ocd-division/country:us/state:tx/sldl:21
tx,lower,2,1,sldl/tx-2,ocd-division/country:us/state:tx/sldl:2
tx,lower,22,1,sldl/tx-22,ocd-division/country:us/state:tx/sldl:22
tx,lower,23,1,sldl/tx-23,ocd-division/country:us/state:tx/sldl:23
tx,lower,24,1,sldl/tx-24,ocd-division/country:us/state:tx/sldl:24
tx,lower,25,1,sldl/tx-25,ocd-division/country:us/state:tx/sldl:25
tx,lower,26,1,sldl/tx-26,ocd-division/country:us/state:tx/sldl:26
tx,lower,27,1,sldl/tx-27,ocd-division/country:us/state:tx/sldl:27
tx,lower,28,1,sldl/tx-28,ocd-division/country:us/state:tx/sldl:28
tx,lower,29,1,sldl/tx-29,ocd-division/country:us/state:tx/sldl:29
tx,lower,30,1,sldl/tx-30,ocd-division/country:us/state:tx/sldl:30
tx,lower,31,1,sldl/tx-31,ocd-division/country:us/state:tx/sldl:31
tx,lower,3,1,sldl/tx-3,ocd-division/country:us/state:tx/sldl:3
tx,lower,32,1,sldl/tx-32,ocd-division/country:us/state:tx/sldl:32
tx,lower,33,1,sldl/tx-33,ocd-division/country:us/state:tx/sldl:33
tx,lower,34,1,sldl/tx-34,ocd-division/country:us/state:tx/sldl:34
tx,lower,35,1,sldl/tx-35,ocd-division/country:us/state:tx/sldl:35
tx,lower,36,1,sldl/tx-36,ocd-division/country:us/state:tx/sldl:36
tx,lower,37,1,sldl/tx-37,ocd-division/country:us/state:tx/sldl:37
tx,lower,38,1,sldl/tx-38,ocd-division/country:us/state:tx/sldl:38
tx,lower,39,1,sldl/tx-39,ocd-division/country:us/state:tx/sldl:39
tx,lower,40,1,sldl/tx-40,ocd-division/country:us/state:tx/sldl:40
tx,lower,41,1,sldl/tx-41,ocd-division/country:us/state:tx/sldl:41
tx,lower,4,1,sldl/tx-4,ocd-division/country:us/state:tx/sldl:4
tx,lower,42,1,sldl/tx-42,ocd-division/country:us/state:tx/sldl:42
tx,lower,43,1,sldl/tx-43,ocd-division/country:us/state:tx/sldl:43
tx,lower,44,1,sldl/tx-44,ocd-division/country:us/state:tx/sldl:44
tx,lower,45,1,sldl/tx-45,ocd-division/country:us/state:tx/sldl:45
