abbr,chamber,name,num_seats,boundary_id,division_id
ut,lower,10,1,sldl/ut-10,ocd-division/country:us/state:ut/sldl:10
ut,lower,11,1,sldl/ut-11,ocd-division/country:us/state:ut/sldl:11
ut,lower,1,1,sldl/ut-1,ocd-division/country:us/state:ut/sldl:1
ut,lower,12,1,sldl/ut-12,ocd-division/country:us/state:ut/sldl:12
ut,lower,13,1,sldl/ut-13,ocd-division/country:us/state:ut/sldl:13
ut,lower,14,1,sldl/ut-14,ocd-division/country:us/state:ut/sldl:14
ut,lower,15,1,sldl/ut-15,ocd-division/country:us/state:ut/sldl:15
ut,lower,16,1,sldl/ut-16,ocd-division/country:us/state:ut/sldl:16
ut,lower,17,1,sldl/ut-17,ocd-division/country:us/state:ut/sldl:17
ut,lower,18,1,sldl/ut-18,ocd-division/country:us/state:ut/sldl:18
ut,lower,19,1,sldl/ut-19,ocd-division/country:us/state:ut/sldl:19
ut,lower,20,1,sldl/ut-20,ocd-division/country:us/state:ut/sldl:20
ut,lower,21,1,sldl/ut-21,ocd-division/country:us/state:ut/sldl:21
ut,lower,2,1,sldl/ut-2,ocd-division/country:us/state:ut/sldl:2
ut,lower,22,1,sldl/ut-22,ocd-division/country:us/state:ut/sldl:22
ut,lower,23,1,sldl/ut-23,ocd-division/country:us/state:ut/sldl:23
ut,lower,24,1,sldl/ut-24,ocd-division/country:us/state:ut/sldl:24
ut,lower,25,1,sldl/ut-25,ocd-division/country:us/state:ut/sldl:25
ut,lower,26,1,sldl/ut-26,ocd-division/country:us/state:ut/sldl:26
ut,lower,27,1,sldl/ut-27,ocd-division/country:us/state:ut/sldl:27
ut,lower,28,1,sldl/ut-28,ocd-division/country:us/state:ut/sldl:28
ut,lower,29,1,sldl/ut-29,ocd-division/country:us/state:ut/sldl:29
ut,lower,30,1,sldl/ut-30,ocd-division/country:us/state:ut/sldl:30
ut,lower,31,1,sldl/ut-31,ocd-division/country:us/state:ut/sldl:31
ut,lower,3,1,sldl/ut-3,ocd-division/country:us/state:ut/sldl:3
ut,lower,32,1,sldl/ut-32,ocd-division/country:us/state:ut/sldl:32
ut,lower,33,1,sldl/ut-33,ocd-division/country:us/state:ut/sldl:33
ut,lower,34,1,sldl/ut-34,ocd-division/country:us/state:ut/sldl:34
ut,lower,35,1,sldl/ut-35,ocd-division/country:us/state:ut/sldl:35
ut,lower,36,1,sldl/ut-36,ocd-division/country:us/state:ut/sldl:36
ut,lower,37,1,sldl/ut-37,ocd-division/country:us/state:ut/sldl:37
ut,lower,38,1,sldl/ut-38,ocd-division/country:us/state:ut/sldl:38
ut,lower,39,1,sldl/ut-39,ocd-division/country:us/state:ut/sldl:39
ut,lower,40,1,sldl/ut-40,ocd-division/country:us/state:ut/sldl:40
ut,lower,41,1,sldl/ut-41,ocd-division/country:us/state:ut/sldl:41
ut,lower,4,1,sldl/ut-4,ocd-division/country:us/state:ut/sldl:4
ut,lower,42,1,sldl/ut-42,ocd-division/country:us/state:ut/sldl:42
ut,lower,43,1,sldl/ut-43,ocd-division/country:us/state:ut/sldl:43
ut,lower,44,1,sldl/ut-44,ocd-division/country:us/state:ut/sldl:44
ut,lower,45,1,sldl/ut-45,ocd-division/country:us/state:ut/sldl:45
ut,lower,46,1,sldl/ut-46,ocd-division/country:us/state:ut/sldl:46
ut,lower,47,1,sldl/ut-47,ocd-division/country:us/state:ut/sldl:47
ut,lower,48,1,sldl/ut-48,ocd-division/country:us/state:ut/sldl:48
ut,lower,49,1,sldl/ut-49,ocd-division/country:us/state:ut/sldl:49
ut,lower,50,1,sldl/ut-50,ocd-division/country:us/state:ut/sldl:50
ut,lower,51,1,sldl/ut-51,ocd-division/country:us/state:ut/sldl:51
