abbr,chamber,name,num_seats,boundary_id
va,lower,100,1,sldl/va-100
va,lower,10,1,sldl/va-10
va,lower,11,1,sldl/va-11
va,lower,1,1,sldl/va-1
va,lower,12,1,sldl/va-12
va,lower,13,1,sldl/va-13
va,lower,14,1,sldl/va-14
va,lower,15,1,sldl/va-15
va,lower,16,1,sldl/va-16
va,lower,17,1,sldl/va-17
va,lower,18,1,sldl/va-18
va,lower,19,1,sldl/va-19
va,lower,20,1,sldl/va-20
va,lower,21,1,sldl/va-21
va,lower,2,1,sldl/va-2
va,lower,22,1,sldl/va-22
va,lower,23,1,sldl/va-23
va,lower,24,1,sldl/va-24
va,lower,25,1,sldl/va-25
va,lower,26,1,sldl/va-26
va,lower,27,1,sldl/va-27
va,lower,28,1,sldl/va-28
va,lower,29,1,sldl/va-29
va,lower,30,1,sldl/va-30
va,lower,31,1,sldl/va-31
va,lower,3,1,sldl/va-3
va,lower,32,1,sldl/va-32
va,lower,33,1,sldl/va-33
va,lower,34,1,sldl/va-34
va,lower,35,1,sldl/va-35
va,lower,36,1,sldl/va-36
va,lower,37,1,sldl/va-37
va,lower,38,1,sldl/va-38
va,lower,39,1,sldl/va-39
va,lower,40,1,sldl/va-40
va,lower,41,1,sldl/va-41
va,lower,4,1,sldl/va-4
va,lower,42,1,sldl/va-42
va,lower,43,1,sldl/va-43
va,lower,44,1,sldl/va-44
va,lower,45,1,sldl/va-45
va,lower,46,1,sldl/va-46
va,lower,47,1,sldl/va-47
va,lower,48,1,sldl/va-48
va,lower,49,1,sldl/va-49
va,lower,50,1,sldl/va-50
va,lower,51,1,sldl/va-51
va,lower,5,1,sldl/va-5
va,lower,52,1,sldl/va-52
va,lower,53,1,sldl/va-53
va,lower,54,1,sldl/va-54
va,lower,55,1,sldl/va-55
va,lower,56,1,sldl/va-56
va,lower,57,1,sldl/va-57
va,lower,58,1,sldl/va-58
va,lower,59,1,sldl/va-59
va,lower,60,1,sldl/va-60
va,lower,61,1,sldl/va-61
va,lower,6,1,sldl/va-6
va,lower,62,1,sldl/va-62
va,lower,63,1,sldl/va-63
va,lower,64,1,sldl/va-64
va,lower,65,1,sldl/va-65
va,lower,66,1,sldl/va-66
va,lower,67,1,sldl/va-67
va,lower,68,1,sldl/va-68
va,lower,69,1,sldl/va-69
va,lower,70,1,sldl/va-70
va,lower,71,1,sldl/va-71
va,lower,7,1,sldl/va-7
va,lower,72,1,sldl/va-72
va,lower,73,1,sldl/va-73
va,lower,74,1,sldl/va-74
va,lower,75,1,sldl/va-75
va,lower,76,1,sldl/va-76
va,lower,77,1,sldl/va-77
va,lower,78,1,sldl/va-78
va,lower,79,1,sldl/va-79
va,lower,80,1,sldl/va-80
va,lower,81,1,sldl/va-81
va,lower,8,1,sldl/va-8
va,lower,82,1,sldl/va-82
va,lower,83,1,sldl/va-83
va,lower,84,1,sldl/va-84
va,lower,85,1,sldl/va-85
va,lower,86,1,sldl/va-86
va,lower,87,1,sldl/va-87
va,lower,88,1,sldl/va-88
va,lower,89,1,sldl/va-89
va,lower,90,1,sldl/va-90
va,lower,91,1,sldl/va-91
va,lower,9,1,sldl/va-9
va,lower,92,1,sldl/va-92
va,lower,93,1,sldl/va-93
va,lower,94,1,sldl/va-94
va,lower,95,1,sldl/va-95
va,lower,96,1,sldl/va-96
va,lower,97,1,sldl/va-97
va,lower,98,1,sldl/va-98
va,lower,99,1,sldl/va-99
va,upper,10,1,sldu/va-10
va,upper,11,1,sldu/va-11
va,upper,1,1,sldu/va-1
va,upper,12,1,sldu/va-12
va,upper,13,1,sldu/va-13
va,upper,14,1,sldu/va-14
va,upper,15,1,sldu/va-15
va,upper,16,1,sldu/va-16
va,upper,17,1,sldu/va-17
va,upper,18,1,sldu/va-18
va,upper,19,1,sldu/va-19
va,upper,20,1,sldu/va-20
va,upper,21,1,sldu/va-21
va,upper,2,1,sldu/va-2
va,upper,22,1,sldu/va-22
va,upper,23,1,sldu/va-23
va,upper,24,1,sldu/va-24
va,upper,25,1,sldu/va-25
va,upper,26,1,sldu/va-26
va,upper,27,1,sldu/va-27
va,upper,28,1,sldu/va-28
va,upper,29,1,sldu/va-29
va,upper,30,1,sldu/va-30
va,upper,31,1,sldu/va-31
va,upper,3,1,sldu/va-3
va,upper,32,1,sldu/va-32
va,upper,33,1,sldu/va-33
va,upper,34,1,sldu/va-34
va,upper,35,1,sldu/va-35
va,upper,36,1,sldu/va-36
va,upper,37,1,sldu/va-37
va,upper,38,1,sldu/va-38
va,upper,39,1,sldu/va-39
va,upper,40,1,sldu/va-40
va,upper,4,1,sldu/va-4
va,upper,5,1,sldu/va-5
va,upper,6,1,sldu/va-6
va,upper,7,1,sldu/va-7
va,upper,8,1,sldu/va-8
va,upper,9,1,sldu/va-9
