abbr,chamber,name,num_seats,boundary_id,division_id
wi,lower,10,1,sldl/wi-10,ocd-division/country:us/state:wi/sldl:10
wi,lower,11,1,sldl/wi-11,ocd-division/country:us/state:wi/sldl:11
wi,lower,1,1,sldl/wi-1,ocd-division/country:us/state:wi/sldl:1
wi,lower,12,1,sldl/wi-12,ocd-division/country:us/state:wi/sldl:12
wi,lower,13,1,sldl/wi-13,ocd-division/country:us/state:wi/sldl:13
wi,lower,14,1,sldl/wi-14,ocd-division/country:us/state:wi/sldl:14
wi,lower,15,1,sldl/wi-15,ocd-division/country:us/state:wi/sldl:15
wi,lower,16,1,sldl/wi-16,ocd-division/country:us/state:wi/sldl:16
wi,lower,17,1,sldl/wi-17,ocd-division/country:us/state:wi/sldl:17
wi,lower,18,1,sldl/wi-18,ocd-division/country:us/state:wi/sldl:18
wi,lower,19,1,sldl/wi-19,ocd-division/country:us/state:wi/sldl:19
wi,lower,20,1,sldl/wi-20,ocd-division/country:us/state:wi/sldl:20
wi,lower,21,1,sldl/wi-21,ocd-division/country:us/state:wi/sldl:21
wi,lower,2,1,sldl/wi-2,ocd-division/country:us/state:wi/sldl:2
wi,lower,22,1,sldl/wi-22,ocd-division/country:us/state:wi/sldl:22
wi,lower,23,1,sldl/wi-23,ocd-division/country:us/state:wi/sldl:23
wi,lower,24,1,sldl/wi-24,ocd-division/country:us/state:wi/sldl:24
wi,lower,25,1,sldl/wi-25,ocd-division/country:us/state:wi/sldl:25
wi,lower,26,1,sldl/wi-26,ocd-division/country:us/state:wi/sldl:26
wi,lower,27,1,sldl/wi-27,ocd-division/country:us/state:wi/sldl:27
wi,lower,28,1,sldl/wi-28,ocd-division/country:us/state:wi/sldl:28
wi,lower,29,1,sldl/wi-29,ocd-division/country:us/state:wi/sldl:29
wi,lower,30,1,sldl/wi-30,ocd-division/country:us/state:wi/sldl:30
wi,lower,31,1,sldl/wi-31,ocd-division/country:us/state:wi/sldl:31
wi,lower,3,1,sldl/wi-3,ocd-division/country:us/state:wi/sldl:3
wi,lower,32,1,sldl/wi-32,ocd-division/country:us/state:wi/sldl:32
wi,lower,33,1,sldl/wi-33,ocd-division/country:us/state:wi/sldl:33
wi,lower,34,1,sldl/wi-34,ocd-division/country:us/state:wi/sldl:34
wi,lower,35,1,sldl/wi-35,ocd-division/country:us/state:wi/sldl:35
wi,lower,36,1,sldl/wi-36,ocd-division/country:us/state:wi/sldl:36
wi,lower,37,1,sldl/wi-37,ocd-division/country:us/state:wi/sldl:37
wi,lower,38,1,sldl/wi-38,ocd-division/country:us/state:wi/sldl:38
wi,lower,39,1,sldl/wi-39,ocd-division/country:us/state:wi/sldl:39
wi,lower,40,1,sldl/wi-40,ocd-division/country:us/state:wi/sldl:40
wi,lower,41,1,sldl/wi-41,ocd-division/country:us/state:wi/sldl:41
wi,lower,4,1,sldl/wi-4,ocd-division/country:us/state:wi/sldl:4
wi,lower,42,1,sldl/wi-42,ocd-division/country:us/state:wi/sldl:42
wi,lower,43,1,sldl/wi-43,ocd-division/country:us/state:wi/sldl:43
wi,lower,44,1,sldl/wi-44,ocd-division/country:us/state:wi/sldl:44
wi,lower,45,1,sldl/wi-45,ocd-division/country:us/state:wi/sldl:45
wi,lower,46,1,sldl/wi-46,ocd-division/country:us/state:wi/sldl:46
wi,lower,47,1,sldl/wi-47,ocd-division/country:us/state:wi/sldl:47
wi,lower,48,1,sldl/wi-48,ocd-division/country:us/state:wi/sldl:48
wi,lower,49,1,sldl/wi-49,ocd-division/country:us/state:wi/sldl:49
wi,lower,50,1,sldl/wi-50,ocd-division/country:us/state:wi/sldl:50
wi,lower,51,1,sldl/wi-51,ocd-division/country:us/state:wi/sldl:51
wi,lower,5,1,sldl/wi-5,ocd-division/country:us/state:wi/sldl:5
wi,lower,52,1,sldl/wi-52,ocd-division/country:us/state:wi/sldl:52
wi,lower,53,1,sldl/wi-53,ocd-division/country:us/state:wi/sldl:53
wi,lower,54,1,sldl/wi-54,ocd-division/country:us/state:wi/sldl:54
wi,lower,55,1,sldl/wi-55,ocd-division/country:us/state:wi/sldl:55
wi,lower,56,1,sldl/wi-56,ocd-division/country:us/state:wi/sldl:56
wi,lower,57,1,sldl/wi-57,ocd-division/country:us/state:wi/sldl:57
wi,lower,58,1,sldl/wi-58,ocd-division/country:us/state:wi/sldl:58
wi,lower,59,1,sldl/wi-59,ocd-division/country:us/state:wi/sldl:59
wi,lower,60,1,sldl/wi-60,ocd-division/country:us/state:wi/sldl:60
wi,lower,61,1,sldl/wi-61,ocd-division/country:us/state:wi/sldl:61
wi,lower,6,1,sldl/wi-6,ocd-division/country:us/state:wi/sldl:6
wi,lower,62,1,sldl/wi-62,ocd-division/country:us/state:wi/sldl:62
wi,lower,63,1,sldl/wi-63,ocd-division/country:us/state:wi/sldl:63
wi,lower,64,1,sldl/wi-64,ocd-division/country:us/state:wi/sldl:64
wi,lower,65,1,sldl/wi-65,ocd-division/country:us/state:wi/sldl:65
wi,lower,66,1,sldl/wi-66,ocd-division/country:us/state:wi/sldl:66
wi,lower,67,1,sldl/wi-67,ocd-division/country:us/state:wi/sldl:67
