"abbr","chamber","name","num_seats","boundary_id"
"wv","lower",1,2,"sldl/wv-1"
"wv","lower",2,1,"sldl/wv-2"
"wv","lower",3,2,"sldl/wv-3"
"wv","lower",4,2,"sldl/wv-4"
"wv","lower",5,1,"sldl/wv-5"
"wv","lower",6,1,"sldl/wv-6"
"wv","lower",7,1,"sldl/wv-7"
"wv","lower",8,1,"sldl/wv-8"
"wv","lower",9,1,"sldl/wv-9"
"wv","lower",10,3,"sldl/wv-10"
"wv","lower",11,1,"sldl/wv-11"
"wv","lower",12,1,"sldl/wv-12"
"wv","lower",13,2,"sldl/wv-13"
"wv","lower",14,1,"sldl/wv-14"
"wv","lower",15,1,"sldl/wv-15"
"wv","lower",16,3,"sldl/wv-16"
"wv","lower",17,2,"sldl/wv-17"
"wv","lower",18,1,"sldl/wv-18"
"wv","lower",19,2,"sldl/wv-19"
"wv","lower",20,1,"sldl/wv-20"
"wv","lower",21,1,"sldl/wv-21"
"wv","lower",22,2,"sldl/wv-22"
"wv","lower",23,1,"sldl/wv-23"
"wv","lower",24,2,"sldl/wv-24"
"wv","lower",25,1,"sldl/wv-25"
"wv","lower",26,1,"sldl/wv-26"
"wv","lower",27,3,"sldl/wv-27"
"wv","lower",28,2,"sldl/wv-28"
"wv","lower",29,1,"sldl/wv-29"
"wv","lower",30,1,"sldl/wv-30"
"wv","lower",31,1,"sldl/wv-31"
"wv","lower",32,3,"sldl/wv-32"
"wv","lower",33,1,"sldl/wv-33"
"wv","lower",34,1,"sldl/wv-34"
"wv","lower",35,4,"sldl/wv-35"
"wv","lower",36,3,"sldl/wv-36"
"wv","lower",37,1,"sldl/wv-37"
"wv","lower",38,1,"sldl/wv-38"
"wv","lower",39,1,"sldl/wv-39"
"wv","lower",40,1,"sldl/wv-40"
"wv","lower",41,1,"sldl/wv-41"
"wv","lower",42,2,"sldl/wv-42"
"wv","lower",43,2,"sldl/wv-43"
"wv","lower",44,1,"sldl/wv-44"
"wv","lower",45,1,"sldl/wv-45"
"wv","lower",46,1,"sldl/wv-46"
"wv","lower",47,1,"sldl/wv-47"
"wv","lower",48,4,"sldl/wv-48"
"wv","lower",49,1,"sldl/wv-49"
"wv","lower",50,3,"sldl/wv-50"
"wv","lower",51,5,"sldl/wv-51"
"wv","lower",52,1,"sldl/wv-52"
"wv","lower",53,1,"sldl/wv-53"
"wv","lower",54,1,"sldl/wv-54"
"wv","lower",55,1,"sldl/wv-55"
"wv","lower",56,1,"sldl/wv-56"
"wv","lower",57,1,"sldl/wv-57"
"wv","lower",58,1,"sldl/wv-58"
"wv","lower",59,1,"sldl/wv-59"
"wv","lower",60,1,"sldl/wv-60"
"wv","lower",61,1,"sldl/wv-61"
"wv","lower",62,1,"sldl/wv-62"
"wv","lower",63,1,"sldl/wv-63"
"wv","lower",64,1,"sldl/wv-64"
"wv","lower",65,1,"sldl/wv-65"
"wv","lower",66,1,"sldl/wv-66"
"wv","lower",67,1,"sldl/wv-67"
"wv","upper",1,2,"sldu/wv-1"
"wv","upper",2,2,"sldu/wv-2"
"wv","upper",3,2,"sldu/wv-3"
"wv","upper",4,2,"sldu/wv-4"
"wv","upper",5,2,"sldu/wv-5"
"wv","upper",6,2,"sldu/wv-6"
"wv","upper",7,2,"sldu/wv-7"
"wv","upper",8,2,"sldu/wv-8"
"wv","upper",9,2,"sldu/wv-9"
"wv","upper",10,2,"sldu/wv-10"
"wv","upper",11,2,"sldu/wv-11"
"wv","upper",12,2,"sldu/wv-12"
"wv","upper",13,2,"sldu/wv-13"
"wv","upper",14,2,"sldu/wv-14"
"wv","upper",15,2,"sldu/wv-15"
"wv","upper",16,2,"sldu/wv-16"
"wv","upper",17,2,"sldu/wv-17"
