,"joint","Robert Huff","CAL000022"
20092010,"lower","V.?Manuel Perez","CAL000098"
,"lower","Isadore Hall III","CAL000112"
20092010,"upper","Strickland","CAL000015"
20092010,"lower","John?A.?P?rez","CAL000089"
,"upper","Anthony Cannella (Vice Chair)","CAL000133"
20092010,"lower","Charles?Calderon","CAL000046"
20092010,"lower","Bonnie? Lowenthal","CAL000080"
,"upper","Ted Gaines (Vice Chair)","CAL000102"
20092010,"lower","Price","CAL000040"
,"lower","Donald P. Wagner","CAL000150"
,"lower","Brian W. Jones","CAL000145"
,"lower","Shannon L. Grove","CAL000140"
20092010,"lower","Bill?Berryhill","CAL000106"
,"upper","Tony Strickland (Vice Chair)","CAL000015"
20092010,"lower","John A. Perez","CAL000089"
20112012,"lower","John A. P?rez","CAL000089"
,"lower","Holly J. Mitchell","CAL000161"
20092010,"lower","V.?Manuel?Perez","CAL000098"
,"joint","Elaine Kontominas Alquist","CAL000039"
,"lower","Luis A. Alejo","CAL000159"
,"joint","Anthony J. Portantino","CAL000162"
20112012,"upper","Calderon","CAL000036"
,"upper","Joel Anderson (Vice Chair)","CAL000132"
,"upper","Bill Emmerson (Vice Chair)","CAL000041"
20092010,"lower","V.?Manuel P?rez","CAL000098"
,"upper","Jean Fuller (Vice Chair)","CAL000129"
,"lower","Jared Huffman","CAL000043"
,"upper","Alan Lowenthal (Vice Chair)","CAL000020"
,"upper","Sam Blakeslee (Vice Chair)","CAL000125"
,"joint","Ted Gaines","CAL000102"
20092010,"lower","V.?Manuel?P?rez","CAL000098"
,"upper","Robert Huff","CAL000022"
,"joint","Curren D Price Jr.","CAL000040"
20092010,"lower","John?A.?Perez","CAL000089"
,"lower","Richard S. Gordon","CAL000137"
20092010,"lower","John?A. Perez","CAL000089"
20092010,"upper","Calderon","CAL000036"
,"lower","Norma J. Torres","CAL000113"
,"upper","Doug La Malfa (Vice Chair)","CAL000127"
,"lower","Henry T. Perea","CAL000139"
20092010,"upper","Emmerson","CAL000041"
,"upper","Michael Rubio (Vice Chair)","CAL000134"
,"joint","Richard S. Gordon","CAL000137"
20092010,"lower","Bonnie?Lowenthal","CAL000080"
,"lower","David G. Valadao","CAL000158"
20092010,"upper","Lowenthal","CAL000080"
,"upper","Joe Simitian","CAL000031"
20092010,"lower","De?Leon","CAL000057"
,"joint","Norma J. Torres","CAL000113"
20092010,"lower","Skinner Torlakson","CAL000048"
20092010,"upper","Blakeslee","CAL000125"
20092010,"lower","V. Manuel?Perez","CAL000098"
,"upper","Robert Huff (Vice Chair)","CAL000022"
,"joint","Jared Huffman","CAL000043"
,"upper","Tom Harman (Vice Chair)","CAL000026"
,"joint","John A. P?rez","CAL000089"
20092010,"lower","Emmerson","CAL000041"
,"lower","Sandr? R. Swanson","CAL000143"
20092010,"lower","De?La?Torre","CAL000056"
20092010,"upper","Negrete?McLeod","CAL000024"
,"joint","Luis A. Alejo","CAL000159"
20092010,"lower","Tom?Berryhill","CAL000128"
,"lower","Jim Beall Jr.","CAL000051"
,"upper","Mimi Walters (Vice Chair)","CAL000025"
20092010,"lower","Saldana","CAL000115"
,"joint","Isadore Hall III","CAL000112"
,"joint","Holly J. Mitchell","CAL000161"
,"lower","Anthony J. Portantino","CAL000162"
,"lower","Allan R. Mansoor","CAL000148"
20092010,"lower","De?Le?n","CAL000057"
20092010,"lower","Audra? Strickland","CAL000067"
20092010,"lower","Audra?Strickland","CAL000067"
