"2011-2012","lower","ARESIMOWICZ (DEP)","CTL000066"
"2011-2012","lower","MILLER, P.","CTL000072"
"2011-2012","lower","MILLER, P.B.","CTL000181"
"2011-2012","lower","RITTER, M.","CTL000037"
"2011-2012","lower","Harp, Toni Nathaniel","CTL000010"
"2011-2012","upper","Ackert, Tim","CTL000044"
"2011-2012","lower","O Brien, Tim","CTL000060"
"2011-2012","lower","LEONE","CTL000027"
"2011-2012","lower","D Amelio, Anthony J.","CTL000107"
"2011-2012","lower","ORANGE (DEP)","CTL000084"
"2011-2012","lower","DONOVAN (SPKR)","CTL000120"
"2011-2012","lower","Nardello, Vickie Orsini","CTL000125"
"2011-2012","lower","O'BRIEN, T.","CTL000060"
"2011-2012","upper","D Amelio, Anthony J.","CTL000107"
"2011-2012","lower","DAVIS, P.","CTL000153"
"2011-2012","upper","JOSEPH J. CRISCO, JR.","CTL000017"
"2011-2012","lower","Ackert, Tim","CTL000044"
"2011-2012","upper","O Brien, Tim","CTL000060"
"2011-2012","lower","BACKER, T.","CTL000157"
"2011-2012","upper","THERESA B. GERRATANA","CTL000006"
"2011-2012","upper","Hennessy, John ""Jack"" F.","CTL000163"
"2011-2012","lower","ACKERT","CTL000044"
"2011-2012","lower","DAVIS, C.","CTL000093"
"2011-2012","lower","KIRKLEY-BEY (DEP)","CTL000041"
"2011-2012","lower","BECKER, B.","CTL000055"
"2011-2012","lower","Boucher, Antonietta ""Toni""","CTL000026"
"2011-2012","lower","O Neill, Arthur J.","CTL000105"
"2011-2012","lower","Hennessy, John ""Jack"" F.","CTL000163"
"2011-2012","lower","ALTOBELLO (DEP)","CTL000118"
"2011-2012","upper","DONALD E. WILLIAMS, JR.","CTL000029"
"2011-2012","upper","Boucher, Antonietta ""Toni""","CTL000026"
"2011-2012","upper","O Brien, Elaine C.","CTL000097"
"2011-2012","upper","Harp, Toni Nathaniel","CTL000010"
"2011-2012","lower","RYAN (DEP)","CTL000175"
"2011-2012","upper","TONI BOUCHER","CTL000026"
"2011-2012","lower","O Brien, Elaine C.","CTL000097"
"2011-2012","lower","GODFREY (DEP)","CTL000146"
