,"lower","Clifford G.  “Biff” Lee","DEL000041"
,"lower","Deborah  Hudson","DEL000033"
,"lower","E. Bradford  Bennett","DEL000024"
,"lower","James  Johnson","DEL000035"
,"lower","John A.  Kowalko","DEL000039"
,"lower","Michael  Ramone","DEL000050"
,"lower","Rebecca  Walker","DEL000058"
,"lower","Ruth  Briggs King","DEL000028"
,"lower","S. Quinton  Johnson","DEL000036"
,"lower","Teresa  Schooley","DEL000051"
,"lower","Valerie  Longhurst","DEL000042"
,"upper","Anthony  J. DeLuca","DEL000008"
,"upper","Karen  E. Peterson","DEL000017"
"2011-2012","lower","Briggs","DEL000028"
"2011-2012","lower","Briggs King","DEL000028"
"2011-2012","lower","D.E. Williams","DEL000059"
"2011-2012","lower","D.P. Williams","DEL000060"
"2011-2012","lower","George","DEL000056"
"2011-2012","lower","Q. Johnson","DEL000036"
"2011-2012","upper","Briggs","DEL000028"
"2011-2012","upper","D.E. Williams","DEL000059"
"2011-2012","upper","D.P. Williams","DEL000060"
"2011-2012","upper","George","DEL000056"
"2011-2012","upper","Q. Johnson","DEL000036"
