"2011-2012","lower"," Smith(24)","IDL000096"
,"joint","George Eskridge","IDL000059"
,"joint","Dennis Lake","IDL000072"
"2011-2012","lower"," Smith(30)","IDL000095"
"2011-2012","lower","Chadderdon(Chadderdon)","IDL000051"
,"joint","Dean Mortimer","IDL000023"
,"joint","John Rusch","IDL000089"
"2011-2012","lower"," Gibbs(Wheeler)","IDL000060"
,"joint","Denton Darringto","IDL000009"
,"joint","Shirley Ringo","IDL000087"
"2011-2012","lower"," Patrick(Patrick)","IDL000083"
"2011-2012","lower"," McMillan(Harwood)","IDL000077"
,"joint","Joyce Broadsword","IDL000006"
,"joint","Dan Schmidt","IDL000026"
"2011-2012","lower"," Buckner-Webb(McCoy)","IDL000049"
"2011-2012","lower","Gibbs(Wheeler)","IDL000060"
"2011-2012","lower"," Vander?Woude","IDL000103"
"2011-2012","lower","Buckner-Webb(McCoy)","IDL000049"
"2011-2012","lower","Wood(35)","IDL000106"
"2011-2012","lower","Smith(24)","IDL000096"
,"joint","Maxine Bell","IDL000043"
"2011-2012","upper"," McWilliam(Malepeai)","IDL000019"
"2011-2012","lower"," Burgoyne(Herzfeld)","IDL000050"
"2011-2012","lower"," Bedke(Bedke)","IDL000042"
,"joint","Dean Cameron","IDL000007"
"2011-2012","lower"," Chadderdon(Chadderdon)","IDL000051"
"2011-2012","lower"," Wood(35)","IDL000106"
"2011-2012","lower"," Takasugi(Batt)","IDL000098"
"2011-2012","lower"," Wood(27)","IDL000105"
,"joint","Janice McGeachin","IDL000076"
