"97th","lower","Mitchell,Bill","ILL000135"
"97th","lower","Annazette Collins","ILL000006"
"97th","lower","Gordon,Jehan","ILL000106"
"97th","lower","Harris,David","ILL000108"
"97th","lower","Burke,Daniel","ILL000072"
"97th","lower","Harris,Greg","ILL000109"
"97th","lower","Davis,William","ILL000089"
"97th","lower","Davis,Monique","ILL000088"
"97th","lower","Burke,Kelly","ILL000073"
"97th","lower","DuBuclet","ILL000091"
"97th","lower","Mitchell,Jerry","ILL000136"
"97th","lower","Chapa LaVia","ILL000077"
