"2011-2012","upper","Young, Jr.","INL000049"
"2011-2012","lower","Lawson","INL000103"
"2011-2012","upper","Lawson","INL000024"
"2011-2012","upper","Smith, Jr.","INL000038"
"2011-2012","upper","Young","INL000048"
"2011-2012","lower","Knollman            S","INL000100"
"2011-2012","lower","Foley               L","INL000083"
"2011-2012","lower","Dobis               P","INL000077"
"2011-2012","lower","Moses               S","INL000115"
"2011-2012","lower","Leonard             S","INL000106"
"2011-2012","lower","VanDenburgh         M","INL000145"
"2011-2012","lower","Noe                 V","INL000118"
"2011-2012","lower","Dembowski           K","INL000075"
"2011-2012","lower","Pflum               V","INL000120"
"2011-2012","lower","anDenburgh","INL000145"
"2011-2012","lower","awson, L","INL000103"
"2011-2012","lower","Dvorak              L","INL000079"
"2011-2012","lower","Goodin              M","INL000089"
"2011-2012","lower","hoads","INL000126"
"2011-2012","lower","Eberhart            M","INL000080"
"2011-2012","lower","twein","INL000091"
"2011-2012","lower","Crouch             Pe","INL000069"
"2011-2012","lower","Foley               M","INL000083"
"2011-2012","lower","Dvorak             Pr","INL000079"
,"lower","VanNatter. V. Smith","INL000146"
,"lower","Saunders. Harris","INL000129"
"2011-2012","lower","Pelath              V","INL000119"
"2011-2012","lower","ruitt","INL000141"
"2011-2012","lower","Kirchhofer          N","INL000098"
"2011-2012","lower","utz","INL000107"
"2011-2012","lower","rsey","INL000097"
"2011-2012","lower","oe","INL000118"
"2011-2012","lower","odin","INL000089"
"2011-2012","lower","DeLaney             K","INL000074"
"2011-2012","lower","Friend              K","INL000084"
"2011-2012","lower","ezgodski","INL000117"
"2011-2012","lower","peedy","INL000133"
"2011-2012","lower","Heaton              K","INL000093"
"2011-2012","lower","Bartlett            V","INL000055"
"2011-2012","lower","ubacki","INL000102"
"2011-2012","lower","Karickhoff          M","INL000096"
"2011-2012","lower","Candelaria Reardon Da","INL000064"
"2011-2012","lower","Friend              M","INL000084"
"2011-2012","lower","Heaton              M","INL000093"
"2011-2012","lower","Hinkle              L","INL000095"
"2011-2012","lower","eese","INL000116"
"2011-2012","lower","Grubb               M","INL000090"
"2011-2012","lower","Candelaria Reardon Do","INL000064"
"2011-2012","lower","Candelaria Reardon Go","INL000064"
"2011-2012","lower","Day                Pr","INL000073"
"2011-2012","lower","Brown, T           De","INL000062"
"2011-2012","lower","ith, V","INL000131"
"2011-2012","lower","nollman","INL000100"
"2011-2012","lower","lath","INL000119"
"2011-2012","lower","Gutwein             M","INL000091"
"2011-2012","lower","DeLaney             M","INL000074"
"2011-2012","lower","Dvorak              P","INL000079"
,"lower","M. Smith Chair Tax Sub","INL000130"
"2011-2012","lower","Candelaria Reardon Fr","INL000064"
"2011-2012","lower","seley","INL000114"
"2011-2012","lower","Richardson          V","INL000127"
"2011-2012","lower","Ellspermann         K","INL000081"
"2011-2012","lower","Dvorak             Po","INL000079"
"2011-2012","lower","Candelaria Reardon Mo","INL000064"
"2011-2012","lower","cNamara","INL000111"
"2011-2012","lower","Dodge               L","INL000078"
"2011-2012","lower","Espich              M","INL000082"
"2011-2012","lower","Lehe                R","INL000104"
"2011-2012","upper","Merritt, Jr.","INL000027"
"2011-2012","lower","oseley","INL000114"
"2011-2012","lower","Dobis               L","INL000077"
"2011-2012","lower","orter","INL000123"
"2011-2012","lower","Kirchhofer          R","INL000098"
"2011-2012","lower","n Speedy","INL000133"
"2011-2012","lower","Hinkle              N","INL000095"
"2011-2012","lower","Knollman           Sm","INL000100"
"2011-2012","lower","yler","INL000143"
"2011-2012","lower","Kirchhofer          P","INL000098"
"2011-2012","lower","Neese               M","INL000116"
"2011-2012","lower","Candelaria Reardon Ke","INL000064"
"2011-2012","lower","GiaQuinta           P","INL000088"
"2011-2012","lower","Day                 M","INL000073"
"2011-2012","lower","Pelath             V","INL000119"
"2011-2012","lower","cClain","INL000109"
"2011-2012","lower","Klinker             P","INL000099"
"2011-2012","lower","Koch                R","INL000101"
"2011-2012","lower","Candelaria Reardon Kl","INL000064"
"2011-2012","lower","Frizzell            M","INL000085"
,"upper","Long (ex officio)","INL000026"
,"lower","Representative Brown","INL000061"
,"lower","Thompson. Porter","INL000062"
"2011-2012","lower","Heuer               M","INL000094"
"2011-2012","lower","oses","INL000115"
"2011-2012","lower","Klinker             R","INL000099"
"2011-2012","lower","Koch                P","INL000101"
"2011-2012","lower","iecken","INL000128"
"2011-2012","lower","ses","INL000115"
"2011-2012","lower","oliday","INL000132"
"2011-2012","lower","Brown,C","INL000061"
"2011-2012","lower","Fry, C              N","INL000086"
"2011-2012","lower","Kubacki             S","INL000102"
,"lower","Steuerwald. Bardon","INL000135"
"2011-2012","lower","Cherry             La","INL000066"
"2011-2012","lower","Candelaria Reardo","INL000064"
"2011-2012","lower","Goodin              N","INL000089"
"2011-2012","lower","Day                 K","INL000073"
"2011-2012","lower","cMillin","INL000110"
"2011-2012","lower","Neese               S","INL000116"
"2011-2012","lower","Dvorak             Ni","INL000079"
"2011-2012","lower","Morris              P","INL000113"
"2011-2012","lower","awford","INL000068"
"2011-2012","lower","Niezgodski         T","INL000117"
"2011-2012","lower","Summers             T","INL000138"
"2011-2012","lower","yor","INL000124"
"2011-2012","lower","flum","INL000120"
"2011-2012","lower","Dembowski           N","INL000075"
"2011-2012","lower","Knollman            N","INL000100"
"2011-2012","lower","n Fry, C","INL000086"
"2011-2012","lower","Dvorak              N","INL000079"
"2011-2012","lower","Foley               N","INL000083"
"2011-2012","lower","Dermody             L","INL000076"
"2011-2012","lower","Ellspermann         L","INL000081"
"2011-2012","lower","DeLaney            Mo","INL000074"
"2011-2012","lower","Dembowski           L","INL000075"
"2011-2012","lower","Knollman            P","INL000100"
"2011-2012","lower","Heaton              P","INL000093"
"2011-2012","lower","Davis               K","INL000071"
"2011-2012","lower","eske","INL000125"
"2011-2012","lower","ond","INL000122"
"2011-2012","lower","Crawford            P","INL000068"
"2011-2012","lower","Crouch              H","INL000069"
"2011-2012","lower","Knollman            R","INL000100"
"2011-2012","lower","GiaQuinta           M","INL000088"
"2011-2012","lower","Fry, C              L","INL000086"
"2011-2012","lower","Pflum               M","INL000120"
"2011-2012","lower","Day                Pi","INL000073"
"2011-2012","lower","Candelaria Reardon Ha","INL000064"
"2011-2012","lower","Candelaria Reardon Gu","INL000064"
"2011-2012","lower","Bauer               H","INL000057"
"2011-2012","lower","Eberhart            L","INL000080"
"2011-2012","lower","aunders","INL000129"
"2011-2012","lower","Fry, C              S","INL000086"
"2011-2012","lower","Ellspermann         M","INL000081"
"2011-2012","lower","Davisson            L","INL000072"
"2011-2012","lower","Dvorak              M","INL000079"
"2011-2012","lower","mith, M","INL000130"
"2011-2012","lower","Knollman           We","INL000100"
"2011-2012","lower","wson, L","INL000103"
"2011-2012","lower","arris","INL000092"
"2011-2012","lower","Fry, C             Re","INL000086"
"2011-2012","lower","Candelaria Reardon Mr","INL000064"
,"upper","Senator  Merritt, Jr.","INL000027"
"2011-2012","lower","Brown,C            Cr","INL000061"
,"lower","Cherry Chair of Budget Subcommittee","INL000066"
"2011-2012","lower","Lehman              S","INL000105"
"2011-2012","lower","erce","INL000121"
"2011-2012","lower","mmers","INL000138"
"2011-2012","lower","Candelaria Reardon","INL000064"
"2011-2012","lower","rner","INL000142"
"2011-2012","lower","Grubb               R","INL000090"
,"lower","Thompson Chair K-12 Sub","INL000139"
,"lower","VanNatter. Pierce","INL000146"
"2011-2012","lower","Heuer               R","INL000094"
"2011-2012","lower","ichardson","INL000127"
"2011-2012","lower","inker","INL000099"
"2011-2012","lower","Crawford           Mo","INL000068"
"2011-2012","lower","Grubb               P","INL000090"
"2011-2012","lower","Kirchhofer          M","INL000098"
"2011-2012","lower","temler","INL000134"
"2011-2012","lower","Lawson, L           S","INL000103"
"2011-2012","lower","Gutwein             N","INL000091"
"2011-2012","lower","DeLaney             H","INL000074"
"2011-2012","lower","Grubb               N","INL000090"
"2011-2012","lower","Harris              T","INL000092"
"2011-2012","lower","Friend              L","INL000084"
"2011-2012","lower","Heaton              N","INL000093"
"2011-2012","lower","Karickhoff          R","INL000096"
"2011-2012","lower","Crawford            K","INL000068"
"2011-2012","lower","DeLaney             N","INL000074"
"2011-2012","lower","Karickhoff          N","INL000096"
"2011-2012","lower","iezgodski","INL000117"
"2011-2012","lower","Dvorak              K","INL000079"
"2011-2012","lower","essmer","INL000112"
"2011-2012","lower","Karickhoff          P","INL000096"
"2011-2012","lower","och","INL000101"
"2011-2012","lower","DeLaney             L","INL000074"
"2011-2012","lower","Candelaria Reardon Pf","INL000064"
"2011-2012","lower","eonard","INL000106"
"2011-2012","lower","Harris              P","INL000092"
"2011-2012","lower","ierce","INL000121"
"2011-2012","lower","Lehe                S","INL000104"
"2011-2012","lower","Dodge               K","INL000078"
"2011-2012","lower","Gutwein             P","INL000091"
"2011-2012","lower","dge","INL000078"
"2011-2012","lower","Harris              R","INL000092"
"2011-2012","lower","Pflum               S","INL000120"
"2011-2012","lower","Torr                M","INL000140"
"2011-2012","lower","Hinkle              M","INL000095"
"2011-2012","lower","Harris              L","INL000092"
"2011-2012","lower","Dobis               N","INL000077"
"2011-2012","lower","Lawson, L           R","INL000103"
"2011-2012","lower","Harris              M","INL000092"
"2011-2012","lower","Frye, R             N","INL000087"
"2011-2012","lower","Fry, C              P","INL000086"
"2011-2012","lower","Goodin             Su","INL000089"
"2011-2012","lower","Harris              N","INL000092"
"2011-2012","lower","Dobis              Tu","INL000077"
"2011-2012","lower","Lawson, L           P","INL000103"
"2011-2012","lower","linker","INL000099"
"2011-2012","lower","Crawford           Po","INL000068"
"2011-2012","lower","Espich              P","INL000082"
"2011-2012","lower","ehe","INL000104"
"2011-2012","lower","Candelaria Reardon Re","INL000064"
"2011-2012","lower","Day                 L","INL000073"
"2011-2012","lower","Goodin              P","INL000089"
"2011-2012","lower","GiaQuinta           N","INL000088"
"2011-2012","lower","Klinker             S","INL000099"
"2011-2012","lower","Koch                S","INL000101"
"2011-2012","lower","Kersey              R","INL000097"
"2011-2012","lower","Pelath              P","INL000119"
"2011-2012","lower","Frizzell            L","INL000085"
"2011-2012","lower","ahan","INL000108"
"2011-2012","lower","Dobis               K","INL000077"
"2011-2012","lower","Eberhart            S","INL000080"
"2011-2012","lower","Dermody             K","INL000076"
"2011-2012","lower","Heuer               N","INL000094"
"2011-2012","lower","Espich              L","INL000082"
"2011-2012","lower","Kersey              P","INL000097"
,"lower","Candelaria Reardon","INL000064"
"2011-2012","lower","Dobis               M","INL000077"
"2011-2012","lower","Fry, C              M","INL000086"
"2011-2012","lower","Heuer               P","INL000094"
"2011-2012","lower","Kubacki             R","INL000102"
"2011-2012","lower","ryor","INL000124"
"2011-2012","lower","Candelaria Reardon P","INL000064"
"2011-2012","lower","rter","INL000123"
"2011-2012","lower","Moseley             P","INL000114"
"2011-2012","lower","Frye, R             M","INL000087"
"2011-2012","lower","ersey","INL000097"
"2011-2012","lower","Laney","INL000074"
"2011-2012","lower","Thompson            T","INL000139"
"2011-2012","lower","lum","INL000120"
"2011-2012","lower","orris","INL000113"
"2011-2012","lower","Pelath              M","INL000119"
"2011-2012","lower","elath","INL000119"
"2011-2012","lower","ehman","INL000105"
"2011-2012","lower","urner","INL000142"
"2011-2012","lower","Eberhart            K","INL000080"
"2011-2012","lower","Dembowski           M","INL000075"
"2011-2012","lower","Hinkle              P","INL000095"
"2011-2012","lower","mith, V","INL000131"
