2009,"upper","Jean M. Doerge","LAL000198"
2009,"lower","Perry","LAL000249"
2009,"lower","Guillory, E.","LAL000151"
2009,"upper","Broome","LAL000141"
2009,"lower","Lydia Patrice Jackson","LAL000153"
2009,"lower","Mack A. ""Bodi"" White, Jr.","LAL000272"
2009,"lower","Hunter V. Greene","LAL000209"
2009,"lower","Cameron Henry","LAL000216"
2009,"upper","Joel T. Chaisson, II","LAL000143"
2010,"lower","Fred H. Mills, Jr.","LAL000105"
2009,"lower","Hill","LAL000217"
2009,"lower","Connick","LAL000193"
2009,"lower","Patrick Connick","LAL000193"
2009,"upper","Rosalind D. Jones","LAL000226"
2009,"lower","Fred H. Mills, Jr.","LAL000105"
,"lower","Smith, Patricia Haynes","LAL000264"
2010,"lower","Jeffery ""Jeff"" J. Arnold","LAL000175"
2010,"lower","Lydia Patrice Jackson","LAL000153"
2009,"lower","Jim Tucker","LAL000271"
,"upper","Michael J. ""Mike"" Michot","LAL000160"
2009,"lower","Champagne","LAL000190"
2009,"lower","Daniel R. Martiny","LAL000158"
,"lower","Badon, Austin","LAL000042"
,"lower","Richardson, Clifton R.","LAL000254"
,"lower","Nowlin, Rickey L.","LAL000247"
,"lower","Katz, Kay","LAL000228"
2009,"lower","Patrick C. Williams","LAL000273"
2010,"upper","John M. Schroder, Sr.","LAL000259"
2009,"lower","Henry","LAL000216"
2009,"lower","Williams","LAL000273"
2009,"upper","Harold L. Ritchie","LAL000256"
2009,"lower","Simone B. Champagne","LAL000190"
2009,"lower","Francis C. Thompson","LAL000170"
2010,"lower","Noble E. Ellington","LAL000202"
2010,"lower","Joseph P. Lopinto III","LAL000238"
2009,"lower","Stiaes","LAL000266"
2009,"lower","Geymann","LAL000207"
2009,"lower","Charles E. ""Chuck"" Kleckley","LAL000229"
2009,"upper","Troy Hebert","LAL000152"
2010,"upper","Joseph P. Lopinto III","LAL000238"
,"joint","Ligi, Anthony V.","LAL000236"
2009,"lower","Billiot","LAL000182"
2010,"lower","Scott M. Simon","LAL000260"
,"lower","Simon, Scott M.","LAL000260"
2009,"lower","Sam Jones","LAL000227"
2010,"upper","James K. Armes III","LAL000174"
2009,"upper","Jeffery ""Jeff"" J. Arnold","LAL000175"
,"lower","Barras, Taylor F.","LAL000180"
2010,"upper","Stephen E. Pugh","LAL000252"
2009,"lower","Cedric L. Richmond","LAL000255"
2009,"upper","Joe Harrison","LAL000213"
2010,"lower","Francis C. Thompson","LAL000170"
2009,"lower","Burford","LAL000184"
2010,"upper","Reed S. Henderson","LAL000215"
2009,"lower","Kay Kellogg Katz","LAL000228"
2009,"lower","Michael J. ""Mike"" Michot","LAL000160"
2009,"upper","Claitor","LAL000145"
2010,"upper","Dan W. ""Blade"" Morrish","LAL000162"
2009,"upper","Thompson","LAL000170"
2009,"lower","Burns, T.","LAL000186"
2009,"upper","Neil Riser","LAL000278"
2009,"upper","Michael E. Danahay","LAL000196"
2010,"lower","Michael J. ""Mike"" Michot","LAL000160"
2009,"upper","Lowell C. Hazel","LAL000214"
2009,"upper","A. G. Crowe","LAL000146"
2009,"upper","Walt Leger, III","LAL000099"
2009,"upper","James H. Morris","LAL000245"
2009,"lower","St. Germain","LAL000265"
2010,"lower","Cedric L. Richmond","LAL000255"
2009,"lower","Smith, G.","LAL000262"
2009,"lower","Pope","LAL000251"
2009,"upper","Robert M. Marionneaux, Jr.","LAL000157"
,"lower","Chaney, Charles R.","LAL000192"
2010,"upper","Dalton W. Honor?","LAL000220"
2010,"lower","Robert A. Johnson","LAL000225"
2009,"upper","Juan A. LaFonta","LAL000231"
2009,"lower","Dorothy Sue Hill","LAL000217"
2010,"lower","James H. Morris","LAL000245"
2009,"upper","Gautreaux N","LAL000150"
,"lower","Smith, Jr., Gary L.","LAL000262"
2009,"upper","Yvonne Dorsey","LAL000147"
2010,"lower","M.J. ""Mert"" Smiley, Jr.","LAL000125"
2009,"lower","Robert A. Johnson","LAL000225"
2010,"upper","Thomas G. Carmody, Jr.","LAL000188"
2009,"lower","Robert W.  Kostelka","LAL000154"
2010,"upper","Lee ""Jody"" Amedee","LAL000139"
2009,"upper","Timothy G. ""Tim"" Burns","LAL000186"
2010,"lower","Walt Leger, III","LAL000099"
2009,"upper","Barbara M. Norton","LAL000246"
2010,"lower","Dale M. Erdey","LAL000148"
,"lower","Hoffmann, Frank A.","LAL000219"
,"lower","Arnold, Jeffery ""Jeff"" J.","LAL000175"
2010,"upper","Frank A. Howard","LAL000221"
2009,"upper","Ben W. Nevers","LAL000165"
2009,"lower","M.J. ""Mert"" Smiley, Jr.","LAL000125"
2009,"upper","Karen Carter Peterson","LAL000166"
2009,"upper","Eddie J. Lambert","LAL000232"
,"joint","Barras, Taylor F.","LAL000180"
2009,"lower","Talbot","LAL000267"
2010,"lower","Clifton R. Richardson","LAL000254"
2009,"lower","Nicholas ""Nick"" Gautreaux","LAL000150"
2009,"upper","William Joseph McPherson, Jr.","LAL000159"
2009,"lower","Smith, P.","LAL000264"
,"upper","""Nick""  Gautreaux","LAL000150"
2009,"lower","Joe Harrison","LAL000213"
2009,"upper","Dorothy Sue Hill","LAL000217"
,"lower","Honor?, Dalton","LAL000220"
2009,"lower","George Gregory Cromer","LAL000195"
2009,"upper","John F. ""Andy"" Anders","LAL000173"
,"lower","Henderson, Reed S.","LAL000215"
,"lower","Norton, Barbara M.","LAL000246"
2009,"lower","Franklin J. Foil","LAL000204"
,"lower","Templet, Ricky J.","LAL000268"
2009,"lower","Jack Donahue","LAL000276"
2009,"upper","Lee ""Jody"" Amedee","LAL000139"
2009,"upper","Sharon Weston Broome","LAL000141"
2009,"upper","Joseph P. Lopinto III","LAL000238"
,"lower","Ligi, Anthony V.","LAL000236"
2009,"lower","Carmody","LAL000188"
,"lower","Lopinto, Joseph P.","LAL000238"
2010,"upper","Major Thibaut, Jr.","LAL000269"
2009,"upper","Cheek","LAL000144"
2010,"upper","Neil C. Abramson","LAL000172"
2009,"upper","Clifton R. Richardson","LAL000254"
2009,"upper","Quinn","LAL000167"
2010,"upper","Helena N. Moreno","LAL000244"
2009,"lower","Franklin","LAL000205"
2009,"lower","Elton M. Aubert","LAL000176"
2009,"upper","Charles R. Chaney","LAL000192"
,"lower","Barrow, Regina","LAL000181"
2010,"lower","Dan W. ""Blade"" Morrish","LAL000162"
2010,"lower","Taylor F. Barras","LAL000180"
2009,"lower","Frank A. Hoffmann","LAL000219"
2009,"upper","Bobby G. Badon","LAL000177"
2009,"upper","John A. Alario, Jr.","LAL000138"
2010,"upper","Gordon E. Dove, Sr.","LAL000199"
2009,"lower","Jack Montoucet","LAL000243"
,"lower","Smiley, Jr., M.J. ""Mert""","LAL000125"
2010,"upper","Scott M. Simon","LAL000260"
,"joint","Carter, Stephen F.","LAL000189"
2009,"lower","H. Bernard LeBas","LAL000234"
2010,"lower","Thomas H. McVea","LAL000240"
2009,"upper","Patrick Page Cortez","LAL000194"
2010,"upper","Michael J. ""Mike"" Michot","LAL000160"
2009,"upper","John E.  Guinn","LAL000211"
2010,"lower","Frank A. Hoffmann","LAL000219"
2009,"lower","Hazel","LAL000214"
2009,"upper","Appel","LAL000140"
2009,"upper","Robert Adley","LAL000137"
2010,"lower","Patricia Haynes Smith","LAL000264"
2009,"lower","Greene","LAL000209"
2010,"upper","Robert A. Johnson","LAL000225"
2009,"lower","Thomas H. McVea","LAL000240"
2009,"upper","LaFleur","LAL000155"
2009,"lower","Billy R. Chandler","LAL000191"
2009,"lower","Pearson","LAL000248"
,"joint","Hazel, Lowell C.","LAL000214"
2009,"lower","Carter","LAL000189"
2009,"upper","Jane H. Smith","LAL000263"
,"lower","Schroder, John M.","LAL000259"
2009,"upper","Thomas G. Carmody, Jr.","LAL000188"
2009,"lower","Jean-Paul ""JP"" Morrell","LAL000161"
2009,"upper","Dan Claitor","LAL000145"
2009,"lower","Ellington","LAL000202"
2009,"lower","Wooton","LAL000275"
,"lower","Ponti, Erich E.","LAL000250"
2010,"lower","Jerome Richard","LAL000253"
2010,"lower","Thomas P.  Willmott","LAL000274"
2010,"upper","M.J. ""Mert"" Smiley, Jr.","LAL000125"
2009,"lower","Nancy R. Landry","LAL000233"
2009,"lower","Thibaut","LAL000269"
2009,"lower","Armes","LAL000174"
2009,"upper","John Bel Edwards","LAL000201"
,"upper","Dan ""Blade""  Morrish","LAL000162"
2009,"upper","Gerald Long","LAL000156"
2010,"lower","Jean-Paul ""JP"" Morrell","LAL000161"
2010,"upper","George Gregory Cromer","LAL000195"
,"upper","Daniel ""Danny""  Martiny","LAL000158"
2009,"lower","Elbert L. Guillory","LAL000151"
2009,"upper","Michael A. Walsworth","LAL000171"
2009,"upper","Damon J. Baldone","LAL000179"
2009,"upper","Jared C. Brossett","LAL000183"
2009,"upper","John R. Smith","LAL000169"
2010,"upper","Ledricka Johnson Thierry","LAL000270"
2010,"upper","Juan A. LaFonta","LAL000231"
2009,"lower","Ricky J. Templet","LAL000268"
2009,"lower","A B Franklin","LAL000205"
2009,"lower","Arnold","LAL000175"
2009,"upper","Sam Jones","LAL000227"
2009,"lower","Major Thibaut, Jr.","LAL000269"
2010,"upper","Gautreaux N","LAL000150"
2009,"upper","Gordon E. Dove, Sr.","LAL000199"
2010,"upper","Elton M. Aubert","LAL000176"
2009,"upper","Amedee","LAL000139"
2009,"upper","Scott M. Simon","LAL000260"
2010,"upper","Charles R. Chaney","LAL000192"
,"joint","Hoffmann, Frank A.","LAL000219"
2009,"lower","Sherri Smith Cheek","LAL000144"
2010,"upper","J. Kevin Pearson","LAL000248"
,"lower","Jackson III, Girod","LAL000088"
2009,"lower","LaBruzzo","LAL000230"
2010,"lower","Major Thibaut, Jr.","LAL000269"
2009,"lower","Robert M. Marionneaux, Jr.","LAL000157"
2009,"upper","Brett F. Geymann","LAL000207"
2009,"lower","Willie L. Mount","LAL000163"
2009,"lower","Danahay","LAL000196"
2009,"upper","Walker Hines","LAL000218"
2009,"lower","Burns, H.","LAL000185"
2009,"lower","Anthony V. Ligi, Jr.","LAL000236"
2009,"upper","Gary L. Smith, Jr.","LAL000262"
,"lower","Burns, Henry L.","LAL000185"
2009,"lower","Kenneth Eric LaFleur","LAL000155"
2010,"upper","Thomas H. McVea","LAL000240"
2009,"lower","Regina Ashford Barrow","LAL000181"
2009,"upper","Robert A. Johnson","LAL000225"
2009,"upper","Mickey James Guillory","LAL000210"
2009,"lower","Pugh","LAL000252"
2009,"lower","Jonathan W. Perry","LAL000249"
2009,"lower","Robert E. Billiot","LAL000182"
,"lower","Leger, Walt III","LAL000099"
2009,"upper","Jerry Gisclair","LAL000208"
2009,"upper","Murray","LAL000164"
2010,"upper","Rickey L. Nowlin","LAL000247"
,"lower","Johnson, Robert A.","LAL000225"
,"lower","Gallot, Jr., Richard ""Rick""","LAL000070"
2009,"lower","Kleckley","LAL000229"
2010,"upper","Patricia Haynes Smith","LAL000264"
2010,"upper","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"upper","Nicholas ""Nick"" Gautreaux","LAL000150"
2009,"lower","William Joseph McPherson, Jr.","LAL000159"
2009,"upper","Herbert B. Dixon","LAL000197"
2010,"upper","Henry L. Burns","LAL000185"
2009,"upper","Roy A. Burrell","LAL000187"
,"upper","D. A. ""Butch""  Gautreaux","LAL000149"
2009,"upper","George Gregory Cromer","LAL000195"
2010,"upper","Jerome Richard","LAL000253"
2009,"lower","Guillory","LAL000210"
2010,"lower","Christopher J. Roy, Jr.","LAL000122"
2010,"lower","A. G. Crowe","LAL000146"
2009,"upper","Michael J. ""Mike"" Michot","LAL000160"
2009,"lower","Kirk Talbot","LAL000267"
2010,"upper","Jared C. Brossett","LAL000183"
2009,"lower","Jerry Gisclair","LAL000208"
2009,"lower","Hoffmann","LAL000219"
2010,"lower","Lee ""Jody"" Amedee","LAL000139"
2009,"lower","Cromer","LAL000195"
2009,"lower","Yvonne Dorsey","LAL000147"
,"joint","Champagne, Simone B.","LAL000190"
2009,"upper","Joel C. Robideaux","LAL000257"
2010,"lower","John R. Smith","LAL000169"
2009,"upper","Long","LAL000156"
2009,"lower","Christopher J. Roy, Jr.","LAL000122"
,"lower","Cromer, George Gregory","LAL000195"
2009,"lower","Richardson","LAL000254"
2009,"lower","Karen Gaudet St. Germain","LAL000265"
2010,"upper","Elbert L. Guillory","LAL000151"
,"upper","John A. Alario, Jr.","LAL000138"
2009,"upper","Richard T. Burford","LAL000184"
2009,"lower","Ligi","LAL000236"
,"upper","Willie L. Mount","LAL000163"
2010,"upper","Daniel R. Martiny","LAL000158"
2009,"lower","Lee ""Jody"" Amedee","LAL000139"
2009,"upper","B. L. ""Buddy"" Shaw","LAL000168"
2010,"upper","Hunter V. Greene","LAL000209"
2009,"lower","Eddie J. Lambert","LAL000232"
2009,"lower","Jones, S.","LAL000227"
2010,"lower","Frank A. Howard","LAL000221"
2010,"upper","Simone B. Champagne","LAL000190"
,"upper","Robert ""Rob"" Marionneaux, Jr.","LAL000157"
2010,"upper","Christopher J. Roy, Jr.","LAL000122"
2009,"upper","Martiny","LAL000158"
2010,"upper","Patrick Page Cortez","LAL000194"
2010,"lower","Joel C. Robideaux","LAL000257"
2009,"lower","Cortez","LAL000194"
2009,"upper","Frank A. Hoffmann","LAL000219"
,"upper","Jean-Paul J. Morrell","LAL000161"
2009,"lower","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"upper","James K. Armes III","LAL000174"
,"upper","John R. Smith","LAL000169"
,"lower","McVea, Thomas H.","LAL000240"
,"lower","Willmott, Thomas P.","LAL000274"
2009,"upper","Crowe","LAL000146"
2009,"upper","Stephen F. Carter","LAL000189"
2009,"upper","Julie Quinn","LAL000167"
2010,"lower","Patrick Page Cortez","LAL000194"
2009,"upper","Elton M. Aubert","LAL000176"
2010,"lower","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"lower","J. Rogers Pope","LAL000251"
2010,"upper","Nicholas ""Nick"" Gautreaux","LAL000150"
2009,"upper","Neil C. Abramson","LAL000172"
2009,"upper","D.A. ""Butch"" Gautreaux","LAL000149"
,"lower","Pugh, Stephen E.","LAL000252"
2009,"upper","Jack Donahue","LAL000276"
2010,"upper","Joel T. Chaisson, II","LAL000143"
,"lower","Jones, Rosalind D.","LAL000226"
2009,"lower","Landry","LAL000233"
2009,"lower","Nickie Monica","LAL000242"
2010,"upper","Willie L. Mount","LAL000163"
2009,"lower","Fannin","LAL000203"
,"joint","Smith, Jr., Gary L.","LAL000262"
2009,"lower","Stephen E. Pugh","LAL000252"
