,"joint","Diane  Russell ","MEL000155"
,"upper","Senator G. William Diamond","MEL000012"
"2011-2012","upper","President Kevin Raye","MEL000029"
,"joint","Tyler  Clark ","MEL000041"
,"lower","James M. Hamper, Chair ","MEL000135"
,"joint","Michael  Celli ","MEL000056"
,"joint","Jon  Hinck ","MEL000153"
,"joint","Ralph  Chapman ","MEL000072"
,"joint","Stan  Gerzofsky ","MEL000010"
"2011-2012","lower","Speaker Robert Nutting","MEL000113"
,"lower","Wesley E. Richardson, Chair ","MEL000084"
,"joint","Jonathan T E. Courtney ","MEL000003"
,"joint","Melvin  Newendyke ","MEL000115"
,"lower","Richard M. Cebra, Chair ","MEL000136"
,"joint","Alexander  Cornell du Houx ","MEL000101"
,"joint","Helen  Rankin ","MEL000132"
,"joint","Teresea  Hayes ","MEL000129"
"2011-2012","lower","CORNELL du HOUX","MEL000101"
,"joint","Dawn  Hill ","MEL000001"
,"lower","Andre E. Cushing III, Chair ","MEL000074"
,"joint","Bill  Diamond ","MEL000012"
,"upper","Senator Phillip L. Bartlett II","MEL000006"
,"joint","George  Hogan ","MEL000166"
,"upper","Senator Elizabeth M. Schneider of
           Penobscot","MEL000030"
,"joint","Chuck  Kruger ","MEL000083"
,"lower","David E. Richardson, Chair ","MEL000058"
"2011-2012","lower","Representative Emily Cain","MEL000054"
,"joint","Maeghan  Maloney ","MEL000092"
