,"upper","Theodore J. ""Ted"" Daley","MNL000207"
"2009-2010","upper","Clark","MNL000008"
"2009-2010","lower","Clark","MNL000188"
"2011-2012","upper","Nelson","MNL000219"
"2009-2010","lower","Carlson","MNL000157"
"2009-2010","upper","Johnson","MNL000024"
"2009-2010","lower","Johnson","MNL000201"
"2011-2012","upper","Carlson","MNL000204"
"2009-2010","upper","Anderson","MNL000001"
,"upper","D. Scott Dibble","MNL000011"
"2009-2010","lower","Pelowski","MNL000128"
"2011-2012","lower","Benson, M.","MNL000237"
"2011-2012","upper","Olson","MNL000041"
,"lower","alternate Joe Atkins","MNL000145"
"2011-2012","upper","Lillie","MNL000216"
"2011-2012","lower","Carlson","MNL000157"
,"upper","Bill Ingebrigtsen","MNL000023"
,"lower","alternate Tim Kelly","MNL000122"
"2011-2012","upper","Benson","MNL000202"
,"upper","Gen Olson","MNL000041"
"2011-2012","lower","Lillie","MNL000176"
"2009-2010","upper","Murphy","MNL000039"
"2011-2012","upper","Ingebrigtsen","MNL000023"
"2011-2012","lower","Nelson","MNL000158"
