,"lower","Rep. Farmer-Butterfield","NCL000090"
,"lower","Rep. Avila","NCL000059"
,"lower","Rep. Starnes","NCL000158"
,"upper","Sen. Jean Preston","NCL000038"
,"upper","Sen. William R. Purcell","NCL000039"
,"lower","Rep. Hurley","NCL000116"
,"lower","Rep. Boles","NCL000066"
,"lower","Rep. McElraft","NCL000137"
"2011-2012","lower","Randleman;","NCL000149"
,"lower","Rep. Harrison","NCL000108"
,"lower","Rep. Hilton","NCL000111"
,"lower","Rep. Shepard","NCL000221"
,"lower","Rep. Collins","NCL000201"
,"lower","Rep. Samuelson","NCL000154"
,"lower","Rep. Stam","NCL000157"
,"lower","Rep. Wilkins","NCL000176"
,"upper","Sen. Clark Jenkins","NCL000032"
,"lower","Rep. Sager","NCL000153"
,"upper","Sen. Doug Berger","NCL000006"
,"lower","Rep. Gill","NCL000096"
,"lower","Rep. Womble","NCL000178"
,"upper","Sen. Bill Rabon","NCL000193"
,"upper","Sen. Jerry W. Tillman","NCL000050"
,"upper","Sen. Eric Mansfield","NCL000189"
,"lower","Rep. Hall","NCL000106"
,"lower","Rep. H. Warren","NCL000224"
,"lower","Rep. Graham","NCL000206"
,"lower","Rep. Jeffus","NCL000121"
"2011-2012","lower","Guice;","NCL000102"
,"lower","Rep. Murry","NCL000218"
,"upper","Sen. Louis Pate","NCL000192"
,"lower","Rep. Fisher","NCL000091"
,"lower","Rep. Wainwright","NCL000169"
,"lower","Rep. Horn","NCL000211"
,"lower","Rep. Owens","NCL000145"
"2011-2012","upper","Doug Berger;","NCL000006"
,"lower","Rep. Daughtry","NCL000083"
,"upper","Sen. Fletcher L. Hartsell, Jr.","NCL000028"
,"lower","Rep. Steen","NCL000159"
,"lower","Rep. Goodman","NCL000205"
,"lower","Rep. Hill","NCL000110"
,"lower","Rep. Michaux","NCL000140"
,"upper","Sen. Don East","NCL000021"
,"lower","Rep. Adams","NCL000054"
,"lower","Rep. Frye","NCL000094"
,"lower","Rep. R. Brown","NCL000200"
,"lower","Rep. Sanderson","NCL000220"
,"upper","Sen. Austin M. Allran","NCL000002"
,"lower","Rep. West","NCL000173"
,"upper","Sen. Ed Jones","NCL000033"
"2011-2012","lower","Crawford;","NCL000081"
,"upper","Sen. Josh Stein","NCL000047"
,"upper","Sen. E. S. (Buck) Newton","NCL000191"
,"lower","Rep. Bryant","NCL000072"
,"lower","Rep. Hastings","NCL000209"
,"lower","Rep. Justice","NCL000124"
,"lower","Rep. McCormick","NCL000136"
,"lower","Rep. Stevens","NCL000160"
"2011-2012","upper","Brent Jackson;","NCL000188"
,"lower","Rep. Ross","NCL000152"
,"lower","Rep. McGrady","NCL000215"
,"lower","Rep. Brandon","NCL000198"
,"upper","Sen. Floyd B. McKissick, Jr.","NCL000036"
"2011-2012","lower","Cotham;","NCL000080"
,"lower","Rep. Bradley","NCL000197"
,"lower","Rep. Pridgen","NCL000219"
,"lower","Rep. M. Alexander","NCL000056"
"2011-2012","upper","Eric Mansfield;","NCL000189"
,"upper","Sen. Don Vaughan","NCL000051"
,"lower","Rep. Rhyne","NCL000151"
,"lower","Rep. Guice","NCL000102"
,"upper","Sen. Bob Rucho","NCL000043"
,"lower","Rep. L. Brown","NCL000070"
"2011-2012","lower","Pierce;","NCL000148"
"2011-2012","lower","R. Brown;","NCL000200"
,"upper","Sen. Tom Apodaca","NCL000003"
"2011-2012","upper","Charlie S. Dannelly;","NCL000017"
,"lower","Rep. Mills","NCL000141"
,"lower","Rep. Dixon","NCL000203"
,"lower","Rep. Iler","NCL000117"
"2011-2012","lower","Wray;","NCL000179"
,"upper","Sen. Thom Goolsby","NCL000184"
,"lower","Rep. Setzer","NCL000155"
"2011-2012","upper","Peter S. Brunstetter;","NCL000014"
,"upper","Sen. Andrew C. Brock","NCL000012"
,"lower","Rep. Killian","NCL000126"
,"lower","Rep. Blust","NCL000065"
,"lower","Rep. Cleveland","NCL000076"
,"lower","Rep. Bordsen","NCL000067"
"2011-2012","upper","Tommy Tucker;","NCL000196"
,"lower","Rep. Gillespie","NCL000097"
,"lower","Rep. Dollar","NCL000086"
,"upper","Sen. Neal Hunt","NCL000030"
,"upper","Sen. Eleanor Kinnaird","NCL000034"
,"upper","Sen. Kathy Harrington","NCL000186"
,"upper","Sen. Linda Garrou","NCL000024"
"2011-2012","lower","Bell;","NCL000061"
,"lower","Rep. Stone","NCL000222"
,"lower","Rep. Gibson","NCL000095"
"2011-2012","upper","Eleanor Kinnaird;","NCL000034"
,"upper","Sen. Brent Jackson","NCL000152"
,"lower","Rep. Wray","NCL000179"
,"lower","Rep. Ingle","NCL000118"
,"lower","Rep. Langdon","NCL000127"
,"lower","Rep. Glazier","NCL000098"
"2011-2012","upper","Neal Hunt;","NCL000030"
,"upper","Sen. Ralph Hise","NCL000187"
,"lower","Rep. Parmon","NCL000147"
,"upper","Sen. Harry Brown","NCL000013"
,"upper","Sen. Daniel G. Clodfelter","NCL000016"
,"upper","Sen. Wesley Meredith","NCL000190"
,"upper","Sen. Harris Blake","NCL000009"
,"lower","Rep. Faircloth","NCL000204"
,"lower","Rep. E. Warren","NCL000170"
,"lower","Rep. LaRoque","NCL000214"
,"lower","Rep. McGee","NCL000138"
,"lower","Rep. T. Moore","NCL000143"
,"lower","Rep. Mobley","NCL000142"
,"upper","Sen. Gladys A. Robinson","NCL000194"
,"upper","Sen. Michael P. Walters","NCL000052"
,"upper","Sen. Bob Atwater","NCL000004"
,"upper","Sen. David Rouzer","NCL000042"
,"upper","Sen. James Forrester","NCL000023"
,"lower","Rep. Holloway","NCL000113"
"2009-2010","lower","Dickson","NCL000019"
,"upper","Sen. Dan Soucek","NCL000195"
,"lower","Rep. Brisson","NCL000069"
,"lower","Rep. Brawley","NCL000199"
,"lower","Rep. Jordan","NCL000213"
,"lower","Rep. Moffitt","NCL000216"
,"lower","Rep. Torbett","NCL000223"
"2011-2012","lower","LaRoque;","NCL000214"
"2011-2012","lower","McElraft;","NCL000137"
,"upper","Sen. Charlie S. Dannelly","NCL000017"
,"lower","Rep. Parfitt","NCL000146"
,"lower","Rep. Johnson","NCL000122"
,"upper","Sen. Rick Gunn","NCL000185"
"2009-2010","upper","Philip E. Berger","NCL000007"
"2011-2012","lower","Cleveland;","NCL000076"
"2011-2012","lower","Haire;","NCL000105"
"2011-2012","upper","Rick Gunn;","NCL000185"
"2011-2012","lower","T. Moore;","NCL000143"
,"lower","Rep. Crawford","NCL000081"
"2011-2012","upper","Ed Jones;","NCL000033"
,"lower","Rep. Rapp","NCL000150"
,"lower","Rep. Earle","NCL000087"
,"lower","Rep. K. Alexander","NCL000055"
,"lower","Rep. Dockham","NCL000085"
,"lower","Rep. Jackson","NCL000120"
,"lower","Rep. Howard","NCL000114"
,"lower","Rep. Hamilton","NCL000208"
,"lower","Rep. Faison","NCL000089"
,"upper","Sen. Peter S. Brunstetter","NCL000014"
"2009-2010","upper","Margaret Highsmith Dickson","NCL000019"
,"upper","Sen. Dan Blue","NCL000010"
,"lower","Rep. Carney","NCL000075"
"2009-2010","upper","Dan Blue","NCL000010"
,"upper","Sen. Malcolm Graham","NCL000027"
,"upper","Sen. Tommy Tucker","NCL000196"
,"lower","Rep. Insko","NCL000119"
,"lower","Rep. Barnhart","NCL000060"
,"lower","Rep. Keever","NCL000181"
,"upper","Sen. Richard Stevens","NCL000048"
,"lower","Rep. Current","NCL000082"
"2011-2012","lower","Bradley;","NCL000197"
,"lower","Rep. Lucas","NCL000130"
,"lower","Rep. Pierce","NCL000148"
,"upper","Sen. Stan White","NCL000225"
"2011-2012","upper","Stan Bingham;","NCL000008"
,"lower","Rep. Haire","NCL000105"
"2011-2012","upper","Tom Apodaca;","NCL000003"
,"lower","Rep. Brubaker","NCL000071"
,"lower","Rep. Lewis","NCL000128"
,"upper","Sen. Warren Daniel","NCL000182"
,"upper","Sen. Stan Bingham","NCL000008"
"2011-2012","upper","Harry Brown;","NCL000013"
"2009-2010","lower","Blue","NCL000010"
,"lower","Rep. Bell","NCL000061"
,"lower","Rep. Spear","NCL000156"
,"lower","Rep. Hager","NCL000207"
,"lower","Rep. Floyd","NCL000092"
,"lower","Rep. Blackwell","NCL000062"
,"lower","Rep. Cotham","NCL000080"
,"lower","Rep. McComas","NCL000135"
,"lower","Rep. Tolson","NCL000166"
,"lower","Rep. McLawhorn","NCL000139"
,"lower","Rep. Burr","NCL000073"
,"upper","Sen. Jim Davis","NCL000183"
,"lower","Rep. Martin","NCL000133"
"2011-2012","upper","Richard Stevens;","NCL000048"
,"lower","Rep. R. Moore","NCL000217"
,"lower","Rep. Randleman","NCL000149"
"2011-2012","upper","Don Vaughan;","NCL000051"
,"lower","Rep. Folwell","NCL000093"
"2009-2010","lower","Floyd,E.","NCL000092"
,"lower","Rep. Weiss","NCL000172"
"2011-2012","upper","Debbie A. Clary;","NCL000015"
,"lower","Rep. Hackney","NCL000104"
,"lower","Rep. Cook","NCL000202"
,"lower","Rep. Hollo","NCL000210"
