"2011-2012","lower","Nu?ez, Andy","NML000078"
"2011-2012","lower","Herrell,","NML000093"
"2011-2012","lower","Tyler, S. A.","NML000103"
"2011-2012","lower","Garcia, T.A.","NML000110"
"2011-2012","upper","WILSONBEFFORT","NML000019"
"2011-2012","lower","Crook, A. M.","NML000106"
"2011-2012","lower","Alcon,","NML000048"
"2011-2012","lower","Garcia, M.H.","NML000076"
"2011-2012","lower","Espinoza,","NML000101"
"2011-2012","lower","Garcia, M.P.","NML000056"
"2011-2012","lower","Larra?aga, Larry A.","NML000069"
"2011-2012","lower","Brown, C. B.","NML000097"
"2011-2012","upper","ORTIZYPINO","NML000012"
"2011-2012","lower","Sandoval,","NML000059"
"2011-2012","lower","Cook, Z.J.","NML000098"
"2011-2012","lower","Anderson, T. A","NML000071"
"2011-2012","lower","Larranaga, L.","NML000069"
"2011-2012","upper","Larra?aga, Larry A.","NML000069"
"2011-2012","lower","Gray, W. J.","NML000096"
"2011-2012","lower","Gentry,","NML000072"
"2011-2012","lower","James,C. D.","NML000066"
"2011-2012","lower","Trujillo, J.R.","NML000087"
"2011-2012","lower","Ezzell, C. S.","NML000100"
"2011-2012","upper","GRIEGO,E.","NML000014"
"2011-2012","lower","Irwin, D. G.","NML000074"
"2011-2012","lower","Powdrell-C, J.","NML000086"
"2011-2012","lower","Hall, J. C.","NML000070"
"2011-2012","lower","Bandy, P. C.","NML000045"
"2011-2012","lower","Madalena, J. R","NML000107"
"2011-2012","upper","SANCHEZ,M.","NML000029"
"2011-2012","upper","GRIEGO,P.","NML000039"
"2011-2012","lower","Taylor T. C.","NML000043"
"2011-2012","lower","Smith, J. S.","NML000064"
"2011-2012","upper","SANCHEZ,B.","NML000026"
"2011-2012","lower","Nunez, A.","NML000078"
"2011-2012","lower","Salazar,","NML000082"
"2011-2012","lower","White, J. P.","NML000062"
"2011-2012","lower","Vigil, R. D.","NML000112"
"2011-2012","lower","Martinez, W. K","NML000111"
