,lower,Brian P. Kavanagh,NYL000131
2011-2012,lower,Rivera P,NYL000182
,lower,Nelson L. Castro,NYL000086
,lower,Francisco P. Moya,NYL000162
,lower,James F. Brennan,NYL000076
,upper,Hugh Farley,NYL000014
,lower,Michael G. DenDekker,NYL000098
,lower,Mchael J. Spano,NYL000197
,lower,William F. Boyland,NYL000073
,lower,Catherine T. Nolan,NYL000164
2011-2012,lower,Rivera N,NYL000181
2011-2012,lower,Miller D,NYL000155
,lower,Philip R. Ramos,NYL000177
,lower,Sandra R. Galef,NYL000108
,lower,Joan L. Millman,NYL000158
,lower,"William Boyland, Jr.",NYL000073
,lower,Marcos A. Crespo,NYL000093
,lower,Richard N. Gottfried,NYL000114
,lower,Joseph R. Lentol,NYL000138
,upper,Betty Little,NYL000034
,lower,Keith Wright,NYL000209
2011-2012,lower,Rivera J,NYL000180
,lower,"Peter Abbate, Jr.",NYL000063
,lower,"Fred Thiele, Jr.",NYL000202
,lower,Peter M. Rivera,NYL000182
,lower,Daniel J. O'Donnell,NYL000165
,lower,Margaret M. Markey,NYL000149
,lower,"Herman D. Farrell, Jr.",NYL000103
,lower,Audrey I. Pheffer,NYL000172
,lower,Jose Rivera,NYL000180
2011-2012,lower,Lopez P,NYL000141
,upper,Jos? M. Serrano,NYL000053
,upper,Charles J. Fuschillo Jr.,NYL000016
2011-2012,lower,Miller J,NYL000156
,upper,Timothy M. Kennedy,NYL000026
2011-2012,lower,Miller M,NYL000157
,lower,Kenneth P. Zebrowski,NYL000210
2011-2012,upper,RIVERA,NYL000048
,upper,Thomas K. Duane,NYL000012
,lower,Vivian E. Cook,NYL000091
,lower,"Herman Farrell, Jr.",NYL000103
,lower,Robert J. Rodriguez,NYL000185
,lower,Vito J. Lopez,NYL000142
,lower,Felix Ortiz,NYL000167
,lower,Rory I. Lancman,NYL000135
,lower,Matthew J. Titone,NYL000203
,upper,Patrick M. Gallivan,NYL000017
,upper,William J. Larkin Jr.,NYL000031
2011-2012,lower,Lopez V,NYL000142
,lower,James Gary Pretlow,NYL000173
,lower,Rhoda S. Jacobs,NYL000125
