"2009-2012","lower","Sra. Gonz?lez Col?n, Jenniffer","PRL000071"
"2009-2012","lower","Sr. Correa Rivera, Eric","PRL000069"
"2009-2012","upper","Sen. Jos? L. Dalmau Santiago","PRL000007"
"2009-2012","upper","Sen. Luz M. Santiago Gonz?lez","PRL000029"
"2009-2012","lower","Sra. Cruz Soto, Carmen Y.","PRL000080"
"2009-2012","lower","Rep. Jos? R. Torres Ram?rez","PRL000058"
"2009-2012","lower","Rep. Norman Ram?rez Rivera","PRL000051"
"2009-2012","lower","Rep. Antonio Silva Delgado","PRL000039"
"2009-2012","lower","Sr. Quiles Rodr?guez, Waldemar","PRL000053"
"2009-2012","upper","Sen. Eder E. Ortiz Ortiz","PRL000012"
"2009-2012","lower","Rep. Luis P?rez Ortiz","PRL000038"
"2009-2012","lower","Rep. Jos? L. L?pez Mu?oz","PRL000032"
"2009-2012","lower","Rep. Jos? F. Aponte Hern?ndez","PRL000076"
"2009-2012","lower","Sr. Colberg Toro, Jorge","PRL000081"
"2009-2012","lower","Sr. Mel?ndez Ortiz","PRL000075"
"2009-2012","upper","Sen. Eduardo Bhatia Gautier","PRL000008"
,"lower","Brenda L?pez de Arrar?s","PRL000079"
"2009-2012","lower","Sra. Rodr?guez Homs, Paula","PRL000045"
"2009-2012","lower","Sr. Aponte Hern?ndez, Jos? F.","PRL000076"
"2009-2012","lower","Sra. Vega Pag?n, Mar?a","PRL000042"
"2009-2012","lower","Rep. Luis R. Torres Cruz","PRL000033"
"2009-2012","upper","Sen. Norma Burgos Andujar","PRL000006"
,"lower","Carlos ?Johnny? M?ndez Nu?ez","PRL000067"
"2009-2012","upper","Sen. Luis Daniel Mu??z Cort?s","PRL000022"
"2009-2012","lower","Sr. Le?n Rodr?guez, Luis","PRL000055"
"2009-2012","upper","Sen. Juan Eugenio Hern?ndez Mayoral","PRL000014"
"2009-2012","lower","Sr. Hernandez Monta?ez, Rafael","PRL000082"
"2009-2012","lower","Rep. Angel P?rez Otero","PRL000037"
"2009-2012","upper","Sen. Jos? Emilio Gonz?lez Vel?zquez","PRL000020"
"2009-2012","lower","Sr. Vega Ramos, Luis R. .","PRL000083"
"2009-2012","lower","Sr. Torres Ram?rez, Jos? R.","PRL000058"
"2009-2012","lower","Rep. David Bonilla Cort?s","PRL000049"
"2009-2012","upper","Sen. Itzamar Pe?a Ram?rez","PRL000003"
"2009-2012","lower","Sr. Bonilla Cort?s, David","PRL000049"
"2009-2012","lower","Sr. M?rquez Garc?a, Bernardo","PRL000041"
"2009-2012","lower","Sr. Rodr?guez Aguil?, Gabriel","PRL000044"
"2009-2012","lower","Rep. Jos? E. Torres Zamora","PRL000074"
"2009-2012","lower","Sr. Pe?a Ram?rez, ?ngel R.","PRL000064"
"2009-2012","upper","Sen. Sila M. Gonz?lez Calder?n","PRL000015"
"2009-2012","lower","Rep. Mar?a M. Vega Pag?n","PRL000042"
"2009-2012","lower","Rep. Jos? M. Varela Fern?ndez","PRL000063"
"2009-2012","lower","Rep. Rafael Rivera Ortega","PRL000059"
