"2009-2010","upper","Hanson (Gary)","SDL000014"
"2009-2010","lower","Hanson (Gary)","SDL000014"
"2009-2010","lower","Ahlers","SDL000003"
"2009-2010","upper","Olson (Ryan)","SDL000080"
"2009-2010","lower","Haverly","SDL000015"
"2009-2010","lower","Brown","SDL000006"
"2009-2010","upper","Iron Cloud III","SDL000062"
"2009-2010","lower","Iron Cloud III","SDL000062"
"2009-2010","lower","Hundstad","SDL000018"
"2011-2012","upper","Iron Cloud III","SDL000062"
"2009-2010","lower","Bartling","SDL000004"
"2011-2012","lower","Iron Cloud III","SDL000062"
"2011-2012","upper","Nelson (Tom)","SDL000026"
"2009-2010","lower","Olson (Ryan)","SDL000080"
"2009-2010","lower","Hunhoff (Jean)","SDL000019"
"2009-2010","upper","Hunhoff (Jean)","SDL000019"
"2009-2010","lower","Novstrup (Al)","SDL000028"
"2011-2012","lower","Nelson (Tom)","SDL000026"
