"2009-2011","upper","Henry L. Marsh III (chief?co-patron)","VAL000014"
"2009-2011","lower","Joseph P. Johnson, Jr. (chief?co-patron)","VAL000085"
"2009-2011","upper","Emmett W. Hanger, Jr. (chief?co-patron)","VAL000006"
"2009-2011","lower","James E. Edmunds, II (chief?co-patron)","VAL000067"
"2009-2011","upper","W. Roscoe Reynolds (chief?co-patron)","VAL000029"
"2009-2011","lower","Timothy D. Hugo (chief?co-patron)","VAL000080"
"2009-2011","lower","Robert B. Bell (chief?co-patron)","VAL000051"
"2009-2011","lower","Thomas D. Gear (chief?co-patron)","VAL000071"
"2009-2011","lower","H. Morgan Griffith (chief?co-patron)","VAL000075"
"2009-2011","lower","John M. O'Bannon, III (chief?co-patron)","VAL000111"
"2009-2011","lower","William C. Wampler, Jr. (chief?co-patron)","VAL000038"
"2009-2011","lower","William J. Howell (chief?co-patron)","VAL000079"
"2009-2011","lower","Edward T. Scott (chief?co-patron)","VAL000124"
"2009-2011","lower","Mark L. Keam (chief?co-patron)","VAL000087"
"2009-2011","lower","Mark L. Cole (chief?co-patron)","VAL000059"
"2009-2011","lower","Adam P. Ebbin (chief?co-patron)","VAL000066"
"2009-2011","lower","William R. Janis (chief?co-patron)","VAL000083"
"2009-2011","lower","Harry R. Purkey (chief?co-patron)","VAL000120"
"2009-2011","lower","Charles W. Carrico, Sr. (chief?co-patron)","VAL000056"
"2009-2011","upper","Thomas K. Norment, Jr. (chief?co-patron)","VAL000022"
"2009-2011","lower","Paula J. Miller (chief?co-patron)","VAL000105"
"2009-2011","upper","L. Louise Lucas (chief?co-patron)","VAL000012"
"2009-2011","upper","Dave W. Marsden","VAL000013"
"2009-2011","lower","Kenneth C. Alexander (chief?co-patron)","VAL000044"
"2009-2011","lower","Janet D. Howell (chief?co-patron)","VAL000009"
"2009-2011","upper","Richard H. Stuart (chief?co-patron)","VAL000034"
"2009-2011","lower","L. Scott Lingamfelter (chief?co-patron)","VAL000094"
"2009-2011","lower","Jeion A. Ward (chief?co-patron)","VAL000137"
"2009-2011","lower","David B. Albo (chief?co-patron)","VAL000043"
"2009-2011","lower","John S. Edwards (chief?co-patron)","VAL000005"
"2009-2011","lower","Joseph D. Morrissey (chief?co-patron)","VAL000108"
"2009-2011","upper","A. Donald McEachin (chief?co-patron)","VAL000017"
"2009-2011","lower","Christopher P. Stolle (chief?co-patron)","VAL000130"
"2009-2011","upper","John C. Miller (chief?co-patron)","VAL000019"
"2009-2011","lower","H.M.Griffith (resigned 1/5/11)","VAL000075"
"2009-2011","upper","Jeffrey L. McWaters (chief?co-patron)","VAL000018"
"2009-2011","lower","Jennifer L. McClellan (chief?co-patron)","VAL000101"
"2009-2011","lower","R. Edward Houck (chief?co-patron)","VAL000008"
"2009-2011","lower","Kenneth R. Plum (chief?co-patron)","VAL000116"
"2009-2011","lower","Barbara J. Comstock (chief?co-patron)","VAL000060"
"2009-2011","lower","James W. Morefield (chief?co-patron)","VAL000106"
"2009-2011","lower","Thomas Davis Rust (chief?co-patron)","VAL000123"
"2009-2011","lower","James M. LeMunyon (chief?co-patron)","VAL000092"
"2009-2011","lower","Daniel W. Marshall, III (chief?co-patron)","VAL000097"
"2009-2011","upper","George L. Barker (chief?co-patron)","VAL000001"
"2009-2011","lower","Algie T. Howell, Jr. (chief?co-patron)","VAL000078"
"2009-2011","lower","Clarence E. Phillips (chief?co-patron)","VAL000115"
"2009-2011","lower","Luke E. Torian (chief?co-patron)","VAL000133"
"2009-2011","lower","Donald W. Merricks (chief?co-patron)","VAL000103"
"2009-2011","lower","Sam A. Nixon-Resigned 4/4","VAL000109"
"2009-2011","lower","Mamye E. BaCote (chief?co-patron)","VAL000048"
"2009-2011","lower","Harvey B. Morgan (chief?co-patron)","VAL000107"
"2009-2011","upper","Ralph K. Smith (chief?co-patron)","VAL000032"
"2009-2011","lower","Vivian E. Watts (chief?co-patron)","VAL000140"
"2009-2011","lower","Kathy J. Byron (chief?co-patron)","VAL000054"
"2009-2011","lower","David L. Bulova (chief?co-patron)","VAL000053"
"2009-2011","lower","Patrick A. Hope (chief?co-patron)","VAL000077"
"2009-2011","upper","R. Edward Houck (chief?co-patron)","VAL000008"
"2009-2011","upper","Ryan T. McDougle (chief?co-patron)","VAL000016"
"2009-2011","lower","Terry G. Kilgore (chief?co-patron)","VAL000088"
"2009-2011","lower","Robert Tata (chief?co-patron)","VAL000132"
"2009-2011","upper","Walter A. Stosch (chief?co-patron)","VAL000033"
"2009-2011","lower","C. Todd Gilbert (chief?co-patron)","VAL000072"
"2009-2011","lower","Charniele L. Herring (chief?co-patron)","VAL000076"
"2009-2011","lower","Anne B. Crockett-Stark (chief?co-patron)","VAL000064"
"2009-2011","lower","G. Glenn Oder (chief?co-patron)","VAL000112"
"2009-2011","lower","Patricia S. Ticer (chief?co-patron)","VAL000035"
"2009-2011","lower","Christopher K. Peace (chief?co-patron)","VAL000114"
"2009-2011","upper","Mark R. Herring (chief?co-patron)","VAL000007"
