"Resolutions, Congratulatory","Resolutions",,
"Resolutions, Condolence","Resolutions",,
"Resolutions, Legislative","Resolutions",,
"Crimes and Offenses","Crime",,
"Taxation","Budget, Spending, and Taxes",,
"Education","Education",,
"Motor Vehicles","Transportation",,
"Jefferson County","Municipal and County Issues",,
"Elections","Campaign Finance and Election Issues",,
"Insurance","Insurance",,
"Resolution, Legislative","Resolutions",,
"Resolutions, Designation","Resolutions",,
"Civil Procedure","Legal Issues",,
"Municipalities","Municipal and County Issues",,
"Appropriations","Budget, Spending, and Taxes",,
"Property, Real and Personal","Housing and Property",,
"Insurance Department","Insurance",,
"Health","Health",,
"Retirement","Senior Issues",,
"Montgomery County","Municipal and County Issues",,
"Lee County","Municipal and County Issues",,
"Counties","Municipal and County Issues",,
"Competitive Bids","Budget, Spending, and Taxes",,
"Baldwin County","Municipal and County Issues",,
"Alcoholic Beverages","Drugs",,
"Tuscaloosa County","Municipal and County Issues",,
"Family Law","Family and Children Issues",,
"Economic Development","Business and Consumers",,
"Conservation and Natural Resources Department","Environmental",,
"Agriculture and Industries Department","Agriculture and Food",,
"Education Trust Fund","Education",,
"Business and Commerce","Business and Consumers","Commerce",
"Abortion","Reproductive Issues",,
"Housing Authorities","Housing and Property",,
"Ethics","Government Reform",,
"Environment","Environmental",,
"Employment","Labor and Employment",,
"Criminal Law and Procedure","Crime","Legal Issues",
"Controlled Substances","Drugs",,
"Contracts","Legal Issues",,
"Children","Family and Children Issues",,
"Alcoholic Beverage Control Board","Drugs",,
"Veterans' Affairs, State Department of","Military",,
"Unemployment Compensation","Labor and Employment",,
"Telecommunications","Technology and Communication",,
"Shelby County","Municipal and County Issues",,
"Secondary Metals Recyclers","Environmental",,
"Revenue Department","Budget, Spending, and Taxes",,
"Pardons and Paroles Board","Crime",,
"Mobile County","Municipal and County Issues",,
"Lauderdale County","Municipal and County Issues",,
"Landlord-Tenant","Housing and Property",,
"Industrial Development Authority","Business and Consumers",,
"Employees' Retirement System","Labor and Employment",,
"Dental Examiners of Alabama, Board of","Health",,
"Corrections Department","Crime",,
"Attorney General","Legal Issues",,
"University of South Alabama","Education",,
"Notice, Legal","Legal Issues",,
"Medicaid Agency","Health",,
"Madison County","Municipal and County Issues",,
"Judge, Probate","Judiciary",,
"Jackson County","Municipal and County Issues",,
"Human Resources Department","Labor and Employment","State Agencies",
"Game and Fish","Animal Rights and Wildlife Issues","Agriculture and Food",
"Environmental Management Department","Environmental",,
"Electrical Contractors, Board of","Business and Consumers",,
"Consumers and Consumer Protection","Business and Consumers",,
"Chiropractic Examiners, State Board of","Health",,
"Calhoun County","Municipal and County Issues",,
"Board of Education, State","Education","State Agencies",
"Animals","Animal Rights and Wildlife Issues",,
"Women","Sexual Orientation and Gender Issues",,
"Wilcox County","Municipal and County Issues",,
"Veterans","Military",,
"U. S. Congress","Federal, State, and Local Relations",,
"Teachers' Retirement System","Education","Labor and Employment",
"Talladega County","Municipal and County Issues",,
"State Employees","State Agencies","Labor and Employment",
"State Agencies","State Agencies",,
"Sheriffs","Crime","Public Services",
"Security Regulatory Board","State Agencies",,
"Russell County","Municipal and County Issues",,
"Public Safety Department","Public Services",,
"Public Education Employees' Health Insurance Program","Education","Health","Insurance"
"Prosthetists and Orthotists, State Board of","Health","State Agencies",
"Prescription Drugs","Drugs","Health",
"Notaries Public","Public Services",,
"Monroe County","Municipal and County Issues",,
"Mental Health Department","Health",,
"Marion County","Municipal and County Issues",,
"Marengo County","Municipal and County Issues",,
"Licenses and Licensing","Business and Consumers",,
"Judicial Circuits","Judiciary",,
"Hospitals","Health",,
"Health Care Providers","Health",,
"Health Care","Health",,
"Forestry Commission","Environmental",,
"Firefighters Annuity and Benefit Fund","Public Services",,
"Etowah County","Municipal and County Issues",,
"Emergency Management Agency","Public Services",,
"Elevator Safety Review Board","State Agencies",,
"Electronic Security Board of Licensure","State Agencies",,
"E-911","Public Services",,
"Disrupting a Funeral or Memorial Service","Crime",,
"Court, Juvenile","Family and Children Issues","Judiciary",
"Coroners","Health",,
"Colbert County","Municipal and County Issues",,
"Cleburne County","Municipal and County Issues",,
"Clarke County","Municipal and County Issues",,
"Children First Trust Fund","Family and Children Issues",,
"Banks and Banking","Commerce",,
"Wrongful Deaths","Crime",,
"Washington County","Municipal and County Issues",,
"Vessels","Transportation",,
"State Personnel Board","Labor and Employment",,
"State Health Planning and Development Agency","Health","State Agencies",
"Solid Waste Disposal","Public Services",,
"Solicitor's Fees","Legal Issues",,
"Social Work Examiners, Alabama Board of","Family and Children Issues","State Agencies",
"Sex Offenders","Crime",,
"Senior Services Department","Senior Issues",,
"Public School and College Authority","Education",,
"Public Officers and Employees","Public Services",,
"Public Contracts","Legal Issues",,
"Psychology, Alabama Board of Examiners in","Health",,
"Private Investigation Board","Business and Consumers",,
"Prepaid Affordable College Tuition (PACT) Program","Education",,
"Port Authorities","Transportation",,
"Podiatry, State Board of","Health",,
"Pharmacists","Health",,
"Pharmacies and Pharmacists","Health",,
"Perry County","Municipal and County Issues",,
"Oil and Gas","Energy",,
"Nurses and Nursing","Health",,
"Morgan County","Municipal and County Issues",,
"Mines and Mining","Environmental",,
"Massage Therapy, Board of","Health","Business and Consumers",
"Marshall County","Municipal and County Issues",,
"Macon County","Municipal and County Issues",,
"Lowndes County","Municipal and County Issues",,
"Limestone County","Municipal and County Issues",,
"Law Enforcement Officers","Public Services",,
"Landscape Architects, Board of Examiners of","Business and Consumers",,
"Labor Department","Labor and Employment",,
"Juries and Jurors","Judiciary",,
"Industrial Parks","Business and Consumers",,
"Indigent Defense Services Office","Welfare and Poverty","Legal Issues",
