"Reports","Legislative Affairs",,
"Notices","Legislative Affairs",,
"Municipalities","Municipal and County Issues",,
"State finance","Budget, Spending, and Taxes",,
"Nominations","Nominations",,
"State budget","Budget, Spending, and Taxes",,
"Economic and Community Development, Department of","Commerce",,
"Studies","Legislative Affairs",,
"Public Health, Department of","Health",,
"health insurance","Health","Insurance",
"Disclosure","Government Reform",,
"Children and Families, Department of","Family and Children Issues",,
"Boards of education","Education",,
"Elections","Campaign Finance and Election Issues",,
"Claims against the state - Individuals named","Judiciary",,
"Municipal finance","Municipal and County Issues","Budget, Spending, and Taxes",
"Transportation Department","Transportation",,
"State regulations, specific","Legal Issues",,
"Social Services, Department of","Family and Children Issues",,
"Electronic government information","Government Reform",,
"Environmental Protection, Department of","Environmental",,
"Education Department","Education",,
"Drugs","Drugs",,
"Consumer Protection Department","Business and Consumers",,
"State aid to education","Education",,
"Policy and Management, Office of","State Agencies",,
"Motor Vehicle Department","Transportation",,
"Voting","Campaign Finance and Election Issues",,
"State Bond Commission","Budget, Spending, and Taxes",,
"Insurance companies","Insurance","Business and Consumers",
"State mandates to municipalities","Federal, State, and Local Relations","Municipal and County Issues",
"Health care providers","Health","Business and Consumers",
"Revenue Services, Department of","Budget, Spending, and Taxes",,
"Insurance Department","Insurance",,
"General Fund","Budget, Spending, and Taxes",,
"Appropriations","Budget, Spending, and Taxes",,
"Public works contracts","Budget, Spending, and Taxes","Public Services",
"Police","Public Services",,
"State agencies","State Agencies",,
"Corporation business tax","Budget, Spending, and Taxes","Business and Consumers",
"Public Safety Department","Public Services",,
"Property tax","Budget, Spending, and Taxes",,
"Municipal taxation","Budget, Spending, and Taxes","Federal, State, and Local Relations","Municipal and County Issues"
"School finance","Budget, Spending, and Taxes","Education",
"Public building contracts","Budget, Spending, and Taxes",,
"Parent and child","Family and Children Issues",,
"Elderly persons","Senior Issues",,
"Traffic violations","Transportation","Crime","Legal Issues"
"State Board of Education","Education",,
"Liability","Legal Issues",,
"Colleges and universities","Education",,
"State universities","Education",,
"State employees","Labor and Employment",,
"Medical care","Health",,
"Limited liability companies, limited liability partnerships, limited partnerships and S corporations tax","Business and Consumers",,
"Employment","Labor and Employment",,
"Veterans","Military",,
"Economic development financial assistance","Business and Consumers",,
"Ballots","Campaign Finance and Election Issues",,
"University of Connecticut","Education",,
"State constitutional amendments","Other",,
"Prevailing wages","Labor and Employment",,
"Labor Department","Labor and Employment",,
"State employee retirement","Labor and Employment",,
"Public hearings","Government Reform",,
"Medicaid","Health","Welfare and Poverty",
"Governor's bills","Executive Branch",,
"Felonies","Crime",,
"Community colleges","Education",,
"Children in custody or care of Department of Children and Families","Family and Children Issues",,
"Affordable housing","Housing and Property",,
"Teachers","Education",,
"State contracts","Budget, Spending, and Taxes",,
"Small businesses","Business and Consumers",,
"Sales and use tax","Budget, Spending, and Taxes",,
"Landlord and tenant","Housing and Property",,
"School curriculum","Education",,
"Police departments","Public Services",,
"Planning and zoning commissions","Housing and Property",,
"Motor vehicle operator licenses","Transportation",,
