"RESOLUTIONS","Resolutions",
"SCHOOLS","Education",
"EDUCATION, DEPARTMENT OF","Education",
"COUNTIES","Municipal and County Issues",
"MOTOR VEHICLES","Transportation",
"APPROPRIATIONS","Budget, Spending, and Taxes",
"STATE GOVERNMENT","Federal, State, and Local Relations",
"HUMAN SERVICES, DEPARTMENT OF","State Agencies ",
"GENERAL ASSEMBLY","Legislative Affairs",
"CHILDREN","Family and Children Issues",
"FEDERAL GOVERNMENT","Federal, State, and Local Relations",
"TAXES","Budget, Spending, and Taxes",
"PROPERTY TAX","Budget, Spending, and Taxes","Housing and Property"
"TRANSPORTATION, DEPARTMENT OF","Transportation",
"ELECTIONS","Campaign Finance and Election Issues ",
"CITIES","Municipal and County Issues",
"MEDICAL INSURANCE","Health",
"LABOR","Labor and Employment",
"CONSTITUTION","Other",
"LICENSES AND PERMITS","Other",
"INCOME TAX","Budget, Spending, and Taxes",
"SALES, SERVICES, AND USE TAX","Budget, Spending, and Taxes",
"MEDICAL PROFESSIONALS","Health",
"MILITARY FORCES","Military",
"COMMUNITY COLLEGES","Education",
"PUBLIC HEALTH, DEPARTMENT OF","Health",
"NATURAL RESOURCES, DEPARTMENT OF","State Agencies ","Environmental"
"TEACHERS","Education",
"INSURANCE","Insurance",
"HEALTH","Health",
"ECONOMIC DEVELOPMENT, DEPARTMENT OF","State Agencies ",
"DRUGS","Drugs",
"COURTS","Judiciary ",
"EMPLOYMENT","Labor and Employment",
"EMPLOYEES, STATE","Labor and Employment",
"ADMINISTRATIVE SERVICES, DEPARTMENT OF","State Agencies ",
"VETERANS","Military",
"UTILITIES","Other",
"MENTAL HEALTH","Health",
"MEDICAL ASSISTANCE","Health",
"GOVERNOR","Other",
"FEES","Other ",
"WEAPONS","Guns","Other"
"DRIVER LICENSES AND PERMITS","Transportation",
"ADMINISTRATIVE RULES","Other",
"WORKFORCE DEVELOPMENT","Labor and Employment",
"PROFESSIONAL LICENSURE","Labor and Employment",
"PEACE OFFICERS","Other",
"LOANS","Budget, Spending, and Taxes",
"COLLEGE STUDENT AID COMMISSION","Education",
"COLLECTIVE BARGAINING","Budget, Spending, and Taxes",
"ASSESSORS AND ASSESSMENTS","Other",
"AGRICULTURE AND LAND STEWARDSHIP, DEPARTMENT OF","Agriculture and Food ",
"ABORTIONS","Family and Children Issues","Sexual Orientation and Gender Issues "
"WORKERS' COMPENSATION","Labor and Employment",
"SUPREME COURT","Judiciary ",
"PUBLIC SAFETY, DEPARTMENT OF","State Agencies ",
"INTERNATIONAL RELATIONS","Federal, State, and Local Relations",
"HUNTING","Animal Rights and Wildlife Issues",
"COLLEGES AND UNIVERSITIES","Education",
"ALCOHOLIC BEVERAGES","Other",
"WATER AND WATERCOURSES","Environmental ",
"REVENUE, DEPARTMENT OF","State Agencies ",
"REGENTS, BOARD OF","State Agencies ",
"ENERGY","Energy",
"ELECTRIC POWER","Energy",
"CONTRACTS","Other",
"CONSTRUCTION","Other",
"COMMERCE, DEPARTMENT OF","State Agencies ",
"ALLOWABLE GROWTH","Other",
"SCHOOL FOUNDATION AID PROGRAM","Education",
"MINORS","Family and Children Issues",
"HOUSE OF REPRESENTATIVES","Other ",
"HIGHWAYS","Transportation",
"DISABLED PERSONS","Health",
"CORRECTIONS, DEPARTMENT OF","State Agencies ",
"BONDS","Budget, Spending, and Taxes",
"AREA EDUCATION AGENCIES","Education",
"UNIVERSITY OF IOWA","Education",
"TRAFFIC","Transportation",
"PHARMACY","Health",
"LEGISLATIVE COUNCIL","Legislative Affairs",
"IOWA STATE UNIVERSITY","Education",
"INTERNET","Technology and Communication",
"GAMBLING","Gambling and Gaming",
"DISSOLUTION OF MARRIAGE","Family and Children Issues","Legal Issues"
"CONTRACTORS","Other",
"WINE","Drugs",
"SMALL BUSINESSES","Business and Consumers ",
"OPERATING WHILE INTOXICATED (OWI)","Legal Issues","Transportation"
"NURSES","Health",
