"Appropriations, zero budget","Budget, Spending, and Taxes",,
"State agencies (existing), energy, labor, and economic growth","State Agencies",,
"Criminal procedure, sentencing guidelines","Crime",,
"Education, school districts","Education",,
"Constitutional amendments, state","Legislative Affairs",,
"State agencies (existing), community health","State Agencies","Health",
"Insurance, health","Insurance","Health",
"State agencies (existing), education","State Agencies","Education",
"State agencies (existing), natural resources and environment","State Agencies","Environmental",
"Local government, other","Municipal and County Issues",,
"Crimes, other","Crime",,
"State agencies (existing), state","State Agencies",,
"State agencies (existing), agriculture","State Agencies",,
"Corrections, prisoners","Crime",,
"State agencies (existing), human services","State Agencies",,
"Labor, fair employment practices","Labor and Employment",,
"Labor, public service employment","Labor and Employment",,
"Health, abortion","Health","Reproductive Issues",
"Crimes, penalties","Crime",,
"Crimes, fraud","Crime",,
"Counties, boards and commissions","Municipal and County Issues",,
"Property tax, exemptions","Budget, Spending, and Taxes","Housing and Property",
"Labor, hours and wages","Labor and Employment",,
"Labor, collective bargaining","Labor and Employment",,
"Health, death","Health",,
"Administrative procedure, rules","Other",,
"State financing and management, purchasing","Budget, Spending, and Taxes",,
"State agencies (existing), technology, management, and budget","State Agencies","Budget, Spending, and Taxes",
"Appropriations, supplemental","Budget, Spending, and Taxes",,
"State financing and management, budget","Budget, Spending, and Taxes",,
"State agencies (existing), corrections","State Agencies","Crime",
"Property tax, delinquent taxes","Budget, Spending, and Taxes","Housing and Property",
"Insurance, no-fault","Insurance",,
"Communications, internet","Technology and Communication",,
"Agriculture, animals","Agriculture and Food",,
"Public employees and officers, other","State Agencies","Labor and Employment",
"Public employees and officers, compensation and benefits","State Agencies","Labor and Employment",
"Occupations, individual licensing and regulation","Other",,
"Health, children","Health","Family and Children Issues",
"Education, financing","Education",,
"Education, employees","Education",,
"Children, protection","Family and Children Issues",,
"Vehicles, registration plates","Transportation",,
"Vehicles, equipment","Transportation",,
"Property tax, assessments","Budget, Spending, and Taxes","Housing and Property",
"Local government, financing","Municipal and County Issues",,
"Liquor, licenses","Other",,
"Legislature, other","Legislative Affairs",,
"Disabilities, other","Health",,
"Construction, contracts","Business and Consumers",,
"State agencies (existing), generally","State Agencies",,
"Natural resources, other","Environmental",,
"Legislature, legislators","Legislative Affairs",,
"Law enforcement, other","Crime",,
"Law enforcement, fire personnel","Public Services",,
"Human services, services or financial assistance","Public Services",,
"Education, reports","Education",,
"Weapons, firearms","Guns",,
"State financing and management, funds","Budget, Spending, and Taxes",,
"Records, death","Other",,
"Property, other","Housing and Property",,
"Liens, mortgages","Housing and Property",,
"Income tax, credit","Budget, Spending, and Taxes",,
"Health, pharmaceuticals","Health",,
"Health, occupations","Health",,
"Environmental protection, other","Environmental",,
"Crimes, weapons","Guns",,
"Consumer credit, other","Business and Consumers",,
"Communications, newspapers and magazines","Technology and Communication",,
"Appropriations, school aid","Budget, Spending, and Taxes",,
"Transportation, funds","Transportation",,
"Traffic control, driver license","Transportation",,
"Torts, liability","Legal Issues",,
"Senior citizens, other","Senior Issues",,
"Public employees and officers, ethics","State Agencies","Labor and Employment",
"Natural resources, gas and oil","Energy","Environmental",
"Labor, undocumented workers","Labor and Employment",,
"Labor, organizations","Labor and Employment",,
"Labor, health and safety","Labor and Employment","Health",
"Fire, other","Health",,
"Education, other","Education",,
"Education, discipline","Education",,
"Crimes, criminal sexual conduct","Crime",,
"Crimes, computer","Crime","Technology and Communication",
"Communications, broadcasting","Technology and Communication",,
"Veterans, other","Military",,
"Traffic control, violations","Transportation",,
"State, identification cards","Other",,
"State agencies (existing), transportation","State Agencies","Transportation",
"Retirement, legislative","Senior Issues","Legislative Affairs",
"Property tax, personal property","Housing and Property","Budget, Spending, and Taxes",
"Property tax, other","Budget, Spending, and Taxes","Housing and Property",
"Natural resources, hunting","Environmental","Animal Rights and Wildlife Issues",
"Michigan business tax, surcharge","Business and Consumers","Budget, Spending, and Taxes",
"Michigan business tax, repeal","Business and Consumers","Budget, Spending, and Taxes",
"Local government, intergovernmental affairs","Municipal and County Issues",,
"Income tax, checkoff","Budget, Spending, and Taxes",,
"Energy, alternative sources","Energy",,
"Employment security, benefits","Labor and Employment",,
"Employment security, administration","Labor and Employment",,
"Education, teachers","Education",,
"Congress","Legislative Affairs",,
"Civil procedure, foreclosure","Legal Issues",,
"Children, adoption","Family and Children Issues",,
"Appropriations, other","Budget, Spending, and Taxes",,
"Agriculture, other","Agriculture and Food",,
"Weapons, licensing","Guns",,
"Weapons, concealed","Guns",,
"Sales tax, other","Budget, Spending, and Taxes","Commerce",
"Sales tax, collections","Budget, Spending, and Taxes","Commerce",
"Recreation, athletics and sports","Recreation",,
"Public employees and officers, state","State Agencies","Labor and Employment",
"Property, conveyances","Housing and Property",,
"Property tax, payment and collection","Housing and Property","Budget, Spending, and Taxes",
"Property tax, appeals","Housing and Property","Budget, Spending, and Taxes",
"Probate, guardians and conservators","Other",,
"Liquor, retail sales","Other",,
"Insurance, other","Insurance",,
"Insurance, life","Insurance",,
"Housing, landlord and tenants","Housing and Property",,
"Higher education, community colleges","Education",,
"Environmental protection, permits","Environmental",,
"Environmental protection, air pollution","Environmental",,
"Economic development, plant rehabilitation","Commerce","Environmental",
"Economic development, other","Commerce",,
"Criminal procedure, sex offender registration","Crime",,
"Counties, other","Municipal and County Issues",,
"Corrections, parole","Crime",,
"Animals, other","Animal Rights and Wildlife Issues",,
"Weapons, other","Guns",,
"Transportation, other","Transportation",,
"Traffic control, traffic regulation","Transportation",,
"Trade, vehicles","Transportation",,
"Townships, other","Municipal and County Issues",,
"State agencies (existing), executive office","State Agencies",,
"Records, birth","Other",,
"Public employees and officers, local qualifications","Labor and Employment","State Agencies",
"Occupations, physicians","Health",,
"Occupations, notaries public","Other",,
"Occupations, health care professions","Health",,
"Michigan business tax, other","Budget, Spending, and Taxes","Business and Consumers",
"Michigan business tax, credits","Budget, Spending, and Taxes","Business and Consumers",
"Legislature, reports","Legislative Affairs",,
"Law, contracts","Legal Issues",,
"Law enforcement, training","Crime",,
"Labor, job development","Labor and Employment",,
"Insurance, health care corporations","Insurance","Health",
"Income tax, other","Budget, Spending, and Taxes",,
"Income tax, income","Budget, Spending, and Taxes",,
"Human services, medical services","Health",,
"Human services, food assistance","Public Services",,
"Health, testing","Health",,
"Health, other","Health",,
"Family law, paternity","Legal Issues","Family and Children Issues",
"Environmental protection, water pollution","Environmental",,
"Environmental protection, groundwater contamination","Environmental",,
"Energy, conservation","Energy",,
"Elections, voters","Campaign Finance and Election Issues",,
"Elections, other","Campaign Finance and Election Issues",,
"Elections, candidates","Campaign Finance and Election Issues",,
"Education, public school academies","Education",,
"Education, curricula","Education",,
"Criminal procedure, expunction","Crime",,
"Crimes, uttering and publishing","Crime",,
"Crimes, forgery","Crime",,
"Crimes, embezzlement","Crime",,
"Courts, records","Judiciary",,
"Courts, district court","Judiciary",,
"Controlled substances, use","Drugs",,
"Controlled substances, marihuana","Drugs",,
"Civil procedure, remedies","Legal Issues",,
"Cities, other","Municipal and County Issues",,
"Cities, home rule","Municipal and County Issues",,
"Children, services","Family and Children Issues",,
"Children, guardians","Family and Children Issues",,
"Cemeteries and funerals, burial or cremation","Other",,
"Appropriations, education","Budget, Spending, and Taxes","Education",
"Administrative procedure, state office of administrative hearings and rules","Other",,
"Worker's compensation, disabilities","Labor and Employment","Health",
"Villages, other","Municipal and County Issues",,
"Vehicles, motorcycles","Transportation",,
"Use tax, collections","Budget, Spending, and Taxes",,
"Transportation, carriers","Transportation",,
"Traffic control, other","Transportation",,
"Townships, employees and officers","Municipal and County Issues",,
"Townships, charter","Municipal and County Issues",,
"Torts, nonmedical malpractice","Legal Issues",,
"State financing and management, other","Budget, Spending, and Taxes",,
"State agencies (existing), attorney general","State Agencies",,
"Safety, other","Health",,
"Revenue sharing, other","Other",,
"Retirement, state employees","Senior Issues","Labor and Employment",
"Recreation, local parks","Recreation",,
"Property, leases","Housing and Property",,
