"GENERAL ASSEMBLY","Legislative Affairs",
"REVENUE, DEPARTMENT OF","Budget, Spending, and Taxes","State Agencies"
"BOARDS, COMMISSIONS, COMMITTEES, COUNCILS","Legislative Affairs",
"EDUCATION, ELEMENTARY AND SECONDARY","Education",
"CRIMES AND PUNISHMENT","Crime",
"BOARDS, COMMISSIONS, COMMITTEES, COUNCILS","Legislative Affairs",
"CONSTITUTIONAL AMENDMENTS","Government Reform",
"GENERAL ASSEMBLY","Legislative Affairs",
"MOTOR VEHICLES","Transportation",
"COURTS","Judiciary",
"EDUCATION, ELEMENTARY AND SECONDARY","Education",
"COURTS","Judiciary",
"MOTOR VEHICLES","Transportation",
"ELECTIONS","Campaign Finance and Election Issues",
"CRIMES AND PUNISHMENT","Crime",
"CHILDREN AND MINORS","Family and Children Issues",
"COUNTIES","Municipal and County Issues",
"HEALTH CARE","Health",
"REVENUE DEPT.","Budget, Spending, and Taxes","State Agencies"
"EMPLOYEES - EMPLOYERS","Labor and Employment",
"TRANSPORTATION","Transportation",
"BUSINESS AND COMMERCE","Business and Consumers","Commerce"
"ELECTIONS","Campaign Finance and Election Issues",
"TAX CREDITS","Budget, Spending, and Taxes",
"PROPERTY, REAL AND PERSONAL","Housing and Property",
"GOVERNOR & LT. GOVERNOR","Legislative Affairs",
"ELEMENTARY AND SECONDARY EDUCATION, DEPT. OF","Education","State Agencies"
"CONSTITUTIONAL AMENDMENTS","Government Reform",
"TRANSPORTATION","Transportation",
"TAX CREDITS","Budget, Spending, and Taxes",
"PROPERTY, REAL AND PERSONAL","Housing and Property",
"EMPLOYEES - EMPLOYERS","Labor and Employment",
"AGRICULTURE AND ANIMALS","Agriculture and Food",
"TAXATION AND REVENUE - INCOME","Budget, Spending, and Taxes",
"LAW ENFORCEMENT OFFICERS AND AGENCIES","Legal Issues","State Agencies"
"LAW ENFORCEMENT OFFICERS AND AGENCIES","Legal Issues","State Agencies"
"GOVERNOR AND LT. GOVERNOR","Legislative Affairs",
"ECONOMIC DEVELOPMENT","Commerce",
"COUNTIES","Municipal and County Issues",
"BUSINESS AND COMMERCE","Business and Consumers","Commerce"
"TELECOMMUNICATIONS","Technology and Communication",
"INSURANCE - MEDICAL","Insurance","Health"
"ROADS AND HIGHWAYS","Municipal and County Issues","Transportation"
"HEALTH CARE PROFESSIONALS","Health",
"CHILDREN AND MINORS","Family and Children Issues",
"TAXATION AND REVENUE - PROPERTY","Budget, Spending, and Taxes","Housing and Property"
"INSURANCE - MEDICAL","Insurance","Health"
"ELEMENTARY AND SECONDARY EDUCATION DEPT.","Education","State Agencies"
"TAXATION AND REVENUE - INCOME","Budget, Spending, and Taxes",
"TRANSPORTATION, DEPARTMENT OF","Transportation","State Agencies"
"TAXATION AND REVENUE - SALES AND USE","Budget, Spending, and Taxes","Business and Consumers"
"EDUCATION, HIGHER","Education",
"CITIES, TOWNS, AND VILLAGES","Municipal and County Issues",
"VETERANS","Military",
"HEALTH CARE","Health",
"HOUSING","Housing and Property",
"HEALTH, DEPARTMENT OF","Health","State Agencies"
"COUNTY GOVERNMENT","Municipal and County Issues",
"ATTORNEY GENERAL, STATE","Legal Issues",
"TRANSPORTATION DEPT.","Transportation","State Agencies"
"ROADS AND HIGHWAYS","Municipal and County Issues","Transportation"
"NATURAL RESOURCES DEPT.","Environmental","State Agencies"
"HEALTH, PUBLIC","Health","Public Services"
"HEALTH CARE PROFESSIONALS","Health",
"CONTRACTS AND CONTRACTORS","Labor and Employment",
"TAXATION AND REVENUE - PROPERTY","Budget, Spending, and Taxes","Housing and Property"
