"SB 2689","""Austin James Watkins"" Out-of-Home Abuse and Neglect Investigations Unit in the Department of Human Services; establish.","Crime","State Agencies",,
"SB 2163","""Bill of Rights"" for patients and residents of health care facilities; provide.","Health","Legal Issues",,
"SB 2316","""Bill of Rights"" for patients and residents of health care facilities; provide.","Health","Legal Issues",,
"HB 1005","""Comprehensive Election Reform Act of 2010""; create.","Campaign Finance and Election Issues",,,
"HB 613","""Dream Makers Program""; create as an after-school program for students in Grades 7 and 8.","Education",,,
"HB 614","""Health Careers Academy""; create for students in Grades 9 through 12.","Education",,,
"SB 2983","""Mississippi Accountability and Transparency Act of 2008""; DFA make report on implementation.","Government Reform",,,
"SB 2066","""Mississippi Postsecondary Textbook Pricing and Access Act of 2010""; enact to assist students in obtaining the lowest textbook cost.","Education",,,
"SB 2553","""Mississippi Postsecondary Textbook Transparency Act of 2010""; enact to assist students in obtaining the lowest textbook cost.","Education",,,
"HB 1063","""Mississippi Senior Cadets Program""; require Department of Education to establish.","Education",,,
"HB 1481","""Mississippi Song""; designate as the official state song for the State of Mississippi.","Arts and Humanities",,,
"SB 2816","""Mississippi Strategic Planning and Performance Budgeting System Act of 2010""; enact.","Budget, Spending and Taxes",,,
"SB 2067","""Mississippi Student Religious Liberties Act of 2010""; enact.","Social Issues","Education",,
"SB 2123","""Mississippi Student Religious Liberties Act of 2010""; enact.","Social Issues","Education",,
"SB 2194","""Mississippi Student Religious Liberties Act of 2010""; enact.","Social Issues","Education",,
"SB 2951","""Momentum Mississippi Act of 2010""; establish Momentum Mississippi Board within Mississippi Development Authority.","Other",,,
"HB 1221","""MS One-Call Law""; make certain exceptions for railroad right-of-way maintenance.","Transportation",,,
"HB 410","""Nonpartisan Municipal Elections Act""; create.","Campaign Finance and Election Issues",,,
"HB 1366","""Old School for the Blind Property""; authorize DFA and MDA to sell for purposes of redevelopment.","Other","State Agencies",,
"SB 3094","""Old School for the Blind Property""; authorize DFA and MDA to sell for purposes of redevelopment.","Other","State Agencies",,
