Rule Making,Legislative Affairs,
"Revenue, State","Budget, Spending and Taxes",
Fish and Wildlife,Animal Rights and Wildlife Issues,
Health Care Services (see also: Health),Health,Public Services
Local Government  (see also: City Subjects; County Subjects),Municial and County Issues,
State Government,Legislative Affairs,
Appropriations  (see also: State Finance),"Budget, Spending and Taxes",
Public Officers and Employees,Labor and Employment,State Agencies
Insurance,Insurance,
Schools and Education,Education,
Environmental Protection,Environmental,
Motor Vehicles (see also: Taxation--Trans; Traffic Regulations; Transportation),Transportation,
Energy,Energy,
Water,Municial and County Issues,Environmental
Taxation--Property,Housing and Property,"Budget, Spending and Taxes"
"Revenue, Local","Budget, Spending and Taxes",
State Finance  (see also: Appropriations; Taxation Subjects),"Budget, Spending and Taxes",
Taxation (Generally),"Budget, Spending and Taxes",
"Legislature, Interim Studies",Legislative Affairs,
Alcohol and Drugs,Drugs,
Federal Government,"Federal, State and Local Relations",
Legislature,Legislative Affairs,
Elections  (see also: Ballot Issues),Campaign Finance and Election Issues,
Crimes,Crime,
Social Services,Social Issues,State Agencies
Taxation--Individual Income,"Budget, Spending and Taxes",Labor and Employment
Property,Housing and Property,
Agriculture  (see also: Livestock; Taxation--Agriculture/Livestock),Agriculture and Food,
Courts  (see also: Judges and Justices; Juries and Jurors),Judiciary,
Labor and Employment  (see also: Unemployment Insurance; Workers' Comp),Labor and Employment,
Retirement (see also: Senior Citizens),Senior Issues,Labor and Employment
Transportation  (see also: Motor Vehicles; Taxation--Transportation),Transportation,
Criminal Procedure  (see also: Law Enforcement),Crime,
School Finance,Education,"Budget, Spending and Taxes"
Utilities,Municial and County Issues,
Workers' Compensation  (see also: Labor and Employment),Labor and Employment,
State Lands,"Federal, State and Local Relations",
Civil Procedure,Crime,Civil Liberties and Civil Rights
Planning and Development,Legislative Affairs,
Law Enforcement  (see also: Criminal Procedure),Legal Issues,Crime
Constitutional Amendment Proposals,Government Reform,
Taxation--Corporations,Commerce,"Budget, Spending and Taxes"
Livestock (see also: Agriculture; Taxation--Agriculture/Livestock),Agriculture and Food,
University System (see also:  Colleges),Education,
Military Affairs,Military,
Health (see also: Health Care Services; Safety),Health,
Professions and Occupations O-Z,Labor and Employment,
Referendum,Legislative Affairs,Government Reform
Documents,Legislative Affairs,
Professions and Occupations  Generally,Labor and Employment,
Minors  (see also: Family Law),Family and Children Issues,
Economic Development,Commerce,
Counties  (see also: Local Government),Municial and County Issues,
Recreation/Parks/Sports,Recreation,
Liability  (see also: Remedies; Torts),Legal Issues,
Appropriation Process,Legal Issues,Housing and Property
Public Contracts  (see also: Contracts),Labor and Employment,
Mining and Minerals  (see also: Oil and Gas),,
Local Finance  (see also: City Finance; County Finance),"Budget, Spending and Taxes",Municipal and County Issues
Corporations/Partnerships/Associations,Business and Consumers,Commerce
Traffic Regulations  (see also: Motor Vehicles),Legal Issues,Transportation
Fires and Fire Protection,Public Services,
Oil and Gas  (see also: Mining and Minerals; Taxation--Oil and Gas),Energy,
Judges and Justices  (see also: Courts),Judiciary,
Teachers,Education,
