"PUBLIC","Public Services",,,
"COUNTIES","Municipal and County Issues",,,
"RATIFIED","Legislative Affairs",,,
"CHAPTERED","Legislative Affairs",,,
"BUDGETING","Budget, Spending, and Taxes",,,
"LOCAL GOVERNMENT","Municipal and County Issues",,,
"EDUCATION","Education",,,
"APPROPRIATIONS","Budget, Spending, and Taxes",,,
"PRESENTED","Legislative Affairs",,,
"MUNICIPALITIES","Municipal and County Issues",,,
"BOARDS","State Agencies",,,
"LOCAL","Municipal and County Issues",,,
"GENERAL ASSEMBLY","Legislative Affairs",,,
"COMMERCE","Commerce",,,
"HEALTH SERVICES","Health",,,
"COMMISSIONS","State Agencies",,,
"TAXATION","Budget, Spending, and Taxes",,,
"MOTOR VEHICLES","Transportation",,,
"SECONDARY EDUCATION","Education",,,
"FISCAL NOTES","Commerce",,,
"EMPLOYMENT","Labor and Employment",,,
"TITLE CHANGE","Legislative Affairs",,,
"ENVIRONMENT","Environmental",,,
"REPORTS","Legislative Affairs",,,
"HIGHER EDUCATION","Education",,,
"COURTS","Judiciary",,,
"STUDIES","Legislative Affairs",,,
"PUBLIC OFFICIALS","State Agencies",,,
"LICENSES & PERMITS","Legal Issues",,,
"ELEMENTARY EDUCATION","Education",,,
"COLLEGES & UNIVERSITIES","Education",,,
"PUBLIC HEALTH","Health",,,
"DHHS","Health","State Agencies",,
"SESSION LAWS","Legislative Affairs",,,
"MINORS","Family and Children Issues",,,
"INFRASTRUCTURE","Public Services",,,
"TRANSPORTATION","Transportation",,,
"OCCUPATIONS","Labor and Employment",,,
"PROPERTY","Legal Issues",,,
"CRIMES","Crime",,,
"PERSONNEL","Labor and Employment",,,
"FUNDS & ACCOUNTS","Budget, Spending, and Taxes",,,
"EMERGENCY SERVICES","Public Services",,,
"APPOINTMENTS","State Agencies",,,
"MEMBERSHIP","Other",,,
"FEES","Other",,,
"STATE EMPLOYEES","State Agencies","Labor and Employment",,
"CORPORATIONS, NON-PROFIT","Other",,,
"INSURANCE","Insurance",,,
"ECONOMIC DEVELOPMENT","Commerce",,,
"DMV","Transportation",,,
"UNC","Education",,,
"SOCIAL SERVICES","Public Services",,,
"SALARIES & BENEFITS","Labor and Employment",,,
"FUNDING","Budget, Spending, and Taxes",,,
"ELECTIONS","Campaign Finance and Election Issues",,,
"KINDERGARTEN","Education",,,
"TRANSPORTATION DEPT.","Transportation",,,
"REP. GLAZIER",,,,
"RESOLUTIONS, JOINT","Legislative Affairs",,,
"LAW ENFORCEMENT","Legal Issues","Crime",,
"UTILITIES","Public Services",,,
"EDUCATION BOARDS","Education",,,
"COMMUNITY COLLEGES","Education",,,
"PLANNING & ZONING","Municipal and County Issues",,,
"TEACHERS","Education",,,
"RECORDS","State Agencies",,,
"DENR","Environmental",,,
"REAL ESTATE","Housing and Property",,,
"INSURANCE, HEALTH","Health","Insurance",,
"COUNCIL OF STATE","State Agencies",,,
"SPEAKER","Legislative Affairs",,,
"PRESIDENT PRO TEMPORE","Legislative Affairs",,,
"EDUCATION, STATE BOARD OF","Education",,,
"CORPORATIONS, FOR-PROFIT","Business and Consumers",,,
"COMMITTEES","Legislative Affairs",,,
"LICENSING & CERTIFICATION","Legal Issues",,,
"LICENSE PLATES","Transportation",,,
"AGRICULTURE","Agriculture and Food",,,
"PUBLIC INSTRUCTION DEPT.","State Agencies",,,
"INFORMATION TECHNOLOGY","Technology and Communication",,,
"REP. INSKO",,,,
"UNC BOARD OF GOVERNORS","Education",,,
"HOUSING","Housing and Property",,,
"GOVERNOR","Executive Branch",,,
"SEN. CLODFELTER",,,,
"ROADS & HIGHWAYS","Transportation",,,
"CONSERVATION","Environmental",,,
"RETAILING","Commerce",,,
"MENTAL HEALTH","Health",,,
"CONSTRUCTION","Housing and Property",,,
"ANIMALS","Animal Rights and Wildlife Issues",,,
"STUDENTS","Education",,,
"REPORTING","Other",,,
"CRIMINAL PROCEDURE","Crime",,,
"ARMED FORCES","Military",,,
"REP. GIBSON",,,,
"WATER RESOURCES","Environmental",,,
"TELECOMMUNICATIONS","Technology and Communication",,,
