"ADOPTION","Family and Children Issues",,,
"ADVERTISING - SEE ALSO NEWSPAPERS","Business and Consumers",,,
"AIRCRAFT EXCISE TAX","Transportation","Budget, Spending, and Taxes",,
"APPRAISERS","Budget, Spending, and Taxes",,,
"ARCHITECTS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Business and Consumers",,,
"AUCTIONEERS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Business and Consumers",,,
"AUDIOLOGISTS","Health",,,
"BAIL BONDS","Crime","Judiciary",,
"BISMARCK STATE COLLEGE","Education",,,
"BOARD OF COSMETOLOGY","State Agencies",,,
"BOARD OF COUNSELOR EXAMINERS","State Agencies",,,
"BOARD OF EXAMINERS ON AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY","State Agencies","Health",,
"BOARD OF MEDICAL EXAMINERS","State Agencies","Health",,
"BOARD OF PSYCHOLOGIST EXAMINERS","State Agencies","Health",,
"BOARD OF RESPIRATORY CARE","State Agencies","Health",,
"BOARD OF VETERINARY MEDICAL EXAMINERS","State Agencies",,,
"BOARD OF WATER WELL CONTRACTORS","State Agencies",,,
"BOATS","Transportation",,,
"CHILD SUPPORT - SEE ALSO DOMESTIC RELATIONS","Family and Children Issues",,,
"CHILDREN - SEE MINORS","Family and Children Issues",,,
"CHIROPRACTORS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Health",,,
"COMMITTEE ON PROTECTION AND ADVOCACY","Family and Children Issues",,,
"COUNCIL ON THE ARTS","Recreation",,,
"COUNSELORS","Health",,,
"CREDIT CARDS","Commerce",,,
"CREDIT UNIONS - SEE ALSO FINANCIAL INSTITUTIONS","Commerce",,,
"DAKOTA COLLEGE AT BOTTINEAU","Education",,,
"DEPARTMENT OF LABOR","Labor and Employment",,,
"DICKINSON STATE UNIVERSITY","Education",,,
"DISTRICT JUDGES - SEE DISTRICT COURT; JUDGES","Judiciary",,,
"DIVISION OF COMMUNITY SERVICES","Public Services",,,
"DRY PEA AND LENTIL COUNCIL","Agriculture and Food",,,
"ELECTRICIANS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Business and Consumers",,,
"EMERGENCY COMMISSION","Public Services",,,
"EMERGENCY MANAGEMENT","Public Services",,,
"EMERGENCY SERVICES, DEPARTMENT OF","Public Services",,,
"EMERGENCY TREATMENT","Health",,,
"ESTATES - SEE PROBATE; TRUST COMPANIES; TRUSTS","Housing and Property",,,
"FOREST SERVICE","Environmental",,,
"GARRISON DIVERSION CONSERVANCY DISTRICT","Environmental",,,
"GUARDIANSHIP","Family and Children Issues",,,
"HEALTH DEPARTMENT - SEE STATE DEPARTMENT OF HEALTH","Health",,,
"HEALTH INSURANCE - SEE INSURANCE","Health","Insurance",,
"HUMAN RESOURCE MANAGEMENT SERVICES","Labor and Employment",,,
"JUDGES - SEE ALSO COURTS","Judiciary",,,
"LAKE REGION STATE COLLEGE","Education",,,
"LOBBYING","Government Reform",,,
"MANUFACTURERS - SEE ALSO SALES AND SALES CONTRACTS","Business and Consumers",,,
"MASSAGE THERAPISTS","Business and Consumers",,,
"MILL AND ELEVATOR ASSOCIATION","Business and Consumers",,,
"MOBILE HOMES - SEE ALSO HOUSING","Housing and Property",,,
"MOTORCYCLES - SEE ALSO MOTOR VEHICLES","Transportation",,,
"NOTARIES PUBLIC","Public Services",,,
"OBSCENITY","Social Issues",,,
"OFFICE OF ADMINISTRATIVE HEARINGS","Judiciary",,,
"PAROLE AND PROBATION - SEE ALSO PAROLE BOARD","Judiciary","Crime",,
"PESTICIDES - SEE ALSO HAZARDOUS MATERIALS","Agriculture and Food","Environmental",,
"PRINTING","Business and Consumers",,,
"PSYCHOLOGISTS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Health",,,
"REAL ESTATE APPRAISER QUALIFICATIONS AND ETHICS BOARD","Business and Consumers","Housing and Property",,
"RESPIRATORY THERAPISTS","Health",,,
"SHERIFFS - SEE ALSO PEACE OFFICERS; COUNTY","Public Services",,,
"SOCIAL SECURITY","Welfare and Poverty","Senior Issues",,
"SOIL CONSERVATION DISTRICTS","Environmental",,,
"SOLID WASTE","Environmental",,,
"SOVEREIGN IMMUNITY","Federal, State, and Local Relations",,,
"SPECIAL ASSESSMENTS - SEE ALSO PROPERTY TAX","Budget, Spending, and Taxes",,,
"SPECIAL EDUCATION - SEE ALSO EDUCATION","Education",,,
"SPECIAL FUELS TAX - SEE ALSO TAXATION","Budget, Spending, and Taxes","Transportation",,
"STATE BOARD FOR CAREER AND TECHNICAL EDUCATION","Business and Consumers","Education",,
"STATE BOARD OF ANIMAL HEALTH","Health","Animal Rights and Wildlife Issues",,
"STATE ELECTRICAL BOARD - SEE ALSO ELECTRICIANS","Business and Consumers",,,
"STATE RADIO COMMUNICATIONS","Technology and Communication",,,
"STATE WALTZ","Resolutions",,,
"TOBACCO CONTROL ADVISORY COMMITTEE","Drugs",,,
"TOBACCO PRODUCTS TAX - SEE ALSO TAXATION","Drugs","Budget, Spending, and Taxes",,
"VALLEY CITY STATE UNIVERSITY","Education",,,
"VETERANS' HOME","Military",,,
"WATER WELL CONTRACTORS","Environmental",,,
"WEIGHTS AND MEASURES","Commerce",,,
"WILLISTON STATE COLLEGE","Education",,,
"WIND","Energy",,,
"ABORTION","Reproductive Issues",,,
"AIRPORTS","Transportation",,,
"BIODIESEL","Transportation","Energy",,
"BOARD OF ANIMAL HEALTH","Health","Animal Rights and Wildlife Issues",,
"BOARD OF NURSING","Health",,,
"BOARD OF REGISTRATION FOR PROF. ENGINEERS AND LAND SURVEYORS","Business and Consumers",,,
"CONSTITUTION","Legal Issues",,,
"COSMETOLOGISTS","Business and Consumers",,,
"COUNTY COMMISSIONERS - SEE ALSO COUNTIES","Municipal and County Issues",,,
"COUNTY RECORDER","Municipal and County Issues",,,
"CRIME VICTIMS","Crime",,,
"EDUCATION STANDARDS AND PRACTICES BOARD","Education",,,
"EMERGENCY SERVICES COMMUNICATION SYSTEM (911)","Public Services",,,
"FIRE MARSHAL","Public Services",,,
"FUNERALS","Health",,,
"HISTORIC SITES - SEE ALSO HISTORICAL SOCIETY","Recreation",,,
"HOME RULE","Federal, State, and Local Relations",,,
"HOUSING FINANCE AGENCY","Housing and Property",,,
"INTERNATIONAL PEACE GARDEN","Recreation",,,
"LABOR COMMISSIONER","Labor and Employment",,,
"MINOT STATE UNIVERSITY","Education",,,
"NEWSPAPERS","Business and Consumers",,,
"NORTH DAKOTA CENTURY CODE","Legal Issues",,,
"NORTH DAKOTA STATE COLLEGE OF SCIENCE","Education",,,
"NORTH DAKOTA STATE UNIVERSITY","Education",,,
"OIL AND GAS DIVISION","Energy",,,
"PARTNERSHIPS","Business and Consumers",,,
"PENITENTIARY","Crime",,,
"PIPELINES","Energy",,,
"POTATO COUNCIL","Agriculture and Food",,,
"PRESIDENT - SEE ALSO UNITED STATES","Federal, State, and Local Relations",,,
"PROBATE","Legal Issues",,,
"RAILROADS","Transportation",,,
"SCHOLARSHIPS","Education",,,
"SCHOOL BOARDS","Education",,,
"SECURITIES - SEE ALSO SECURITIES COMMISSIONER","Commerce",,,
"SECURITIES COMMISSIONER","Commerce",,,
"SNOWMOBILES","Transportation",,,
"STATE LIBRARY","State Agencies",,,
"STATE RECORDS","State Agencies",,,
"STATE'S ATTORNEY","State Agencies","Legal Issues",,
"TRUSTS - SEE ALSO ESTATES; PROBATE; TRUST COMPANIES","Legal Issues",,,
"UPPER GREAT PLAINS TRANSPORTATION INSTITUTE","Transportation",,,
"VETERANS AFFAIRS DEPARTMENT","Military",,,
"AERONAUTICS COMMISSION","Transportation",,,
"BOARD OF PHARMACY","Health",,,
"CAREER AND TECHNICAL EDUCATION, STATE BOARD FOR","Education",,,
"CHECKS","Commerce",,,
"CHILD CARE","Family and Children Issues",,,
"COMMISSION ON LEGAL COUNSEL FOR INDIGENTS","Welfare and Poverty","Legal Issues",,
"CONGRESS - SEE ALSO UNITED STATES","Federal, State, and Local Relations",,,
"ENGINEERS - SEE ALSO OCCUPATIONS AND PROFESSIONS","Business and Consumers",,,
"ETHANOL","Energy",,,
"FIRE PROTECTION DISTRICTS","Public Services",,,
"INITIATIVE, RECALL, AND REFERRAL","Legislative Affairs",,,
"LIBRARIES - SEE ALSO STATE LIBRARY","Public Services","State Agencies",,
