"Resolutions, Legislative",Resolutions,
Education Law,Education,
Tax Law,"Budget, Spending, and Taxes",
Penal Law,Crime,
Vehicle and Traffic Law,Transportation,
Public Health Law,Health,
Executive Law,Executive Branch,
Environmental Conservation Law,Environmental,
General Business Law,Business and Consumers,
Insurance Law,Insurance,
Real Property Tax Law,"Budget, Spending, and Taxes",
General Municipal Law,Municipal and County Issues,
Criminal Procedure Law,Crime,Judiciary
Election Law,Campaign Finance and Election Issues,
Labor Law,Labor and Employment,
Agriculture and Markets Law,Agriculture and Food,
State Finance Law,"Budget, Spending, and Taxes",
Alcoholic Beverage Control Law,Drugs,
Legislative Law,Legislative Affairs,
Education,Education,
Real Property Law,,
Budget Bills,"Budget, Spending, and Taxes",
Retirement and Social Security Law,Welfare and Poverty,
Real Property Taxation,"Budget, Spending, and Taxes",
Highway Law,Transportation,
Family Court Act,Family and Children Issues,Judiciary
Judiciary Law,Judiciary,
Appropriations,"Budget, Spending, and Taxes",
Civil Rights Law,Civil Liberties and Civil Rights,
Public Housing Law,Housing and Property,
Military Law,Military,
"Racing, Pari-Mutuel Wagering and Breeding Law",Gambling and Gaming,
Town Law,Municipal and County Issues,
Transportation Law,Transportation,
Health,Health,
Environmental Conservation,Environmental,
County Law,Municipal and County Issues,
General City Law,Municipal and County Issues,
New York City,Municipal and County Issues,
Business Corporation Law,Business and Consumers,
Multiple Dwelling Law,Housing and Property,
Taxation,"Budget, Spending, and Taxes",
New York City Civil Court Act,Judiciary,
Insurance,Insurance,
Energy Law,Energy,
Transportation,Transportation,
Suffolk County,Municipal and County Issues,
"Resolutions, Assembly",Resolutions,
Municipal Home Rule Law,Municipal and County Issues,
Uniform City Court Act,Judiciary,
Public Buildings Law,Housing and Property,
Surrogate's Court Procedure Act,Judiciary,
"Resolutions, Senate",Resolutions,
Public Lands Law,Housing and Property,
Bonds and Notes,"Budget, Spending, and Taxes",
Village Law,Municipal and County Issues,
State Technology Law,Technology and Communication,
Public Services,Public Services,
Public Health,Health,
Nassau County,Municipal and County Issues,
Rockland County,Municipal and County Issues,
Judiciary,Judiciary,
Elections,Campaign Finance and Election Issues,
Uniform Justice Court Act,Judiciary,
Housing,Housing and Property,
Westchester County,Transportation,
Tourism,Commerce,
Railroad Law,Transportation,
"Yonkers, City of",Municipal and County Issues,
Orange County,Municipal and County Issues,
"Mount Vernon, City of",Municipal and County Issues,
Bronx County,Municipal and County Issues,
Boxing,Gambling and Gaming,
Veterans,Military,
Towns,Municipal and County Issues,
New York City Health and Hospitals Corporation Act,Health,
Municipalities,Municipal and County Issues,
Highways,Transportation,
Suffolk County Tax Act,Municipal and County Issues,"Budget, Spending, and Taxes"
Richmond County,Municipal and County Issues,
"Newburgh, City of",Municipal and County Issues,
Labor,Labor and Employment,
Executive Department,Executive Branch,
Corporations,Business and Consumers,
Broome County,Municipal and County Issues,
Alcoholic Beverage Control,Drugs,
Abandoned Property Law,Housing and Property,
Orleans County,Municipal and County Issues,
"Motor Vehicles, Commissioner of",Transportation,
Motor Vehicles,Transportation,
Consumer,Business and Consumers,
Chautauqua County,Municipal and County Issues,
Yates County,Municipal and County Issues,
Warren County,Municipal and County Issues,
State Finance,"Budget, Spending, and Taxes",
Schoharie County,Municipal and County Issues,
Schenectady County,Municipal and County Issues,
Racing,Gambling and Gaming,
Oswego County,Municipal and County Issues,
Onondaga County,Municipal and County Issues,
New York State Medical Care Facilities Finance Agency Act,Health,
Medical Assistance,Health,
Local Emergency Housing Rent Control Act,Housing and Property,
Legislature,Legislative Affairs,
Franklin County,Municipal and County Issues,
Erie County,Municipal and County Issues,
Energy Conservation,Energy,
Children,Family and Children Issues,
"Transportation, Commissioner of",Transportation,
Saratoga County,Municipal and County Issues,
"Rochester, City of",Municipal and County Issues,
"Resolutions, Joint",Resolutions,
"Resolutions, Concurrent, Senate",Resolutions,
"New Rochelle, City of",Municipal and County Issues,
Monroe County Tax Act,Municipal and County Issues,"Budget, Spending, and Taxes"
Indian Law,Indigenous Peoples,
