Memorials,Resolutions,
Recognition,Resolutions,
Academic Achievement,Resolutions,
Taxes,"Budget, Spending, and Taxes",
Education,Education,
General Assembly,Legislative Affairs,
Death,Resolutions,
Professional Achievement,Resolutions,
Sunset Laws,Government Reform,
Criminal Offenses,Crime,
Dept. of,Legislative Affairs,
Election Laws,Campaign Finance and Election Issues,
Retirement,Senior Issues,
Highway Signs,Transportation,
Sports,Recreation,
Naming and Designating,Resolutions,
Motor Vehicles,Transportation,
Interns,Labor and Employment,
Special License Plates,Transportation,
Lottery,Gambling and Gaming,
Sales,Business and Consumers,
Exemption and Credits,"Budget, Spending, and Taxes",
Alcoholic Beverages,Drugs,
Criminal Procedure,Crime,Legal Issues
Policies,Legal Issues,
Insurance Companies,Insurance,
Higher,Education,
Brokers,Commerce,
Agents,State Agencies,
Teachers,Education,
Principals  and School Personnel,Education,
Hospitals and Health Care Facilities,Health,
Health,Health,
Personal Occasion,Other,
Constitutional Amendments,"Federal, State, and Local Relations",
Scholarships and Programs,Education,
Statement of Intent or Position,Labor and Employment,
Redistricting,Municipal and County Issues,
Traffic Safety,Transportation,
Personal Achievement,Resolutions,
Local Education Agencies,Education,State Agencies
Public Service,Public Services,
Real Property,Housing and Property,
Public Funds and Financing,"Budget, Spending, and Taxes",
Insurance,Insurance,
Courts,Judiciary,Legal Issues
Child Custody and Support,Family and Children Issues,
Pensions and Retirement Benefits,Senior Issues,
Public Contracts,Labor and Employment,
Consumer Protection,Business and Consumers,
Schools,Education,
Accident,Legal Issues,
Firearms and Ammunition,Guns,
Sentencing,Legal Issues,Crime
Workers Compensation,Labor and Employment,
Tort Liability and Reform,Legal Issues,
State Government,"Federal, State, and Local Relations",
Petroleum Products,Energy,Environmental
Confirmation of Appointment,Legislative Affairs,
Charter,"Federal, State, and Local Relations",
Banks and Financial Institutions,Commerce,
Municipal Government,Municipal and County Issues,
Law Enforcement,Legal Issues,
Game and Fish Laws,Agriculture and Food,Animal Rights and Wildlife Issues
Employers,Labor and Employment,
Employees,Labor and Employment,
Directed Studies,Education,
Boards and Commissions,Legislative Affairs,
Legislative,Legislative Affairs,
Civil Procedure,Civil Liberties and Civil Rights,Legal Issues
Business and Commerce,Business and Consumers,Commerce
Professions and Occupations,Labor and Employment,
Judges and Chancellors,Judiciary,
Campaigns and Campaign Finance,Campaign Finance and Election Issues,
Utility Districts,Municipal and County Issues,
Utilities,Municipal and County Issues,
Roads and Bridges,Transportation,
Public Records,Public Services,
Highways,Transportation,
Economic and Community Development,"Budget, Spending, and Taxes",
Unemployment Compensation,Labor and Employment,
Transportation,Transportation,
Studies,Education,
Safety,Military,
Driver Licenses,Transportation,
Appropriations,"Budget, Spending, and Taxes",
Agriculture,Agriculture and Food,
Welfare,Welfare and Poverty,
Volatile Oils,Environmental,
State Employees,"Federal, State, and Local Relations",
Local Government,"Federal, State, and Local Relations",
General,Other,
Gas,Energy,
DUI Offenses,Legal Issues,Transportation
Controlled Substances,Drugs,
Ad Valorem,"Budget, Spending, and Taxes",
Sexual Offenders,Legal Issues,
Health Care,Health,
Congress,"Federal, State, and Local Relations",
Budget Procedures,"Budget, Spending, and Taxes",
TennCare,Health,
Public,Public Services,
Planning,Municipal and County Issues,
Physicians and Surgeons,Health,
Food and Food Products,Agriculture and Food,
Drugs,Drugs,
County Officers,Municipal and County Issues,
Congressional,"Federal, State, and Local Relations",
Children,Family and Children Issues,
Administrative Procedure (UAPA),Judiciary,
Tobacco Products,Drugs,
Tobacco,Drugs,
Titling and Registration,Transportation,
Short Term Loans and Lenders,"Budget, Spending, and Taxes",
Inheritance Gift,Family and Children Issues,
County Government,Municipal and County Issues,
Zoning,Municipal and County Issues,
Intellectual & Developmental Disabilities,Civil Liberties and Civil Rights,
Immigration,Immigration,
Financial Responsibility Law,Legal Issues,
Domestic Violence,Family and Children Issues,Legal Issues
Curriculum,Education,
State,"Federal, State, and Local Relations",
Revenue,"Budget, Spending, and Taxes",
Pharmacy,Drugs,Health
Pharmacists,Drugs,Health
Medical Occupations,Health,Science and Medical Research
Public Health,Health,
Mental Illness,Health,
Landlord and Tenant,Housing and Property,
Funeral Directors and Embalmers,Other,
Privilege,Other,
Income,Labor and Employment,
Department of,Municipal and County Issues,
Dentists and Dentistry,Health,
Court Rules,Judiciary,
Child Abuse,Family and Children Issues,Legal Issues
Bond Issues,Commerce,
Bail Bonds,Legal Issues,
Bail,Legal Issues,
Tennessee Wildlife Resources Agency,Animal Rights and Wildlife Issues,
Special,Other,
School Districts,Education,
Regional Authorities and Special Districts,Municipal and County Issues,
Public Utilities,Municipal and County Issues,
Public Employees,Labor and Employment,
Mortgages,Housing and Property,
Environmental Preservation,Environmental,
Environment and Conservation,Environmental,
Emergency Communications Districts,Municipal and County Issues,
Court,Judiciary,
Congratulations,Resolutions,
Comptroller,"Budget, Spending, and Taxes",
Clerks,Legislative Affairs,
Charitable,Welfare and Poverty,
Beer,Drugs,
Animal Control,Animal Rights and Wildlife Issues,
Alcohol Offenses,Drugs,
Wine & Wineries,Drugs,
Open Meetings,Municipal and County Issues,
Mental Health,Health,
Heroism,Resolutions,
Fire Prevention and Investigation,Legal Issues,
Corporation,Business and Consumers,
Contractors,Labor and Employment,Housing and Property
Animal Cruelty and Abuse,Animal Rights and Wildlife Issues,
Tennessee Regulatory Authority,"Federal, State, and Local Relations",State Agencies
Telecommunications,Technology and Communication,
Solid Waste Disposal,Environmental,Municipal and County Issues
Sexual Offenses,Legal Issues,
Review Or Ratification of Rules,Government Reform,
Prescription,Drugs,Health
Over the Counter,Drugs,Health
Orders of Protection,Legal Issues,
Judgments,Judiciary,
Joint Conventions,Legal Issues,
Handgun Permits,Guns,
Gasoline,Energy,
Franklin,Municipal and County Issues,
Forfeiture of Assets,Legal Issues,
Fees,Legal Issues,
Ethics,Social Issues,
Eminent Domain,Housing and Property,Legal Issues
Attorney General and Reporter,Legal Issues,
Alcoholic Beverage Commission,Drugs,
Students,Education,
Salaries and Benefits,Labor and Employment,
Rutherford County,Municipal and County Issues,
Probation and Parole,Legal Issues,
Personal Property,Housing and Property,
Parks,Environmental,Recreation
Natural Areas Preservation,Animal Rights and Wildlife Issues,Environmental
Hotel Motel,Business and Consumers,
Government Officials,"Federal, State, and Local Relations",
Energy,Energy,
