"Resolutions--Congratulatory & Honorary (I0705)","Resolutions",,
"Resolutions--Memorial (I0710)","Resolutions",,
"Resolutions--Official Designations--Special Dates (I0721)","Resolutions",,
"State Agencies, Boards & Commissions (I0749)","State Agencies",,
"Occupational Regulation--Other Trades & Professions (I0541)","Other",,
"County Government--General (I0096)","Municipal and County Issues",,
"HEALTH & HUMAN SERVICES COMMISSION (V0177)","Health",,
"Criminal Procedure--General (I0208)","Crime",,
"City Government--General (I0060)","Municipal and County Issues",,
"Education--School Districts (I0220)","Education",,
"Property Interests--Real Property (I0595)","Housing and Property",,
"Business & Commerce--General (I0050)","Commerce","Business and Consumers",
"Special Districts & Authorities--Water & Utility (I0755)","Public Services",,
"Health--General (I0385)","Health",,
"Insurance--Health & Accident (I0422)","Insurance","Health",
"Health Care Providers (I0387)","Health",,
"Highways (I0390)","Transportation",,
"Civil Remedies & Liabilities (I0065)","Legal Issues",,
"Resolutions--Constitutional Amendments (I0661)","Legislative Affairs",,
"Utilities--Electric (I0831)","Public Services","Energy",
"Special Districts & Authorities--Miscellaneous (I0770)","Other",,
"Military & Veterans (I0535)","Military",,
"Occupational Regulation--Health Occupations (I0540)","Health",,
"Education--Higher--Institutions & Programs (I0223)","Education",,
"ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON (V0334)","Environmental",,
"Taxation--Property-Appraisals & Appraisal Districts (I0792)","Budget, Spending, and Taxes",,
"TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)","Transportation",,
"Law Enforcement (I0510)","Crime",,
"BONDS (S6060)","Commerce",,
"Education--Primary & Secondary--General (I0230)","Education",,
"Taxation--Property-Exemptions (I0793)","Budget, Spending, and Taxes",,
"Electronic Information Systems (I0311)","Technology and Communication",,
"PERMITS (S0011)","Legal Issues",,
"Criminal Procedure--Sentencing & Punishment (I0205)","Crime",,
"COMPTROLLER OF PUBLIC ACCOUNTS (V2608)","State Agencies",,
"Vehicles & Traffic--General (I0865)","Transportation",,
"State Finances--Management & Control (I0748)","State Agencies","Budget, Spending, and Taxes",
"HIGHER EDUCATION COORDINATING BOARD, TEXAS (V4280)","Education",,
"Elections--General (I0310)","Campaign Finance and Election Issues",,
