"Government Operations (State Issues)","State Agencies",,
"Business","Business and Consumers",,
"Education","Education",,
"Transportation","Transportation",,
"Health","Health",,
"Political Subdivisions (Local Issues)","Municipal and County Issues",,
"Revenue and Taxation","Budget, Spending, and Taxes",,
"Law Enforcement and Criminal Justice","Crime",,
"Public Education","Education",,
"Resolutions","Resolutions",,
"Legislative Affairs","Legislative Affairs",,
"Natural Resources","Environmental",,
"Judicial Code","Judiciary",,
"Elections","Campaign Finance and Election Issues",,
"Motor Vehicles","Transportation",,
"Counties","Municipal and County Issues",,
"Human Services","Public Services",,
"Health Care","Health",,
"Real Estate","Housing and Property",,
"Higher Education","Education",,
"Appropriations","Budget, Spending, and Taxes",,
"Criminal Code","Crime",,
"Budgeting","Budget, Spending, and Taxes",,
"Water and Irrigation","Environmental","Agriculture and Food",
"Health Care Providers","Health",,
"Children","Family and Children Issues",,
"State Affairs in General","State Agencies",,
"Judicial Administration","Judiciary",,
"Utah Municipal Code","Municipal and County Issues",,
"Sales and Use Tax","Budget, Spending, and Taxes","Commerce",
"Resolutions","Resolutions",,
"Labor","Labor and Employment",,
"Federal Government","Federal, State, and Local Relations",,
"Weapons","Guns",,
"Property Tax","Budget, Spending, and Taxes",,
"Legislature","Legislative Affairs",,
"Military Services","Military",,
"Insurance","Insurance",,
"Economic Development","Commerce",,
"Courts","Judiciary",,
"Construction Industries","Business and Consumers",,
"Controlled Substances","Drugs",,
"Workers' Compensation","Labor and Employment",,
"Highways","Transportation",,
"Family","Family and Children Issues",,
"Environmental Quality","Environmental",,
"Public Safety","Public Services",,
"Municipal Government","Municipal and County Issues",,
"Immigration","Immigration",,
"Workforce Services Code","Labor and Employment",,
"State Officers and Employees","State Agencies","Labor and Employment",
"School Personnel","Education",,
"Public Utilities","Public Services",,
"Occupational Licensing","Legal Issues",,
"Land Use","Housing and Property",,
"Insurance","Insurance",,
"Community and Culture","Social Issues",,
"Agriculture","Agriculture and Food",,
"School Finance","Education",,
"Retirement","Labor and Employment","Senior Issues",
"Occupations and Professions","Labor and Employment",,
"Medicaid","Health","Insurance","Welfare and Poverty"
"Energy","Energy",,
"County Government","Municipal and County Issues",,
"Constitution","Legislative Affairs",,
"Commerce and Trade","Commerce","Trade",
"Bonds","Commerce",,
"Income Tax","Budget, Spending, and Taxes",,
"Health Care Facilities","Health",,
"Criminal Conduct","Crime",,
"Condominiums","Housing and Property",,
"Charter Schools","Education",,
"Sexual Offenses","Crime",,
"Securities","Commerce",,
"Registration and Registration Fees","Legal Issues",,
"Peace Officer","Public Services",,
"Offenses","Crime",,
"Mental Health","Health",,
"License Plates","Transportation",,
"Insurance Department","Insurance",,
"Driver License","Transportation",,
"Campaign Finance","Campaign Finance and Election Issues",,
"Animal Health","Animal Rights and Wildlife Issues",,
"State Tax Commission","Budget, Spending, and Taxes",,
"Resolutions","Resolutions",,
"Public Funds and Accounts","Budget, Spending, and Taxes",,
"Minors","Family and Children Issues",,
"Mines and Mining","Business and Consumers","Environmental",
"Employees and Compensation","Labor and Employment",,
"Emergency Management","Public Services",,
"Electronic Databases","Technology and Communication",,
"Department of Health","Health","State Agencies",
"Task Force / Committees","Other",,
"State Boards","State Agencies",,
"Motor Vehicle Insurance","Transportation","Insurance",
"Lobbying","Campaign Finance and Election Issues","Government Reform",
"Illegal Aliens","Immigration",,
"Housing and Community Development","Housing and Property",,
"Fire Protection","Public Services",,
"Electronic Information","Technology and Communication",,
"Alcoholic Beverage Control","Legal Issues",,
"Tobacco","Legal Issues","Health",
"State Lands","Housing and Property",,
"State Buildings","State Agencies",,
"Special Service District","Other",,
"Pharmacies","Health",,
"Medical Records","Health",,
"Local Districts","Municipal and County Issues",,
"Financial Institutions","Commerce",,
"Driving Under the Influence (DUI)","Crime",,
"Domestic Violence","Crime","Social Issues",
"Death","Health",,
"Community Development and Renewal Agencies","Social Issues",,
"Adoption","Family and Children Issues",,
"Water Quality","Health","Environmental",
"Victims' Rights","Crime","Legal Issues",
"Uniform Laws","Legal Issues",,
"Trust Lands","Housing and Property",,
"Technology","Technology and Communication",,
"State Symbols and Designations","State Agencies",,
"State Board of Education","Education","State Agencies",
"Risk Management Fund","Commerce",,
"Redistricting","Legislative Affairs",,
"Recreation","Recreation",,
"Recordings","Other",,
"Public Meetings","Government Reform",,
"Liens","Housing and Property",,
"Landlord - Tenant","Housing and Property",,
"Inmates","Crime",,
"Independent Entities","Other",,
"Food Quality","Agriculture and Food",,
"Ethics","Legal Issues",,
"Emissions Control","Environmental",,
"Eminent Domain (Government Land Take Over)","Housing and Property",,
"Disabilities","Health",,
"Department of Workforce Services","Labor and Employment","State Agencies",
